
CURRENT_CAT	
EGORY_CODE	Freq.	Percent	Cum.
			
01A	134	0.10	0.10
01B	7,265	5.31	5.41
01C	795	0.58	5.99
01D	89	0.07	6.06
01Z	139	0.10	6.16
03B	135	0.10	6.26
03D	354	0.26	6.52
03Z	14	0.01	6.53
04D	131	0.10	6.62
04H	2,191	1.60	8.23
04Z	732	0.54	8.76
05A	26,901	19.68	28.44
05B	10,280	7.52	35.96
05C	2,075	1.52	37.48
05D	228	0.17	37.64
05E	8	0.01	37.65
05F	59	0.04	37.69
05H	34	0.02	37.72
05J	20	0.01	37.73
05K	2,326	1.70	39.43
05L	1,135	0.83	40.26
05M	5,296	3.87	44.14
05N	343	0.25	44.39
05P	6,818	4.99	49.37
05Q	953	0.70	50.07
05R	6,074	4.44	54.51
05Z	6,158	4.50	59.02
09A	74	0.05	59.07
09Z	3	0.00	59.07
10AA	12	0.01	59.08
10BB	16	0.01	59.10
10J	89	0.07	59.16
10M	12	0.01	59.17
10P	2	0.00	59.17
10Q	176	0.13	59.30
10U	5	0.00	59.30
10Z	180	0.13	59.43
12Z	9	0.01	59.44
16E	12	0.01	59.45
18A	3,322	2.43	61.88
18B	271	0.20	62.08
19A	87	0.06	62.14
19B	36	0.03	62.17
20A	501	0.37	62.53
20B	650	0.48	63.01
20C	7,226	5.29	68.30
20D	249	0.18	68.48
20Z	30	0.02	68.50
S001	5,207	3.81	72.31
S002	814	0.60	72.90
S003	186	0.14	73.04
S004	532	0.39	73.43
S005	2,044	1.50	74.92
S006	234	0.17	75.09
S007	612	0.45	75.54
S008	2,217	1.62	77.16
S009	383	0.28	77.44
S010	1,040	0.76	78.21
S011	71	0.05	78.26
S012	279	0.20	78.46
S013	14	0.01	78.47
S014	632	0.46	78.93
S015	2	0.00	78.94
S020	64	0.05	78.98
S021	5,629	4.12	83.10
S022	2,219	1.62	84.72
S023	845	0.62	85.34
S024	30	0.02	85.36
S025	147	0.11	85.47
S026	300	0.22	85.69
S027	68	0.05	85.74
S028	888	0.65	86.39
S029	1,066	0.78	87.17
S030	312	0.23	87.40
S031	30	0.02	87.42
S032	104	0.08	87.49
S033	12	0.01	87.50
S034	68	0.05	87.55
S035	288	0.21	87.76
S036	4	0.00	87.77
S037	192	0.14	87.91
S041	209	0.15	88.06
S042	2,562	1.87	89.93
S043	134	0.10	90.03
S044	76	0.06	90.09
S046	8	0.01	90.09
S055	95	0.07	90.16
S056	12	0.01	90.17
S057	14	0.01	90.18
S058	3	0.00	90.18
S065	24	0.02	90.20
S083	392	0.29	90.49
S084	12	0.01	90.50
S085	232	0.17	90.67
S093	15	0.01	90.68
S094	180	0.13	90.81
S109	437	0.32	91.13
S110	940	0.69	91.82
S111	46	0.03	91.85
S112	197	0.14	91.99
S113	44	0.03	92.03
S114	127	0.09	92.12
S115	2	0.00	92.12
S116	172	0.13	92.25
S117	5,786	4.23	96.48
S118	255	0.19	96.67
S119	221	0.16	96.83
S120	4	0.00	96.83
S121	1,896	1.39	98.22
S123	502	0.37	98.58
S125	983	0.72	99.30
S126	38	0.03	99.33
S134	36	0.03	99.36
S196	2	0.00	99.36
S249	719	0.53	99.88
S251	8	0.01	99.89
S253	150	0.11	100.00
			
Total	136,715	100.00

