,Complaint_Number,Victim_Victim_Gender,Victim_Victim_Age,Victim_Victim_Race_Desc
1,1039179,F,25.8328767123288,BLACK
2,1039179,M,38.0,BLACK
5,1053502,F,,BLACK
8,1053505,F,18.3780821917808,BLACK
11,1053509,F,42.7479452054795,WHITE HISPANIC
14,1053518,M,22.8219178082192,BLACK
17,1053521,M,,WHITE HISPANIC
20,1053524,M,22.0767123287671,BLACK
23,1053527,M,31.8301369863014,WHITE
26,1053552,M,24.6958904109589,BLACK
29,1053573,M,59.9315068493151,BLACK
32,1053580,M,51.413698630137,HISPANIC
35,1053582,M,25.2301369863014,BLACK
38,1053585,F,25.4547945205479,BLACK
39,1053585,M,25.4301369863014,BLACK
42,1053595,F,95.6602739726027,BLACK
45,1053597,M,24.2684931506849,BLACK
48,1053602,M,21.6931506849315,BLACK
51,1053607,M,34.0767123287671,BLACK
54,1053608,M,17.9945205479452,BLACK
57,1053611,F,,BLACK
60,1053615,M,30.0164383561644,BLACK
63,1053627,F,57.4739726027397,BLACK
66,1053632,M,21.9808219178082,BLACK
69,1053637,M,29.0356164383562,BLACK
70,1053637,M,24.2328767123288,BLACK
73,1053638,M,11.2164383561644,BLACK
74,1053638,M,17.5753424657534,BLACK
77,1053639,M,18.9753424657534,BLACK
80,1053646,F,56.3698630136986,BLACK
83,1053649,M,20.7479452054794,BLACK
86,1053653,M,30.0,BLACK
89,1053654,M,53.6328767123288,BLACK
92,1053656,M,,BLACK
95,1053658,M,33.0630136986301,WHITE HISPANIC
98,1053661,M,35.2904109589041,WHITE
99,1053661,F,32.8465753424658,WHITE
102,1053671,M,33.986301369863,BLACK
105,1053672,F,27.027397260274,BLACK
108,1053676,M,20.4,BLACK
111,1053678,F,17.0794520547945,BLACK
114,1053701,M,19.213698630137,BLACK
115,1053701,M,14.5890410958904,BLACK
116,1053701,F,37.8301369863014,BLACK
117,1053701,M,,BLACK
118,1053701,F,,BLACK
119,1053701,M,29.8630136986301,BLACK
122,1053716,F,36.027397260274,BLACK
123,1053716,F,,BLACK
124,1053716,M,,BLACK
127,1053720,F,48.3315068493151,BLACK
130,1053722,M,,BLACK
133,1053724,F,,UNKNOWN
136,1053738,M,,BLACK
139,1053750,F,29.2465753424658,BLACK
140,1053750,F,,BLACK
143,1053760,M,20.0246575342466,BLACK
146,1053761,F,28.8630136986301,BLACK
149,1053765,M,35.6191780821918,BLACK
152,1053773,F,35.0301369863014,BLACK
153,1053773,F,27.0438356164384,BLACK
156,1053777,M,23.027397260274,BLACK
159,1053792,M,24.1534246575342,WHITE HISPANIC
162,1053793,M,58.7698630136986,BLACK
165,1053795,M,26.7643835616438,BLACK
168,1053801,M,40.0109589041096,BLACK
171,1053814,F,46.4,BLACK
172,1053814,F,21.227397260274,BLACK
175,1053819,F,23.0767123287671,WHITE HISPANIC
178,1053823,M,29.3753424657534,BLACK
181,1053832,M,14.9013698630137,BLACK
184,1053842,F,20.2657534246575,BLACK
187,1053843,F,,BLACK
190,1053847,M,31.1397260273973,BLACK
193,1053852,F,,BLACK
194,1053852,F,,BLACK
195,1053852,M,,BLACK
196,1053852,F,,BLACK
199,1053870,F,,UNKNOWN
202,1053872,M,30.7534246575342,BLACK
205,1053882,F,23.1041095890411,BLACK
206,1053882,M,,BLACK
207,1053882,M,18.6027397260274,BLACK
208,1053882,M,20.8109589041096,BLACK
211,1053884,F,16.3671232876712,BLACK
214,1053889,M,37.1972602739726,ASIAN/PACIFIC ISLANDER
217,1053892,M,37.8986301369863,BLACK
220,1053893,M,,BLACK
223,1053896,F,,WHITE
224,1053896,F,,ASIAN/PACIFIC ISLANDER
227,1053898,M,30.2191780821918,BLACK
228,1053898,M,32.172602739726,BLACK
229,1053898,F,53.7452054794521,BLACK
232,1053902,F,14.4465753424658,BLACK
235,1053910,M,25.0219178082192,BLACK
238,1053916,M,34.4520547945205,BLACK
241,1053917,F,28.2876712328767,BLACK
244,1053918,M,,WHITE HISPANIC
247,1053922,F,63.4219178082192,BLACK
250,1053925,M,67.0958904109589,WHITE HISPANIC
253,1053927,M,23.9095890410959,WHITE
256,1053929,M,51.213698630137,WHITE
259,1053930,M,22.0958904109589,BLACK
262,1053931,M,32.0767123287671,WHITE
265,1053947,F,42.972602739726,BLACK
268,1053953,M,,HISPANIC
271,1053954,M,43.4712328767123,BLACK
274,1053955,F,61.5068493150685,WHITE HISPANIC
277,1053957,M,23.8575342465753,BLACK
280,1053964,F,17.6,BLACK
283,1053973,F,21.3808219178082,BLACK
284,1053973,F,19.6027397260274,BLACK
287,1053980,M,,WHITE
290,1053996,M,77.6958904109589,WHITE HISPANIC
293,1054010,F,46.3287671232877,BLACK
296,1054035,F,25.8465753424658,BLACK
297,1054035,M,31.9397260273973,BLACK
300,1054038,F,29.1041095890411,BLACK
303,1054043,F,52.3945205479452,WHITE HISPANIC
306,1054044,M,22.0054794520548,BLACK
309,1054047,M,52.8931506849315,WHITE HISPANIC
312,1054064,F,20.3123287671233,BLACK
315,1054083,M,20.0876712328767,BLACK
318,1054087,M,24.2054794520548,BLACK
321,1054102,F,13.6219178082192,BLACK
322,1054102,F,44.3260273972603,BLACK
325,1054109,M,29.186301369863,BLACK
328,1054114,F,15.8931506849315,BLACK
331,1054116,M,,BLACK
334,1054123,M,19.1835616438356,BLACK
337,1054149,M,,WHITE HISPANIC
340,1054152,M,,BLACK
343,1054153,M,38.5095890410959,BLACK
346,1054157,M,,UNKNOWN
347,1054157,M,,UNKNOWN
348,1054157,M,25.9506849315068,WHITE
351,1054166,F,23.4493150684932,BLACK
354,1054170,M,,BLACK
357,1054178,F,,WHITE
360,1054182,M,21.8684931506849,WHITE HISPANIC
363,1054189,F,42.4794520547945,HISPANIC
364,1054189,F,44.9671232876712,BLACK
365,1054189,F,55.854794520548,BLACK
368,1054190,F,30.2630136986301,BLACK
369,1054190,F,35.7506849315068,BLACK
370,1054190,F,,BLACK
373,1054197,M,15.7643835616438,WHITE
374,1054197,M,16.9698630136986,WHITE
377,1054198,M,24.5068493150685,BLACK
380,1054202,M,19.8931506849315,WHITE HISPANIC
381,1054202,M,18.8958904109589,WHITE HISPANIC
382,1054202,M,20.7616438356164,WHITE HISPANIC
385,1054203,M,19.2027397260274,BLACK
388,1054219,M,,BLACK
391,1054225,M,24.8958904109589,BLACK
394,1054226,M,34.0767123287671,BLACK
395,1054226,M,,BLACK
398,1054227,M,9.06301369863014,WHITE
401,1054243,M,40.7397260273973,WHITE HISPANIC
404,1054245,M,,WHITE
405,1054245,F,,UNKNOWN
408,1054250,M,,UNKNOWN
411,1054254,M,33.1342465753425,UNKNOWN
414,1054259,F,17.6876712328767,WHITE HISPANIC
417,1054267,F,52.1616438356165,WHITE
420,1054276,M,29.7780821917808,BLACK
423,1054315,M,15.9808219178082,BLACK
424,1054315,M,,BLACK
427,1054317,M,28.7479452054794,BLACK
430,1054321,M,19.213698630137,BLACK
433,1054335,F,45.9342465753425,BLACK
436,1054336,F,23.5452054794521,BLACK
439,1054349,M,65.4082191780822,BLACK
442,1054352,F,21.4986301369863,BLACK
445,1054372,M,7.07671232876712,BLACK
448,1054373,M,,WHITE HISPANIC
451,1054378,F,64.7506849315069,BLACK
454,1054394,M,18.6493150684932,WHITE HISPANIC
457,1054413,M,45.2575342465753,WHITE
460,1054419,M,26.5506849315068,WHITE
463,1054432,M,,BLACK
466,1054437,F,,BLACK
469,1054438,M,17.427397260274,BLACK
472,1054440,F,,WHITE HISPANIC
473,1054440,M,,WHITE HISPANIC
476,1054446,F,43.1780821917808,BLACK
479,1054454,F,37.1972602739726,BLACK
482,1054455,M,33.7808219178082,WHITE
485,1054469,M,22.7753424657534,BLACK
488,1054474,F,,BLACK
491,1054491,F,,UNKNOWN
494,1054506,M,49.841095890411,BLACK
497,1054507,M,21.9616438356164,WHITE HISPANIC
500,1054541,M,27.3643835616438,WHITE
503,1054542,M,31.8465753424658,BLACK
506,1054550,M,23.3780821917808,BLACK
509,1054557,M,,BLACK
512,1054600,M,28.213698630137,BLACK
515,1054601,M,,BLACK
516,1054601,M,,BLACK
519,1054603,F,25.7013698630137,BLACK
522,1054605,M,22.1561643835616,BLACK
525,1054613,F,32.4520547945205,BLACK
528,1054623,M,23.1178082191781,BLACK
529,1054623,F,23.1260273972603,BLACK
532,1054627,F,22.813698630137,WHITE
535,1054639,M,,BLACK
538,1054642,M,33.5643835616438,WHITE HISPANIC
541,1054643,M,27.6191780821918,BLACK
544,1054644,M,18.4027397260274,BLACK
547,1054655,F,34.5260273972603,BLACK
550,1054658,M,23.2109589041096,BLACK
553,1054665,F,85.5013698630137,BLACK
556,1054669,M,53.4931506849315,BLACK
559,1054689,M,,BLACK
562,1054696,M,22.2328767123288,BLACK
565,1054701,F,41.2465753424658,BLACK
568,1054703,M,22.2904109589041,WHITE
571,1054723,F,,UNKNOWN
574,1054726,M,55.3753424657534,BLACK
577,1054727,F,24.4739726027397,BLACK
580,1054728,F,,BLACK
583,1054738,M,,BLACK
586,1054742,M,52.8684931506849,BLACK
589,1054752,M,22.0356164383562,BLACK
592,1054762,M,,BLACK
595,1054765,M,,WHITE HISPANIC
598,1054790,M,25.7041095890411,BLACK
601,1054791,M,47.1616438356165,WHITE HISPANIC
602,1054791,M,26.5013698630137,WHITE HISPANIC
605,1054796,M,15.958904109589,WHITE HISPANIC
608,1054806,F,30.6630136986301,WHITE
611,1054809,M,43.7095890410959,WHITE
614,1054811,M,23.1178082191781,BLACK
617,1054814,M,23.358904109589,BLACK
620,1054815,M,28.0219178082192,BLACK
623,1054819,M,27.6684931506849,BLACK
626,1054840,M,,BLACK
627,1054840,M,,BLACK
630,1054846,F,26.6849315068493,BLACK
631,1054846,M,,BLACK
632,1054846,F,19.2794520547945,BLACK
633,1054846,F,21.6931506849315,BLACK
634,1054846,F,49.3315068493151,BLACK
635,1054846,F,36.0876712328767,BLACK
638,1054848,M,69.0794520547945,WHITE HISPANIC
641,1054854,F,,UNKNOWN
644,1054855,F,19.2876712328767,BLACK
647,1054871,M,25.1205479452055,BLACK
650,1054872,M,30.3315068493151,BLACK
651,1054872,M,21.1972602739726,BLACK
654,1054879,F,,WHITE HISPANIC
657,1054881,M,,WHITE
660,1054895,F,58.5342465753425,BLACK
663,1054915,M,32.0602739726027,BLACK
666,1054918,M,23.7123287671233,BLACK
669,1054922,F,29.7287671232877,BLACK
672,1054949,M,23.1178082191781,BLACK
675,1054966,F,22.3452054794521,BLACK
678,1054969,F,79.8219178082192,BLACK
681,1054980,F,74.0821917808219,BLACK
682,1054980,F,22.7917808219178,BLACK
683,1054980,M,,BLACK
686,1054984,M,19.1287671232877,UNKNOWN
