,Complaint_Number,Complainant_Gender,Complainant_Age,Complainant_Race_Desc
1,1038595,F,63.8054794520548,WHITE
4,1039179,M,50.4493150684931,BLACK
5,1039179,M,51.3917808219178,BLACK
6,1039179,F,34.641095890411,BLACK
9,1053492,F,51.3643835616438,BLACK
12,1053493,M,52.1506849315068,WHITE HISPANIC
15,1053495,F,,UNKNOWN
18,1053497,M,30.6657534246575,BLACK
21,1053501,M,29.1506849315068,BLACK
24,1053502,M,41.2876712328767,BLACK
27,1053505,F,39.4794520547945,BLACK
30,1053506,F,56.1123287671233,WHITE
33,1053508,M,52.5397260273973,WHITE
36,1053509,M,37.4465753424658,WHITE HISPANIC
39,1053510,M,57.2520547945206,BLACK
42,1053517,M,23.6876712328767,WHITE HISPANIC
45,1053518,F,35.6027397260274,BLACK
48,1053519,F,47.3397260273973,WHITE HISPANIC
51,1053521,F,,WHITE
54,1053524,M,23.4575342465753,BLACK
57,1053527,F,33.572602739726,WHITE HISPANIC
60,1053529,M,30.1698630136986,WHITE HISPANIC
63,1053532,M,54.9616438356164,WHITE
66,1053536,M,,ASIAN/PACIFIC ISLANDER
69,1053540,F,30.5643835616438,BLACK
72,1053543,F,64.3616438356164,BLACK
75,1053544,F,28.4602739726027,BLACK
78,1053545,M,42.3917808219178,WHITE
81,1053546,M,35.5808219178082,UNKNOWN
84,1053549,M,46.158904109589,UNKNOWN
87,1053550,F,28.1342465753425,BLACK
90,1053552,F,23.3972602739726,BLACK
93,1053555,M,47.3808219178082,BLACK
96,1053561,F,53.2109589041096,BLACK
99,1053570,M,48.7534246575342,BLACK
102,1053577,M,46.3972602739726,WHITE
105,1053579,M,40.2054794520548,BLACK
108,1053581,F,51.7561643835616,BLACK
111,1053582,F,51.7561643835616,BLACK
114,1053583,F,35.0657534246575,BLACK
117,1053584,M,63.7808219178082,BLACK
118,1053584,F,41.1178082191781,BLACK
121,1053585,F,32.413698630137,BLACK
124,1053586,M,63.7808219178082,BLACK
127,1053591,F,62.8328767123288,BLACK
130,1053593,M,51.4794520547945,BLACK
133,1053595,F,70.0657534246575,BLACK
136,1053597,M,60.7917808219178,BLACK
139,1053598,M,50.7506849315068,WHITE
142,1053600,F,42.9780821917808,BLACK
145,1053602,M,45.5287671232877,WHITE
148,1053603,F,52.9150684931507,WHITE HISPANIC
151,1053604,F,57.4493150684932,BLACK
154,1053605,M,60.4,WHITE
157,1053607,F,37.7671232876712,BLACK
160,1053608,F,46.158904109589,BLACK
163,1053611,M,56.3780821917808,BLACK
166,1053613,M,66.586301369863,WHITE HISPANIC
169,1053615,M,43.3561643835616,BLACK
172,1053619,F,38.0712328767123,BLACK
175,1053620,F,29.7808219178082,WHITE HISPANIC
178,1053621,M,32.2164383561644,BLACK
181,1053623,M,48.8493150684932,BLACK
184,1053624,M,27.8164383561644,BLACK
187,1053627,F,,UNKNOWN
190,1053629,M,28.3890410958904,BLACK
193,1053631,M,35.6547945205479,WHITE HISPANIC
196,1053632,F,44.3178082191781,BLACK
199,1053634,M,37.3013698630137,BLACK
202,1053635,M,29.6493150684932,BLACK
205,1053637,F,,BLACK
208,1053638,F,43.5287671232877,BLACK
211,1053639,F,53.5150684931507,BLACK
214,1053644,M,,BLACK
217,1053645,M,24.5753424657534,BLACK
220,1053646,M,53.0630136986301,BLACK
223,1053647,F,60.3369863013699,WHITE
226,1053648,M,70.1808219178082,BLACK
229,1053649,M,33.0794520547945,BLACK
232,1053651,M,26.5616438356164,BLACK
235,1053652,M,34.8383561643836,WHITE HISPANIC
238,1053653,F,31.6794520547945,BLACK
241,1053655,F,24.1232876712329,WHITE
244,1053656,M,,BLACK
247,1053659,M,45.7534246575342,WHITE
250,1053661,F,29.1780821917808,WHITE
253,1053662,M,38.7260273972603,WHITE HISPANIC
256,1053664,F,54.0191780821918,BLACK
259,1053665,F,,BLACK
262,1053666,F,31.9479452054794,BLACK
265,1053667,M,57.6657534246575,WHITE
268,1053669,M,30.1835616438356,BLACK
271,1053671,F,57.4712328767123,BLACK
274,1053673,M,58.5452054794521,BLACK
277,1053674,M,28.758904109589,WHITE
280,1053675,M,32.7068493150685,BLACK
283,1053676,F,36.9698630136986,BLACK
286,1053677,M,48.7260273972603,BLACK
289,1053678,F,48.3698630136986,BLACK
292,1053679,M,37.6712328767123,WHITE
295,1053680,M,25.7616438356164,WHITE
298,1053682,M,30.0,BLACK
301,1053683,F,66.3506849315069,BLACK
304,1053686,M,25.9479452054794,WHITE
307,1053687,F,39.5369863013699,WHITE
310,1053688,M,60.8027397260274,AMER IND/ALASKAN NATIVE
313,1053689,M,,WHITE
316,1053691,M,25.3315068493151,UNKNOWN
319,1053693,M,28.5095890410959,UNKNOWN
322,1053695,M,53.6465753424658,WHITE
325,1053696,F,39.9068493150685,WHITE
328,1053697,M,34.6465753424658,BLACK
331,1053698,M,62.386301369863,HISPANIC
334,1053700,M,31.3123287671233,WHITE HISPANIC
337,1053701,M,56.613698630137,BLACK
340,1053703,F,34.5753424657534,BLACK
343,1053704,M,46.2712328767123,WHITE
346,1053706,F,55.8876712328767,BLACK
349,1053708,M,25.6,WHITE
352,1053712,M,44.758904109589,BLACK
355,1053714,F,,BLACK
358,1053715,M,57.0493150684932,HISPANIC
361,1053716,F,76.027397260274,BLACK
364,1053717,M,47.2575342465753,WHITE
367,1053720,M,39.4712328767123,BLACK
370,1053723,F,58.7780821917808,BLACK
373,1053724,M,64.1369863013699,WHITE
376,1053725,M,29.8849315068493,BLACK
379,1053727,M,55.7753424657534,WHITE
382,1053729,M,23.8493150684932,BLACK
385,1053731,M,37.7068493150685,BLACK
388,1053733,M,52.0520547945205,UNKNOWN
391,1053734,M,27.9671232876712,BLACK
394,1053736,M,36.1287671232877,BLACK
397,1053737,F,37.6027397260274,BLACK
400,1053738,F,20.6246575342466,BLACK
403,1053739,M,27.8164383561644,BLACK
406,1053740,M,30.9123287671233,BLACK
409,1053741,M,53.027397260274,BLACK
412,1053748,F,55.7232876712329,BLACK
415,1053749,M,46.3561643835616,BLACK
418,1053750,M,41.6027397260274,BLACK
421,1053751,M,26.641095890411,BLACK
424,1053753,M,54.4657534246575,BLACK
427,1053760,F,53.0,WHITE
430,1053764,F,,BLACK
433,1053768,M,,WHITE
436,1053769,F,,ASIAN/PACIFIC ISLANDER
439,1053773,F,49.0931506849315,BLACK
442,1053776,F,46.3342465753425,BLACK
445,1053777,F,52.0109589041096,BLACK
448,1053780,M,53.4164383561644,BLACK
451,1053781,F,29.5424657534247,BLACK
454,1053782,M,48.7342465753425,BLACK
457,1053783,M,47.5068493150685,BLACK
460,1053785,M,64.5369863013699,WHITE
463,1053788,F,37.7452054794521,BLACK
466,1053791,F,57.2876712328767,HISPANIC
469,1053792,F,26.2630136986301,WHITE HISPANIC
472,1053793,F,48.2109589041096,WHITE
475,1053794,F,29.3643835616438,BLACK
478,1053798,F,26.9205479452055,BLACK
481,1053799,M,53.4,BLACK
484,1053800,F,50.1671232876712,BLACK
487,1053801,F,41.7808219178082,BLACK
490,1053804,M,26.1835616438356,WHITE
493,1053808,M,64.5369863013699,WHITE
496,1053815,M,30.8712328767123,BLACK
499,1053816,F,143.717808219178,BLACK
502,1053820,M,31.172602739726,WHITE
505,1053821,M,44.9506849315068,HISPANIC
508,1053822,M,25.4493150684932,BLACK
511,1053823,M,78.0712328767123,BLACK
514,1053824,F,50.7260273972603,BLACK
517,1053826,M,35.1150684931507,WHITE
520,1053828,F,59.958904109589,WHITE
523,1053830,M,42.958904109589,BLACK
526,1053832,F,33.1178082191781,BLACK
529,1053833,M,39.6767123287671,WHITE HISPANIC
532,1053835,F,67.2054794520548,BLACK
535,1053837,M,24.0821917808219,WHITE
538,1053839,F,,UNKNOWN
541,1053842,F,37.3808219178082,BLACK
544,1053843,F,,BLACK
547,1053844,M,53.0958904109589,BLACK
550,1053846,F,24.6876712328767,BLACK
553,1053847,F,33.2191780821918,BLACK
556,1053849,M,38.9479452054794,WHITE
559,1053852,M,,BLACK
562,1053855,F,33.5972602739726,BLACK
565,1053857,M,46.945205479452,BLACK
568,1053858,M,27.9452054794521,BLACK
571,1053860,M,26.7753424657534,ASIAN/PACIFIC ISLANDER
574,1053863,M,42.8246575342466,BLACK
577,1053866,F,43.9424657534247,BLACK
580,1053868,M,,ASIAN/PACIFIC ISLANDER
583,1053869,M,68.3643835616438,WHITE
586,1053870,F,40.6684931506849,UNKNOWN
589,1053874,M,32.5753424657534,BLACK
592,1053876,M,30.9013698630137,BLACK
595,1053878,F,,BLACK
598,1053879,M,,BLACK
601,1053880,F,26.4,BLACK
604,1053881,M,54.3232876712329,BLACK
607,1053882,M,23.4493150684932,BLACK
610,1053884,F,49.2931506849315,BLACK
613,1053885,M,27.7890410958904,BLACK
616,1053889,F,37.9890410958904,BLACK
619,1053890,M,27.0191780821918,WHITE HISPANIC
622,1053891,M,27.1835616438356,BLACK
625,1053892,F,35.8164383561644,BLACK
628,1053893,F,45.0876712328767,BLACK
631,1053894,F,39.7643835616438,BLACK
634,1053896,M,,WHITE
637,1053898,F,28.0,BLACK
640,1053899,M,29.9753424657534,BLACK
643,1053901,M,43.7315068493151,ASIAN/PACIFIC ISLANDER
646,1053902,F,42.5671232876712,BLACK
649,1053903,M,23.8493150684932,BLACK
652,1053906,F,,WHITE HISPANIC
655,1053907,M,34.8876712328767,WHITE HISPANIC
658,1053908,M,25.3424657534247,BLACK
661,1053909,M,36.1260273972603,BLACK
664,1053912,M,34.1068493150685,BLACK
667,1053913,M,32.9835616438356,BLACK
670,1053915,F,53.8109589041096,BLACK
673,1053916,F,36.1095890410959,BLACK
676,1053917,F,28.2438356164384,BLACK
679,1053918,M,25.4191780821918,WHITE
682,1053921,M,55.6712328767123,WHITE
685,1053922,M,84.1671232876712,UNKNOWN
688,1053924,M,37.786301369863,BLACK
691,1053926,M,24.1150684931507,BLACK
694,1053927,F,50.4684931506849,WHITE
697,1053929,M,58.7452054794521,BLACK
700,1053930,M,,BLACK
703,1053932,F,42.4575342465753,BLACK
706,1053933,F,41.8301369863014,BLACK
709,1053935,M,35.2465753424658,BLACK
712,1053937,M,,WHITE HISPANIC
715,1053939,F,33.8712328767123,BLACK
718,1053940,M,54.8383561643836,WHITE
721,1053941,M,32.9972602739726,BLACK
724,1053942,F,71.7013698630137,BLACK
727,1053943,M,24.358904109589,BLACK
