Complaint_Number,Investigator_Name,Investigator_Current_Assignment,Investigator_Rank,Investigator_Star,Investigator_Appointed_Date
1052229,"ALEJO, LUIS",121,POLICE OFFICER,10381,1995-02-06 00:00:00
1052229,"RAMIREZ, ELIZABETH",192,POLICE OFFICER,3716,2001-12-17 00:00:00
1057000,"PELLEGRINI, JOHN",620,SERGEANT OF POLICE,1932,1990-08-27 00:00:00
1057000,"STEHLIK, JOSEPH",121,SERGEANT OF POLICE,,1985-07-01 00:00:00
1064370,"JOHNSON, DWAYNE",543,SERGEANT OF POLICE,1505,1986-10-13 00:00:00
1064370,"LAZZARO, MICHAEL",001,SERGEANT OF POLICE,2154,1982-03-01 00:00:00
1067199,"PETROWSKI, STEVEN",121,SERGEANT OF POLICE,1947,2000-10-10 00:00:00
1067199,"ALEJO, LUIS",121,POLICE OFFICER,10381,1995-02-06 00:00:00
1067974,"FIEDLER, JAMES",121,SERGEANT OF POLICE,1989,1994-12-05 00:00:00
1067974,"KUBIK, JAMES",009,SERGEANT OF POLICE,1397,1990-03-26 00:00:00
1073888,"MATA, RICARDO",121,SERGEANT OF POLICE,1903,1995-06-05 00:00:00
1073888,"LALLY, JOHN",121,SERGEANT OF POLICE,1681,2001-08-27 00:00:00
1073888,"BARZ, MICHAEL",010,LIEUTENANT OF POLICE,727,1995-12-04 00:00:00
1074187,"BRENNAN, JOSEPH",010,CAPTAIN OF POLICE,25,1993-11-22 00:00:00
1074187,"DUBIEL, ROBERT",010,LIEUTENANT OF POLICE,,1986-11-17 00:00:00
