name,number_of_total_complaints,number_of_officers,number_of_no_affidavit_complaints,number_of_sustained_complaints,number_of_disciplined_complaints
neighborhoods: Edgewater,153,93,45,2,1
neighborhoods: Lake View,322,170,81,13,10
neighborhoods: Lincoln Park,112,61,37,0,0
neighborhoods: Lincoln Square,147,102,39,7,4
neighborhoods: Avondale,140,80,63,0,0
neighborhoods: Rush & Division,45,28,8,0,0
neighborhoods: Burnside,23,17,17,0,0
neighborhoods: Riverdale,147,101,48,5,3
neighborhoods: Hegewisch,97,55,36,2,2
neighborhoods: Kenwood,105,76,39,4,4
neighborhoods: Rogers Park,348,163,116,11,5
neighborhoods: Jefferson Park,153,111,57,11,7
"neighborhoods: Sauganash,Forest Glen",36,22,8,1,1
neighborhoods: North Park,43,22,17,0,0
neighborhoods: Albany Park,171,88,54,3,3
neighborhoods: Museum Campus,15,12,3,0,0
neighborhoods: Portage Park,181,112,82,1,1
neighborhoods: Printers Row,11,8,1,0,0
neighborhoods: Humboldt Park,942,523,414,1,1
neighborhoods: Garfield Park,1345,570,418,37,27
neighborhoods: North Lawndale,1058,474,384,40,24
neighborhoods: Millenium Park,7,2,1,0,0
neighborhoods: Auburn Gresham,1099,456,349,29,17
neighborhoods: Edison Park,20,13,5,1,1
neighborhoods: Hyde Park,103,74,38,2,2
neighborhoods: Grand Boulevard,275,157,87,6,4
neighborhoods: Greektown,9,8,4,1,1
neighborhoods: Magnificent Mile,19,15,6,0,0
neighborhoods: Ukrainian Village,42,30,11,1,1
neighborhoods: Norwood Park,142,89,40,8,4
neighborhoods: Streeterville,117,64,39,3,2
neighborhoods: South Shore,1028,521,468,11,9
neighborhoods: United Center,140,92,47,3,2
neighborhoods: Sheffield & DePaul,21,15,8,0,0
neighborhoods: Little Village,382,207,160,3,1
neighborhoods: Armour Square,66,43,19,2,0
neighborhoods: Avalon Park,150,106,42,4,2
neighborhoods: Calumet Heights,137,97,39,3,3
neighborhoods: Pullman,377,221,77,35,25
neighborhoods: Douglas,472,277,80,56,29
neighborhoods: Oakland,33,22,9,1,0
neighborhoods: Grant Park,19,11,4,1,0
neighborhoods: West Loop,234,157,85,15,8
neighborhoods: Fuller Park,343,216,92,25,17
neighborhoods: Chatham,562,269,214,2,2
neighborhoods: South Chicago,578,294,221,8,5
neighborhoods: Roseland,910,443,348,8,7
neighborhoods: North Center,159,95,42,11,6
neighborhoods: South Deering,242,141,93,6,6
neighborhoods: East Side,117,60,33,2,2
neighborhoods: West Pullman,416,210,187,6,4
neighborhoods: Garfield Ridge,307,149,78,6,5
neighborhoods: New City,587,240,238,3,3
neighborhoods: Englewood,2022,742,695,49,39
neighborhoods: Grand Crossing,995,534,376,26,17
neighborhoods: Ashburn,243,145,73,6,3
neighborhoods: Mount Greenwood,117,75,40,3,1
neighborhoods: Morgan Park,314,178,96,18,14
neighborhoods: O'Hare,11,3,3,0,0
neighborhoods: Jackson Park,62,34,22,0,0
neighborhoods: Loop,339,219,117,11,5
neighborhoods: Woodlawn,413,200,175,0,0
neighborhoods: Hermosa,47,29,14,0,0
neighborhoods: Old Town,119,65,43,2,1
neighborhoods: Near South Side,288,158,86,18,11
"neighborhoods: Little Italy, UIC",281,163,51,12,6
