CATEGORY,PERS_STAR_NO,PERS_LAST_NME,PERS_FIRST_NME,DESCR
18A,17922,DIAZ,JOSHUA,PO/EXP DET CAN HAND
18A,19931,WESSELHOFF,MARK,POLICE OFFICER
18A,8600,GREGOIRE,JOHN,POLICE OFFICER
18A,9264,O NEILL,EDWARD,POLICE OFFICER
18A,19244,SANCHEZ JR,ORLANDO,POLICE OFFICER
18A,19605,RENO,MARK,POLICE OFFICER
18A,18282,MC INERNEY,JOSEPH,POLICE OFFICER
18A,9962,NUNEZ,FELIPE,POLICE OFFICER
18A,18866,BRANDON,SEAN,POLICE OFFICER
18A,15422,PETTIS,MICHAEL,POLICE OFFICER
18A,19081,PALENIK,DANIEL,POLICE OFFICER
18A,19230,MARTINEZ,JUAN,POLICE OFFICER
18A,14650,PIPER,LIONEL,POLICE OFFICER
18A,13297,BENTLEY,JOEL,POLICE OFFICER
18A,13458,PETRENKO,THOMAS,POLICE OFFICER
18A,11974,SABELLA,ANTHONY,POLICE OFFICER
18A,7168,CAMARILLO JR,RODOLFO,POLICE OFFICER
18A,17386,KAPANKE,STEVEN,POLICE OFFICER
18A,10669,JONES,CALVIN,POLICE OFFICER
18A,3156,GORMAN,THOMAS,POLICE OFFICER
18A,3274,CAVANAUGH,RONALD,POLICE OFFICER
18A,19271,OSHAUGHNESSY,THOMAS,POLICE OFFICER
18A,5499,SMOLEK,MARLENE,POLICE OFFICER
18A,6856,JEFFERSON,KAREN,POLICE OFFICER
18A,17276,CADMAN,MATHEW,POLICE OFFICER
18A,7615,JAMES,DORIAN,POLICE OFFICER
18A,11782,MATEO,ERIC,POLICE OFFICER
18A,5327,BEAVERS JR,JAMES,POLICE OFFICER
18A,7900,DOMIO,MALCOLM,POLICE OFFICER
18A,7558,DAVIS,ROTHIEL,POLICE OFFICER
18A,18523,ALONSO,JAVIER,POLICE OFFICER
18A,11974,SABELLA,ANTHONY,POLICE OFFICER
18A,9736,SHEPARD,MICHAEL,POLICE OFFICER
18A,3904,LEHNER,WILLIAM,POLICE OFFICER
18A,6772,BARD,CHRIS,POLICE OFFICER
18A,15717,YOUSIF,EVAN,POLICE OFFICER
18A,14970,GARZA,DAVID,POLICE OFFICER
18A,8600,GREGOIRE,JOHN,POLICE OFFICER
18A,5881,MCFADDEN,JASON,POLICE OFFICER
18A,6657,PHILLIPS III,CECIL,POLICE OFFICER
18A,13782,MENDOZA,MARIO,POLICE OFFICER
18A,2998,HURMAN,ANDREW,POLICE OFFICER
18A,19575,OKEEFE,JOHN,POLICE OFFICER
18A,13577,ALANIZ,MICHAEL,POLICE OFFICER
18A,2743,EARNEST,EVONA,POLICE OFFICER
18A,2995,TORRES,MIGUEL,POLICE OFFICER
18A,14365,WISELOGEL,SETH,POLICE OFFICER
18A,11940,BOND,LAWRENCE,POLICE OFFICER
18A,14338,WHITE,JOSEPH,POLICE OFFICER
18A,8138,MENDOZA,FRANCISCO,POLICE OFFICER
18A,8928,ZAVALA,WENSESLAO,POLICE OFFICER
18A,10124,GARZA JR,ARMANDO,POLICE OFFICER
