COMPLAINT_NUMBER,BEAT,STREET,INCIDENT_TIME_START,ADDRESS,DB_BEAT,DB_STREET,DB_INCIDENT_TIME_START,DB_ADDRESS
1058412,2033,WINTHROP AVE,2006-01-10 14:00:00,5042,2033,,2012-01-10 14:00:00,
1056429,1722,KOLMAR AVE,2012-11-07 09:40:00,4128,1722,,2012-08-19 21:08:00,
1065471,811,MERRIMAC AVE,2013-10-27 15:45:00,5300,0811,,2013-10-11 04:50:00,
1068175,1733,WHIPPLE ST,2014-03-21 21:30:00,3905,1733,N WHIPPLE ST,2013-03-21 21:30:00,3905
1072910,1111,KEYSTONE AVE,2013-08-29 18:11:00,930,1111,N KEYSTONE AVE,2014-08-29 18:11:00,930
1075637,0,,2015-06-08 00:00:00,,0213,S MICHIGAN AVE,2015-06-12 13:16:00,3510
1067625,1822,LARRABEE ST,2012-01-12 12:00:00,1160,1423,N CALIFORNIA AVE,2014-01-12 11:44:00,1259
1055917,2212,116TH PL,2012-07-29 15:59:59,2547,2212,,2012-02-10 00:00:00,
1068781,1921,BELMONT AVE,2014-04-03 19:30:00,2452,1713,N KEDZIE AVE,2014-03-26 00:01:00,4922
1062274,2232,102ND ST,2013-03-26 00:59:59,441,2232,W 102ND ST,2012-03-26 01:00:00,441
1065309,1511,PARKSIDE AVE,2013-09-24 08:25:00,843,1524,N PINE AVE,2013-09-27 20:26:00,800
1061512,531,DR MARTIN LUTHER KING JR DR,2013-04-04 01:30:00,11432,0531,,2013-04-13 00:00:00,
1073252,1132,FIFTH AVE,2013-06-09 03:40:00,4102,1132,W FIFTH AVE,2013-06-06 03:40:00,4102
1062200,1232,15TH PL,2013-05-01 15:30:00,833,1232,,2012-09-01 00:00:00,
1072118,723,63RD ST,2013-02-02 19:12:00,711,0723,W 63RD ST,2014-02-02 19:12:00,711
1070168,2222,SANGAMON ST,2014-07-05 00:00:00,8718,0421,E 77TH ST,2014-08-19 06:00:00,2726
1074833,1921,BELMONT AVE,2013-03-23 00:01:00,2452,1921,W BELMONT AVE,2015-03-23 00:01:00,2452
1064789,2433,SHERIDAN RD,2013-09-05 15:00:00,6166,2433,N SHERIDAN RD,2013-08-30 09:00:00,6166
1073015,522,118TH ST,2014-06-26 19:17:00,209,0522,,2011-06-24 00:01:00,
1062434,124,HARRISON ST,2013-09-06 09:59:59,555,1134,,2013-04-01 13:33:00,
1066088,3100,MANNHEIM RD,2013-11-08 00:01:00,947,1123,W ADAMS ST,2013-07-05 00:01:00,3512
1072774,3100,HEIDEN CIRCLE,2014-11-26 00:01:00,13296,3100,S HEIDEN CIRCLE,2011-08-01 00:01:00,13296
1058155,915,35TH ST,2012-08-10 21:45:00,333,0915,W 35TH ST,2012-08-01 21:45:00,333
1055789,1033,ALBANY AVE,2011-07-22 03:20:00,2500,1033,S ALBANY AVE,2012-07-22 03:20:00,2500
1067006,1911,LAWRENCE AVE,2014-01-05 06:30:00,2619,1911,W LAWRENCE AVE,2013-11-20 07:30:00,2619
1053226,613,RACINE AVE,2012-03-24 13:44:59,8100,0613,S RACINE AVE,2012-03-28 00:00:00,8100
1056275,1832,DEARBORN ST,2011-08-29 00:59:59,650,1211,W MONROE ST,2011-08-13 00:46:00,1600
1075919,1431,FULLERTON AVE,2014-06-11 22:53:00,2642,1431,W FULLERTON AVE,2015-06-11 22:53:00,2642
1067139,133,MICHIGAN AVE,2014-07-31 23:19:59,2525,1213,N MILWAUKEE AVE,2013-07-31 18:48:00,1052
1060860,621,HALSTED ST,2013-03-19 22:05:00,7808,0621,S HALSTED ST,2013-03-11 21:05:00,7808
1075725,1021,CHRISTIANA AVE,2014-07-11 22:37:00,1533,1021,S CHRISTIANA AVE,2015-06-17 22:37:00,1533
1053565,1712,KIMBALL AVE,2010-03-21 22:54:00,4800,1712,N KIMBALL AVE,2012-03-21 22:54:00,4800
1063797,333,72ND ST,2013-07-24 15:00:00,1934,1123,N CENTRAL PARK AVE,2013-07-20 22:15:00,300
1057907,1923,ADDISON ST,2012-10-21 14:00:00,850,1133,W FLOURNOY ST,2012-09-07 18:55:00,3700
1066265,1611,NORTHWEST HWY,2011-04-09 09:00:00,5965,1611,N NORTHWEST HWY,2013-04-09 09:00:00,5965
1067460,213,MICHIGAN AVE,2014-02-07 12:59:59,3510,0213,S MICHIGAN AVE,2014-02-03 13:30:00,3510
1060103,0,,2012-11-30 11:00:00,,0825,S FAIRFIELD AVE,2013-01-20 14:00:00,6432
1053168,1022,SAWYER AVE,2010-03-24 14:13:00,1420,1022,S SAWYER AVE,2012-03-24 00:00:00,1420
1062359,112,STATE ST,2012-05-19 19:30:00,4,0112,N STATE ST,2013-05-19 19:30:00,
1071952,1834,FAIRBANKS CT,2011-02-23 14:57:00,600,1834,N FAIRBANKS CT,2014-02-23 14:57:00,600
1065766,713,THROOP ST,2013-10-17 09:00:00,5900,0713,S THROOP ST,2013-10-28 00:00:00,5900
1062448,321,COTTAGE GROVE AVE,2013-05-23 18:59:59,7040,0321,S LANGLEY AVE,2013-04-26 12:00:00,6820
1056113,814,LAVERGNE AVE,2012-08-03 19:30:00,4528,1133,W GRENSHAW ST,2012-06-26 19:30:00,3539
1056619,634,87TH ST,2012-08-18 16:34:59,205,0634,W 87TH ST,2012-08-25 00:00:00,205
1071758,912,WESTERN AVE,2013-09-01 23:05:00,3225,0912,S WESTERN AVE,2014-09-01 23:05:00,3225
1060227,0,,2013-02-13 00:01:00,,0531,S MICHIGAN AVE,2013-02-17 00:00:00,11206
1067163,833,PIPPIN ST,2013-01-07 20:55:00,3717,0833,W PIPPIN ST,2014-01-07 20:55:00,3717
1076653,2033,CLARK ST,2014-04-01 12:30:00,5125,2033,N CLARK ST,2015-08-01 12:30:00,5125
1053673,225,WENTWORTH AVE,2012-04-23 14:00:00,5101,0221,S VINCENNES AVE,2012-04-26 13:00:00,4300
1066372,1522,GLADYS AVE,2011-09-08 12:10:00,5335,1522,W GLADYS AVE,2013-09-08 12:10:00,5335
1058391,511,95TH ST,2010-10-02 00:39:00,1013,0511,E 95TH ST,2012-10-02 00:39:00,1013
1057567,2423,ESTES AVE,2011-09-06 21:23:00,1320,2423,,2012-09-06 21:23:00,
1062987,614,WINCHESTER AVE,2011-04-01 19:49:00,8634,0614,S WINCHESTER AVE,2012-04-01 19:49:00,8634
1072801,2521,OAKDALE AVE,2012-11-10 20:35:00,5158,2521,W OAKDALE AVE,2014-11-10 20:35:00,5158
1069106,935,48TH ST,2013-04-03 00:00:00,722,0935,,2014-04-03 00:00:00,
1076671,813,CICERO AVE,2014-07-14 16:34:59,5525,0813,S CICERO AVE,2015-07-14 16:35:00,5525
1072749,2423,TOUHY AVE,2014-09-02 00:01:00,1447,2423,W TOUHY AVE,2014-10-01 00:01:00,1447
1064585,811,SAYRE AVE,2013-08-08 10:11:00,5344,0811,S SAYRE AVE,2013-08-22 12:00:00,5344
1067015,0,,2013-01-13 09:59:59,,,,2014-01-13 10:00:00,
1062240,711,UNION AVE,2012-04-28 03:51:00,5529,0711,S UNION AVE,2013-04-28 03:51:00,5529
1057332,923,TALMAN AVE,2012-09-25 19:05:00,5026,0422,,2012-06-19 00:00:00,
1059955,1522,GLADYS AVE,2011-12-30 22:44:59,5422,,W GLADYS AVE,2011-11-30 00:00:00,5422
1054312,1121,HOMAN AVE,2012-05-23 14:00:00,656,1121,N HOMAN AVE,2012-05-26 18:42:00,656
