COMPLAINT_NUMBER,BEAT,STREET,INCIDENT_TIME_START,ADDRESS,DB_BEAT,DB_STREET,DB_INCIDENT_TIME_START,DB_ADDRESS
1064785,1024,OGDEN AVE,2013-09-08 21:59:59,3315,,W OGDEN,2013-09-08 22:00:00,3315
1076653,2033,CLARK ST,2014-04-01 12:30:00,5125,2033,N CLARK ST,2015-08-01 12:30:00,5125
1056651,224,47TH ST,2012-08-28 18:30:00,125,0224,S MICHIGAN AVE,2012-08-28 18:30:00,4700
1062095,621,HALSTED ST,2013-05-08 22:50:00,7808,0623,S VINCENNES AVE,2013-05-08 21:45:00,7700
1074850,421,KINGSTON AVE,2015-04-24 20:00:00,7626,0421,S KINGSTON AVE,2015-04-24 20:00:00,7600
1054693,434,103RD ST,2011-10-16 04:23:00,2255,0324,S STONY ISLAND AVE,2011-10-15 00:00:00,7448
1064156,313,ST LAWRENCE AVE,2013-08-09 20:54:00,6215,,S ST LAWRENCE,2013-08-09 20:54:00,6215
1055376,1822,LARRABEE ST,2012-07-01 00:30:00,1150,1824,N DEARBORN ST,2012-06-30 11:50:00,1300
1053226,613,RACINE AVE,2012-03-24 13:44:59,8100,0613,S RACINE AVE,2012-03-28 00:00:00,8100
1064777,1531,LAMON AVE,2011-08-29 18:04:59,1159,1531,N LAMON AVE,2013-08-29 18:05:00,1159
1063936,1614,IRVING PARK RD,2013-07-21 22:05:59,8300,2515,W GRAND AVE,2013-07-30 11:10:00,5555
1062564,624,DR MARTIN LUTHER KING JR DR,2013-05-23 20:10:00,7515,,S KING DR,2013-05-23 20:10:00,7515
1076079,1513,MADISON ST,2015-07-08 21:59:59,5701,1522,W MADISON ST,2015-07-08 18:15:00,5500
1056925,131,WABASH AVE,2012-09-09 01:30:00,2100,0131,S STATE ST,2012-09-09 01:30:00,1718
1058315,1935,DEMING PL,2011-06-20 12:38:00,670,1935,W DEMING PL,2012-06-20 12:38:00,670
1058464,931,50TH ST,2012-11-17 12:36:00,1750,0931,W 50TH ST,2012-11-16 12:36:00,1750
1072118,723,63RD ST,2013-02-02 19:12:00,711,0723,W 63RD ST,2014-02-02 19:12:00,711
1063124,1921,BELMONT AVE,2013-06-25 00:59:59,2452,1922,W ADDISON ST,2013-06-25 00:01:00,1400
1060915,1653,TERMINAL ST,2013-03-20 14:00:00,3,1623,N MILWAUKEE AVE,2013-03-20 00:00:00,5151
1067952,321,MARQUETTE RD,2014-03-12 12:14:59,900,0321,S COTTAGE GROVE AVE,2014-03-12 13:30:00,7040
1060345,2212,MONTEREY AVE,2013-02-23 08:29:59,1900,2223,,2013-02-23 00:00:00,
