crid,gender,age,race
1000000,F,49,WHITE
1000001,M,32,BLACK
1000002,M,43,WHITE HISPANIC
1000004,M,60,HISPANIC
1000004,M,53,WHITE
1000005,F,35,BLACK
1000006,M,53,BLACK
1000007,F,56,WHITE
1000009,M,39,WHITE HISPANIC
1000010,M,43,BLACK
1000014,F,55,BLACK
1000015,F,NA,BLACK
1000016,M,67,BLACK
1000017,F,34,WHITE HISPANIC
1000018,M,NA,UNKNOWN
1000020,M,33,BLACK
1000021,F,55,BLACK
1000022,F,68,BLACK
1000023,M,52,BLACK
1000024,F,32,WHITE HISPANIC
1000025,F,52,WHITE HISPANIC
1000026,F,NA,BLACK
1000026,F,28,BLACK
1000027,F,NA,WHITE HISPANIC
1000028,M,35,WHITE HISPANIC
1000030,M,37,BLACK
1000031,F,44,BLACK
1000033,M,60,BLACK
1000034,F,57,BLACK
1000035,F,58,WHITE
1000036,M,38,BLACK
1000037,F,57,BLACK
1000040,F,61,BLACK
1000041,M,36,BLACK
1000042,M,37,BLACK
1000043,F,51,BLACK
1000043,F,68,BLACK
1000044,M,NA,BLACK
1000046,M,62,WHITE
1000047,M,54,WHITE
1000048,F,54,WHITE HISPANIC
1000049,M,40,BLACK
1000050,M,52,BLACK
1000052,F,65,WHITE
1000053,M,60,BLACK
1000054,F,46,BLACK
1000055,M,32,BLACK
1000056,F,66,BLACK
1000058,M,53,WHITE HISPANIC
1000060,F,35,BLACK
1000061,M,NA,BLACK
1000062,F,46,BLACK
1000062,F,46,BLACK
1000065,M,39,BLACK
1000066,M,46,HISPANIC
1000067,F,41,BLACK
1000068,M,53,BLACK
1000069,M,58,WHITE
1000071,M,NA,BLACK
1000072,F,60,WHITE
1000073,F,46,BLACK
1000075,M,32,BLACK
1000076,F,62,BLACK
1000080,F,58,WHITE
1000082,M,40,BLACK
1000083,F,40,BLACK
1000084,M,31,WHITE
1000085,M,37,WHITE HISPANIC
1000086,F,NA,BLACK
1000087,F,42,BLACK
1000090,M,NA,BLACK
1000092,F,NA,WHITE
1000092,F,NA,WHITE
1000093,F,42,BLACK
1000094,M,48,BLACK
1000096,M,44,BLACK
1000097,M,68,WHITE
1000098,F,47,BLACK
1000099,M,41,WHITE HISPANIC
1000100,F,43,BLACK
1000101,F,52,BLACK
1000102,F,58,WHITE HISPANIC
1000103,M,74,BLACK
1000104,F,41,BLACK
1000105,F,48,BLACK
1000106,M,74,BLACK
1000107,M,44,ASIAN/PACIFIC ISLANDER
1000108,F,33,BLACK
1000109,M,50,BLACK
1000111,M,36,BLACK
1000112,F,49,BLACK
1000112,M,47,BLACK
1000113,M,44,WHITE
1000114,F,31,BLACK
1000116,M,68,BLACK
1000118,M,52,BLACK
1000119,M,31,BLACK
1000120,M,37,BLACK
1000121,F,41,BLACK
1000122,F,53,BLACK
1000123,F,60,WHITE
1000124,F,37,BLACK
1000127,M,59,BLACK
1000130,F,30,BLACK
1000131,F,47,BLACK
1000132,M,43,HISPANIC
1000132,M,64,BLACK
1000132,M,39,BLACK
1000134,M,39,BLACK
1000136,M,38,BLACK
1000137,M,41,BLACK
1000137,F,38,BLACK
1000138,M,40,BLACK
1000139,F,67,BLACK
1000140,F,32,BLACK
1000140,F,56,BLACK
1000141,M,77,BLACK
1000142,F,NA,BLACK
1000143,M,47,BLACK
1000145,M,39,WHITE HISPANIC
1000146,F,53,BLACK
1000146,M,76,WHITE
1000147,M,56,WHITE HISPANIC
1000148,M,34,BLACK
1000149,M,46,WHITE HISPANIC
1000150,M,41,WHITE
1000151,F,38,BLACK
1000152,F,64,BLACK
1000153,M,NA,ASIAN/PACIFIC ISLANDER
1000154,M,50,WHITE HISPANIC
1000155,M,47,WHITE
1000156,F,47,BLACK
1000158,F,42,BLACK
1000159,M,49,WHITE
1000161,M,57,BLACK
1000162,M,50,WHITE
1000163,M,36,BLACK
1000165,M,35,BLACK
1000166,M,53,BLACK
1000168,M,68,WHITE
1000169,M,NA,WHITE
1000170,F,42,BLACK
1000172,M,55,WHITE HISPANIC
1000173,F,NA,BLACK
1000173,M,29,BLACK
1000175,F,34,BLACK
1000176,M,60,WHITE
1000178,M,NA,WHITE
1000180,M,30,WHITE
1000181,F,37,BLACK
1000182,F,59,BLACK
1000183,M,59,WHITE
1000184,F,42,BLACK
1000186,M,50,BLACK
1000188,M,96,BLACK
1000191,M,57,BLACK
