"","crid","gender","age","race"
"1","1000009","F","37","WHITE HISPANIC"
"2","1000015","F","35","BLACK"
"3","1000015","F","24","BLACK"
"4","1000020","M","28","BLACK"
"5","1000021","M","26","BLACK"
"6","1000027","F",NA,"BLACK"
"7","1000034","M","27","BLACK"
"8","1000034","M","28","BLACK"
"9","1000043","M","29","BLACK"
"10","1000043","M","36","BLACK"
"11","1000054","F","25","BLACK"
"12","1000055","M","25","BLACK"
"13","1000055","M","26","BLACK"
"14","1000058","M","26","WHITE HISPANIC"
"15","1000067","M",NA,"BLACK"
"16","1000083","M","38","BLACK"
"17","1000085","M","82","WHITE HISPANIC"
"18","1000087","F","26","BLACK"
"19","1000093","M","26","BLACK"
"20","1000098","F","25","BLACK"
"21","1000101","M","27","BLACK"
"22","1000102","M","28","WHITE HISPANIC"
"23","1000104","F","26","BLACK"
"24","1000105","M","27","BLACK HISPANIC"
"25","1000121","F","73","BLACK"
"26","1000128","F","52","BLACK"
"27","1000130","M","38","BLACK"
"28","1000131","F","25","BLACK"
"29","1000134","M","64","BLACK"
"30","1000152","M",NA,"BLACK"
"31","1000172","F","25","WHITE HISPANIC"
"32","1000172","F","27","WHITE HISPANIC"
"33","1000181","M","40","BLACK"
"34","1000182","M","26","BLACK"
"35","1000183","F","30","BLACK"
"36","1000193","F",NA,"WHITE HISPANIC"
"37","1000202","F","22","BLACK"
"38","1000207","M",NA,"WHITE HISPANIC"
"39","1000207","M","27","WHITE HISPANIC"
"40","1000216","M",NA,"BLACK"
"41","1000217","F","37","BLACK"
"42","1000224","M","46","BLACK"
"43","1000235","M","25","BLACK"
"44","1000237","M",NA,"BLACK"
"45","1000242","F","28","BLACK"
"46","1000248","M","33","BLACK"
"47","1000254","F","63","BLACK"
"48","1000254","M",NA,"BLACK"
"49","1000256","M",NA,"WHITE HISPANIC"
"50","1000263","F","31","BLACK"
"51","1000268","M","31","BLACK"
"52","1000270","M","52","BLACK"
"53","1000278","M","29","WHITE HISPANIC"
"54","1000281","F","38","BLACK"
"55","1000291","M",NA,"WHITE HISPANIC"
"56","1000298","M","28","BLACK"
"57","1000301","M","43","BLACK"
"58","1000302","M","26","WHITE"
"59","1000303","M","25","BLACK"
"60","1000305","M",NA,"WHITE HISPANIC"
"61","1000316","M",NA,"WHITE HISPANIC"
"62","1000321","M",NA,"WHITE HISPANIC"
"63","1000322","M","24","BLACK"
"64","1000326","M","41","WHITE HISPANIC"
"65","1000329","M","29","BLACK"
"66","1000356","M","24","BLACK"
"67","1000365","M","30","BLACK"
"68","1000370","F","26","BLACK"
"69","1000370","M","27","BLACK"
"70","1000377","M","36","WHITE"
"71","1000380","M","24","BLACK"
"72","1000381","M","27","BLACK"
"73","1000382","F","24","BLACK"
"74","1000386","M",NA,"UNKNOWN"
"75","1000387","M","27","BLACK"
"76","1000394","M","26","BLACK"
"77","1000402","F","24","BLACK"
"78","1000440","F","26","BLACK"
"79","1000458","F","28","BLACK"
"80","1000468","F","30","BLACK"
"81","1000468","M","30","BLACK"
"82","1000468","F","26","BLACK"
"83","1000468","F","30","BLACK"
"84","1000468","F",NA,"BLACK"
"85","1000472","M","27","BLACK"
"86","1000477","M",NA,"BLACK"
"87","1000477","M","39","BLACK"
"88","1000485","M","29","WHITE HISPANIC"
"89","1000487","M","24","BLACK"
"90","1000489","F","26","WHITE HISPANIC"
"91","1000491","M","25","WHITE HISPANIC"
"92","1000518","M","25","BLACK"
"93","1000520","M",NA,"BLACK"
"94","1000521","M","26","BLACK"
"95","1000524","M","27","WHITE HISPANIC"
"96","1000525","M","61","BLACK"
"97","1000528","M","34","WHITE"
"98","1000542","M","26","BLACK"
"99","1000548","M","30","BLACK"
"100","1000551","M","24","BLACK"
"101","1000552","F","24","BLACK"
"102","1000555","M","40","BLACK"
"103","1000562","M","56","BLACK"
"104","1000563","M",NA,"WHITE"
"105","1000563","M","26","WHITE"
"106","1000576","F","54","WHITE HISPANIC"
"107","1000577","M","27","BLACK"
"108","1000593","M","31","BLACK"
"109","1000598","M","24","BLACK"
"110","1000601","M","33","BLACK"
"111","1000603","F","26","BLACK"
