Complaint_Number,Complainant_Gender,Complainant_Age,Complainant_Race_Desc
1038595,F,63.8054794520548,WHITE
1039179,M,50.4493150684931,BLACK
1039179,M,51.3917808219178,BLACK
1039179,F,34.641095890411,BLACK
1053492,F,51.3643835616438,BLACK
1053493,M,52.1506849315068,WHITE HISPANIC
1053495,F,,UNKNOWN
1053497,M,30.6657534246575,BLACK
1053501,M,29.1506849315068,BLACK
1053502,M,41.2876712328767,BLACK
1053505,F,39.4794520547945,BLACK
1053506,F,56.1123287671233,WHITE
1053508,M,52.5397260273973,WHITE
1053509,M,37.4465753424658,WHITE HISPANIC
1053510,M,57.2520547945206,BLACK
1053517,M,23.6876712328767,WHITE HISPANIC
1053518,F,35.6027397260274,BLACK
1053519,F,47.3397260273973,WHITE HISPANIC
1053521,F,,WHITE
1053524,M,23.4575342465753,BLACK
1053527,F,33.572602739726,WHITE HISPANIC
1053529,M,30.1698630136986,WHITE HISPANIC
1053532,M,54.9616438356164,WHITE
1053536,M,,ASIAN/PACIFIC ISLANDER
1053540,F,30.5643835616438,BLACK
1053543,F,64.3616438356164,BLACK
1053544,F,28.4602739726027,BLACK
1053545,M,42.3917808219178,WHITE
1053546,M,35.5808219178082,UNKNOWN
1053549,M,46.158904109589,UNKNOWN
1053550,F,28.1342465753425,BLACK
1053552,F,23.3972602739726,BLACK
1053555,M,47.3808219178082,BLACK
1053561,F,53.2109589041096,BLACK
1053570,M,48.7534246575342,BLACK
1053577,M,46.3972602739726,WHITE
1053579,M,40.2054794520548,BLACK
1053581,F,51.7561643835616,BLACK
1053582,F,51.7561643835616,BLACK
1053583,F,35.0657534246575,BLACK
1053584,M,63.7808219178082,BLACK
1053584,F,41.1178082191781,BLACK
1053585,F,32.413698630137,BLACK
1053586,M,63.7808219178082,BLACK
1053591,F,62.8328767123288,BLACK
1053593,M,51.4794520547945,BLACK
1053595,F,70.0657534246575,BLACK
1053597,M,60.7917808219178,BLACK
1053598,M,50.7506849315068,WHITE
1053600,F,42.9780821917808,BLACK
1053602,M,45.5287671232877,WHITE
1053603,F,52.9150684931507,WHITE HISPANIC
1053604,F,57.4493150684932,BLACK
1053605,M,60.4,WHITE
1053607,F,37.7671232876712,BLACK
1053608,F,46.158904109589,BLACK
1053611,M,56.3780821917808,BLACK
1053613,M,66.586301369863,WHITE HISPANIC
1053615,M,43.3561643835616,BLACK
1053619,F,38.0712328767123,BLACK
1053620,F,29.7808219178082,WHITE HISPANIC
1053621,M,32.2164383561644,BLACK
1053623,M,48.8493150684932,BLACK
1053624,M,27.8164383561644,BLACK
1053627,F,,UNKNOWN
1053629,M,28.3890410958904,BLACK
1053631,M,35.6547945205479,WHITE HISPANIC
1053632,F,44.3178082191781,BLACK
1053634,M,37.3013698630137,BLACK
1053635,M,29.6493150684932,BLACK
1053637,F,,BLACK
1053638,F,43.5287671232877,BLACK
1053639,F,53.5150684931507,BLACK
1053644,M,,BLACK
1053645,M,24.5753424657534,BLACK
1053646,M,53.0630136986301,BLACK
1053647,F,60.3369863013699,WHITE
1053648,M,70.1808219178082,BLACK
1053649,M,33.0794520547945,BLACK
1053651,M,26.5616438356164,BLACK
1053652,M,34.8383561643836,WHITE HISPANIC
1053653,F,31.6794520547945,BLACK
1053655,F,24.1232876712329,WHITE
1053656,M,,BLACK
1053659,M,45.7534246575342,WHITE
1053661,F,29.1780821917808,WHITE
1053662,M,38.7260273972603,WHITE HISPANIC
1053664,F,54.0191780821918,BLACK
1053665,F,,BLACK
1053666,F,31.9479452054794,BLACK
1053667,M,57.6657534246575,WHITE
1053669,M,30.1835616438356,BLACK
1053671,F,57.4712328767123,BLACK
1053673,M,58.5452054794521,BLACK
1053674,M,28.758904109589,WHITE
1053675,M,32.7068493150685,BLACK
1053676,F,36.9698630136986,BLACK
1053677,M,48.7260273972603,BLACK
1053678,F,48.3698630136986,BLACK
1053679,M,37.6712328767123,WHITE
1053680,M,25.7616438356164,WHITE
1053682,M,30.0,BLACK
1053683,F,66.3506849315069,BLACK
1053686,M,25.9479452054794,WHITE
1053687,F,39.5369863013699,WHITE
1053688,M,60.8027397260274,AMER IND/ALASKAN NATIVE
1053689,M,,WHITE
1053691,M,25.3315068493151,UNKNOWN
1053693,M,28.5095890410959,UNKNOWN
