Unit No.,Unit Description,Status
000,AREA 0,Y
001,DISTRICT 001,Y
002,DISTRICT 002,Y
003,DISTRICT 003,Y
004,DISTRICT 004,Y
005,DISTRICT 005,Y
006,DISTRICT 006,Y
007,DISTRICT 007,Y
008,DISTRICT 008,Y
009,DISTRICT 009,Y
010,DISTRICT 010,Y
011,DISTRICT 011,Y
012,DISTRICT 012,Y
013,DISTRICT 013,N
014,DISTRICT 014,Y
015,DISTRICT 015,Y
016,DISTRICT 016,Y
017,DISTRICT 017,Y
018,DISTRICT 018,Y
019,DISTRICT 019,Y
020,DISTRICT 020,Y
021,DISTRICT 021,N
022,DISTRICT 022,Y
023,DISTRICT 023,N
024,DISTRICT 024,Y
025,DISTRICT 025,Y
026,EXECUTIVE OFFICERS UNIT,Y
032,CAPS CRT ADVOCACY,N
043,COMMUNICATIONS C/G,N
044,RECRUIT TRAINING SECTION,Y
045,DISTRICT REINSTATEMENT UNIT,Y
046,LOOP TRAFFIC C/G,N
048,LINCOLN PARK ZOO C/G,N
049,UNKNOWN,N
050,AIRPORT LAW ENFORCEMENT SECTION - NORTH,Y
051,AIRPORT LAW ENFORCEMENT SECTION - SOUTH,Y
053,KENNEDY CONSTRUCTION,N
055,MOUNTED UNIT,Y
057,DETAIL UNIT,Y
057,TRAFFIC SECTION DETAIL UNIT,N
058,SPEC FUNC CANUNE,N
059,MARINE OPERATIONS UNIT,Y
060,HELICOPTER OPERATIONS UNIT,Y
071,YOUTH DIVISION AREA1,N
072,YOUTH DIVISION AREA2,N
073,YOUTH DIVISION AREA3,N
074,YOUTH DIVISION AREA4,N
075,YOUTH DIVISION AREA5,N
079,SPECIAL INVESTIGATIONS UNIT,Y
081,OEC-DIRECTOR OFFICE,N
082,OEC-FACILITY SERV,N
083,OEC-CAD OPERATIONS,N
084,OEC-ELECTRONIC OPER,N
085,OEC-INT SERCURE NE,N
086,OEC-POLICE DISPATCH,N
087,OEC-FIRE DISPATCH,N
088,ALTERNATE RESPONSE,N
091,NARC SPECIAL ENFORCE,N
092,NARC GENERAL ENFORCE,N
100,PUBLIC BUILDING COMM,N
101,POLICE BOARD,Y
102,OFFICE OF NEWS AFFAIRS,Y
111,OFFICE OF THE SUPERINTENDENT,Y
112,BUREAU OF PROFESSIONAL STANDARDS,N
113,INDEPENDENT POLICE REVIEW AUTHORITY (IPRA),Y
114,LEGAL AFFAIRS SECTION,Y
115,CAPS PROJECT OFFICE,N
