pay_grade,rank,display_rank,order_rank
D|1,POLICE OFFICER,POLICE OFFICER,1
D|2,POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER),POLICE OFFICER,1
D|2,POLICE OFFICER / FLD TRNG OFFICER,POLICE OFFICER,1
D|2,POLICE OFFICER (ASSGN AS HELICOPTER PILOT),POLICE OFFICER,1
D|2,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE OFFICER,1
D|2,POLICE OFFICER (ASSIGNED AS CANINE HANDLER),POLICE OFFICER,1
D|2,POLICE OFFICER (ASGND AS MARINE OFFICER),POLICE OFFICER,1
D|2,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE OFFICER,1
D|2,POLICE TECHNICIAN,POLICE OFFICER,1
D|2,POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST),POLICE OFFICER,1
D|2,POLICE OFFICER(ASGND AS LATENT PRINT EX),POLICE OFFICER,1
D|2,POLICE AGENT,POLICE OFFICER,1
D|2,POLICE OFFICER (PER ARBITRATION AWARD),POLICE OFFICER,1
D|2A,POLICE OFFICER (PER ARBITRATION AWARD),POLICE OFFICER,1
D|2A,POLICE OFFICER (ASSIGNED AS DETECTIVE),DETECTIVE,2
D|2A,POLICE OFFICER (ASSIGNED AS GANG SPECIALIST),POLICE OFFICER,1
D|2A,POLICE OFFICER (ASSIGNED AS INVESTIGATOR),POLICE OFFICER,1
D|3,POLICE FORENSIC INVESTIGATOR I,POLICE OFFICER,1
D|3,POLICE OFFICER (ASSIGNED AS SECURITY SPECIALIST),POLICE OFFICER,1
D|3,EXPLOSIVES TECHNICIAN I,POLICE OFFICER,1
D|3,FIREARMS IDENTIFICATION TECHNICIAN I,POLICE OFFICER,1
D|3,POLICE OFFICER(ASGND AS SUPVG LATENT PRINT EX),POLICE OFFICER,1
D|3,POLICE OFFICER / SUPRVSING SUBST ABUSE CONSLR,POLICE OFFICER,1
D|3,POLICE LEGAL OFFICER I,POLICE OFFICER,1
EX|9011,SUPERINTENDENT'S CHIEF OF STAFF,SUPERINTENDENT'S CHIEF OF STAFF,
EX|9701,ASSISTANT SUPERINTENDENT,ASSISTANT SUPERINTENDENT,
EX|9756,GENERAL COUNSEL,GENERAL COUNSEL,
EX|9781,FIRST DEPUTY SUPERINTENDENT,FIRST DEPUTY SUPERINTENDENT,
EX|9782,DEPUTY SUPERINTENDENT,DEPUTY SUPERINTENDENT,
E|3,SERGEANT,SERGEANT,
E|4,EXPLOSIVES TECHNICIAN II,EXPLOSIVES TECHNICIAN II,
E|4,SERGEANT ( PER ARBTRN AGR),SERGEANT,
E|4,POLICE LEGAL OFFICER II,POLICE LEGAL OFFICER II,
E|4,LIEUTENANT,LIEUTENANT,
E|4,POLICE FORENSIC INVESTIGATOR II,POLICE FORENSIC INVESTIGATOR II,
E|5,POLICE LEGAL OFFICER III,POLICE LEGAL OFFICER III,
E|5,EXPLOSIVES TECHNICIAN III,EXPLOSIVES TECHNICIAN III,
E|5,CAPTAIN,CAPTAIN,
E|6,DIR OF MOTOR AND ELECTRONICS MAINTENANCE,DIR OF MOTOR AND ELECTRONICS MAINTENANCE,
SR|9742,COMMANDER OF GENERAL SUPPORT DIVISION,COMMANDER OF GENERAL SUPPORT DIVISION,
SR|9752,COMMANDER,COMMANDER,
SR|9759,DIR OF HUMAN RESOURCES,DIR OF HUMAN RESOURCES,
SR|9762,ADMINISTRATIVE ASST - POLICE,ADMINISTRATIVE ASST - POLICE,
SR|9780,DIR OF MANAGEMENT/LABOR AFFAIRS,DIR OF MANAGEMENT/LABOR AFFAIRS,
SR|9785,CHIEF,CHIEF,
SR|9786,COORD OF SPECIAL EVENTS LIAISON,COORD OF SPECIAL EVENTS LIAISON,
SR|9796,DEPUTY CHIEF,DEPUTY CHIEF,
