Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,CRID,174136,70302,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Incident_Date,173714,5438,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Incident_Time,173494,2178,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Complaint_Date,174136,5156,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Case_Status,174136,6,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Closed_Date,172489,3237,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Investigator_Full_Name,174136,3057,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Investigator_Assignment,174136,151,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Beat,174136,1674,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Address_of_Incident,174134,48788,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Accused,174136,18336,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Star,166752,25448,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Accused_Gender,0,1,float64
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Accused_Birth_Year,0,1,float64
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Accused_Appointed_Date,174090,1497,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Current_Unit,174119,304,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Final_Complaint_Category,174136,126,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Current_Rank,174118,316,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Complaint_Description,174136,126,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Final_Finding,174136,4,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Final_Finding_Description,174136,4,object
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Final_Action_Taken,174136,33,int64
MAINFRAME_COMPLAINTS_REVISED_30NOV2016.CSV,Final_Action_Description,174136,33,object
