Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
p046957 - report 1.1 - all complaints in time frame.xls,CRID,29969,27783,int64
p046957 - report 1.1 - all complaints in time frame.xls,Beat,29396,599,object
p046957 - report 1.1 - all complaints in time frame.xls,Location_Code,29966,24,object
p046957 - report 1.1 - all complaints in time frame.xls,Location_Value,29506,20,object
p046957 - report 1.1 - all complaints in time frame.xls,Address_of_Incident,29969,15418,object
p046957 - report 1.1 - all complaints in time frame.xls,City,29969,123,object
p046957 - report 1.1 - all complaints in time frame.xls,State,24238,13,object
p046957 - report 1.1 - all complaints in time frame.xls,Zip,899,76,object
p046957 - report 1.1 - all complaints in time frame.xls,Incident_Date,29969,23798,datetime64[ns]
p046957 - report 1.1 - all complaints in time frame.xls,Complaint_Date,29969,1368,datetime64[ns]
p046957 - report 1.1 - all complaints in time frame.xls,Closed_Date,29957,1299,datetime64[ns]
p046957 - report 1.1 - all complaints in time frame.xls,Investigator_Full_Name,27740,1878,object
p046957 - report 1.1 - all complaints in time frame.xls,Investigator_Assignment,27740,140,object
p046957 - report 1.1 - all complaints in time frame.xls,Investigator_Rank,27740,71,object
p046957 - report 1.1 - all complaints in time frame.xls,Investigator_Star,8204,450,float64
p046957 - report 1.1 - all complaints in time frame.xls,Investigator_Appt_Date,29914,329,object
p046957 - report 1.1 - all complaints in time frame.xls,FOIA_Request_Number,29969,1,object
p046957 - report 1.2 - all complaints in time frame.xls,CRID,25223,23791,int64
p046957 - report 1.2 - all complaints in time frame.xls,Beat,25218,290,object
p046957 - report 1.2 - all complaints in time frame.xls,Location_Code,25222,24,object
p046957 - report 1.2 - all complaints in time frame.xls,Location_Value,24945,20,object
p046957 - report 1.2 - all complaints in time frame.xls,Address_of_Incident,25223,12617,object
p046957 - report 1.2 - all complaints in time frame.xls,City,25223,138,object
p046957 - report 1.2 - all complaints in time frame.xls,State,20029,23,object
p046957 - report 1.2 - all complaints in time frame.xls,Zip,497,58,object
p046957 - report 1.2 - all complaints in time frame.xls,Incident_Date,25223,18434,datetime64[ns]
p046957 - report 1.2 - all complaints in time frame.xls,Complaint_Date,25223,1408,datetime64[ns]
p046957 - report 1.2 - all complaints in time frame.xls,Closed_Date,25154,1219,datetime64[ns]
