Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
p046957 - report 2.1 - identified accused.xls,CRID,33173,18933,int64
p046957 - report 2.1 - identified accused.xls,Accused,33173,9375,object
p046957 - report 2.1 - identified accused.xls,Accused_Birth_Year,33173,61,float64
p046957 - report 2.1 - identified accused.xls,Accused_Gender,33173,2,object
p046957 - report 2.1 - identified accused.xls,Accused_Race_Code,33173,7,object
p046957 - report 2.1 - identified accused.xls,Date_of_Appt,33173,352,datetime64[ns]
p046957 - report 2.1 - identified accused.xls,Current_Unit,33169,152,object
p046957 - report 2.1 - identified accused.xls,Current_Rank,32402,12,object
p046957 - report 2.1 - identified accused.xls,Star,21106,5339,float64
p046957 - report 2.1 - identified accused.xls,Complaint_Category,33054,113,object
p046957 - report 2.1 - identified accused.xls,Orig_Finding,33173,6,object
p046957 - report 2.1 - identified accused.xls,Orig_Recommended_Discipline,32405,28,float64
p046957 - report 2.1 - identified accused.xls,Final_Finding,33173,6,object
p046957 - report 2.1 - identified accused.xls,Final_Recommended_Discipline,32245,37,float64
p046957 - report 2.1 - identified accused.xls,FOIA_Request_Number,33173,1,object
p046957 - report 2.1 - identified accused.xls,Report_Produced_Date,33173,1,object
p046957 - report 2.2 - identified accused.xls,CRID,18202,9862,int64
p046957 - report 2.2 - identified accused.xls,Accused,18202,7044,object
p046957 - report 2.2 - identified accused.xls,Accused_Birth_Year,18202,47,float64
p046957 - report 2.2 - identified accused.xls,Accused_Gender,18202,2,object
p046957 - report 2.2 - identified accused.xls,Accused_Race_Code,18202,6,object
p046957 - report 2.2 - identified accused.xls,Date_of_Appt,18202,281,datetime64[ns]
p046957 - report 2.2 - identified accused.xls,Current_Unit,18202,136,float64
p046957 - report 2.2 - identified accused.xls,Current_Rank,17918,12,object
p046957 - report 2.2 - identified accused.xls,Star,12934,4713,float64
p046957 - report 2.2 - identified accused.xls,Complaint_Category,18136,106,object
p046957 - report 2.2 - identified accused.xls,Orig_Finding,18202,7,object
p046957 - report 2.2 - identified accused.xls,Orig_Recommended_Discipline,17642,29,float64
p046957 - report 2.2 - identified accused.xls,Final_Finding,18202,6,object
p046957 - report 2.2 - identified accused.xls,Final_Recommended_Discipline,17607,32,float64
p046957 - report 2.2 - identified accused.xls,FOIA_Request_Number,18202,1,object
p046957 - report 2.2 - identified accused.xls,Report_Produced_Date,18202,1,object
p046957 - report 2.3 - identified accused.xls,CRID,23153,11930,int64
p046957 - report 2.3 - identified accused.xls,Accused,23153,8260,object
