Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
CR_AllRecords.xlsx,Officer_Name,134683,18907,object
CR_AllRecords.xlsx,Officer_Unit,134528,170,object
CR_AllRecords.xlsx,Date_of_Appointment,134486,1455,object
CR_AllRecords.xlsx,CRID,134683,70449,int64
CR_AllRecords.xlsx,Initial_Complaint_Category,134683,128,object
CR_AllRecords.xlsx,Final_Complaint_Category,134683,1554,object
CR_AllRecords.xlsx,Incident_Date,134462,5514,object
CR_AllRecords.xlsx,Complaint_Date,134683,5229,object
CR_AllRecords.xlsx,Closed_Date,133294,3277,object
CR_AllRecords.xlsx,Final_Finding,134683,4,object
CR_AllRecords.xlsx,Final_Action_Taken,134683,33,int64
CR_AllRecords.xlsx,Final_Action_Description,134683,33,object
