Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
All complaints during 2012.xls,CRID,48293,1877,int64
All complaints during 2012.xls,Beat,48293,273,int64
All complaints during 2012.xls,Address,48293,806,object
All complaints during 2012.xls,Street,48293,519,object
All complaints during 2012.xls,Address_of_Incident,48293,1586,object
All complaints during 2012.xls,Location_Value,48111,56,object
All complaints during 2012.xls,Incident_Time_Start,48083,1816,datetime64[ns]
All complaints during 2012.xls,Incident_Time_End,48083,1825,datetime64[ns]
All complaints during 2012.xls,Notification_Date,48293,1877,datetime64[ns]
All complaints during 2012.xls,Closed_Date,44177,1680,datetime64[ns]
All complaints during 2012.xls,Investigator_Last_Name,46213,70,object
All complaints during 2012.xls,Investigator_First_Name,46213,70,object
All complaints during 2012.xls,Accused_First_Name,31725,448,object
All complaints during 2012.xls,Accused_Last_Name,31725,887,object
All complaints during 2012.xls,Accused_Star,31122,1047,float64
All complaints during 2012.xls,Accused_Unit,31725,55,float64
All complaints during 2012.xls,Accused_Detail,3666,35,float64
All complaints during 2012.xls,Accused_Appointment_Date,31725,179,object
All complaints during 2012.xls,Accused_Rank,31725,15,object
All complaints during 2012.xls,Initial_Category_Code,46477,82,object
All complaints during 2012.xls,Initial_Category_Description,46477,57,object
All complaints during 2012.xls,Current_Category_Code,48293,86,object
All complaints during 2012.xls,Current_Category_Description,48293,58,object
All complaints during 2012.xls,Current_Status,48293,15,object
All complaints during 2012.xls,Finding_Code,44596,7,object
All complaints during 2012.xls,Disciple_Code,5331,5,object
All complaints during 2012.xls,Discipline_Description,3699,16,float64
All complaints during 2012.xls,Involved_Officer_Last_Name,47783,2571,object
All complaints during 2012.xls,Involved_Officer_First_Name,47783,1974,object
All complaints during 2012.xls,Involved_Officer_Unit,13751,60,float64
All complaints during 2012.xls,Involved_Officer_Detail,1081,44,float64
All complaints during 2012.xls,Involved_Officer_Rank,43603,18,object
All complaints during 2012.xls,Involved_Officer_Age,28999,82,float64
All complaints during 2012.xls,Involved_Officer_Sex,47827,3,object
All complaints during 2012.xls,Involved_Officer_Race,46680,9,object
All complaints during 2012.xls,Report_Produced_Date,48293,1,object
All complaints during 2013.xls,CRID,39561,1913,int64
All complaints during 2013.xls,Beat,39561,268,int64
All complaints during 2013.xls,Address,39561,818,object
