CRID,Witness_Gender,Witness_Age,Witness_Race,FOIA_Request_Number,Report_Produced_Date
1043909,F,23.92876712328767,BLACK,FOIA 14-5509,2015-08-03
1043921,F,40.6958904109589,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1043926,F,31.89041095890411,BLACK,FOIA 14-5509,2015-08-03
1043927,F,53.62465753424657,WHITE,FOIA 14-5509,2015-08-03
1043930,F,34.2,BLACK,FOIA 14-5509,2015-08-03
1043932,F,66.15616438356165,BLACK,FOIA 14-5509,2015-08-03
1043933,M,43.86301369863014,WHITE,FOIA 14-5509,2015-08-03
1043935,M,31.057534246575344,BLACK,FOIA 14-5509,2015-08-03
1043936,M,58.276712328767125,WHITE,FOIA 14-5509,2015-08-03
1043943,M,39.23287671232877,BLACK,FOIA 14-5509,2015-08-03
1043945,F,26.84931506849315,BLACK,FOIA 14-5509,2015-08-03
1043946,M,50.16712328767123,BLACK,FOIA 14-5509,2015-08-03
1043947,M,58.276712328767125,WHITE,FOIA 14-5509,2015-08-03
1043949,F,62.68493150684932,BLACK,FOIA 14-5509,2015-08-03
1043950,M,,BLACK,FOIA 14-5509,2015-08-03
1043952,F,54.04931506849315,BLACK,FOIA 14-5509,2015-08-03
1043958,M,23.378082191780823,BLACK,FOIA 14-5509,2015-08-03
1043959,F,35.369863013698634,BLACK,FOIA 14-5509,2015-08-03
1043963,M,,UNKNOWN,FOIA 14-5509,2015-08-03
1043964,F,30.586301369863012,BLACK,FOIA 14-5509,2015-08-03
1043965,M,53.3068493150685,WHITE,FOIA 14-5509,2015-08-03
1043968,M,29.016438356164386,BLACK,FOIA 14-5509,2015-08-03
1043975,M,38.18904109589041,BLACK,FOIA 14-5509,2015-08-03
1043977,F,40.14520547945206,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1043981,F,41.106849315068494,BLACK,FOIA 14-5509,2015-08-03
1043985,M,48.1013698630137,BLACK,FOIA 14-5509,2015-08-03
1043986,F,52.65479452054795,WHITE,FOIA 14-5509,2015-08-03
1043987,M,49.232876712328775,BLACK,FOIA 14-5509,2015-08-03
1043988,M,46.57534246575343,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1043989,F,36.56164383561644,BLACK,FOIA 14-5509,2015-08-03
1043990,M,50.26301369863014,BLACK,FOIA 14-5509,2015-08-03
1043994,F,29.158904109589038,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1043995,F,55.97260273972603,WHITE,FOIA 14-5509,2015-08-03
1043996,M,61.81917808219178,WHITE,FOIA 14-5509,2015-08-03
1043997,F,32.895890410958906,BLACK,FOIA 14-5509,2015-08-03
1044003,M,25.74794520547945,BLACK,FOIA 14-5509,2015-08-03
1044004,M,42.915068493150685,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044005,F,23.07123287671233,WHITE,FOIA 14-5509,2015-08-03
1044006,M,55.85753424657534,WHITE,FOIA 14-5509,2015-08-03
1044008,M,52.06027397260274,BLACK,FOIA 14-5509,2015-08-03
1044011,F,35.31232876712328,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044013,M,26.69041095890411,BLACK,FOIA 14-5509,2015-08-03
1044016,F,33.12876712328767,BLACK,FOIA 14-5509,2015-08-03
1044017,F,29.08219178082192,BLACK,FOIA 14-5509,2015-08-03
1044018,F,52.1041095890411,BLACK,FOIA 14-5509,2015-08-03
1044020,M,37.487671232876714,BLACK,FOIA 14-5509,2015-08-03
1044022,F,27.038356164383565,BLACK,FOIA 14-5509,2015-08-03
1044024,M,40.68219178082192,BLACK,FOIA 14-5509,2015-08-03
1044026,M,27.175342465753424,BLACK,FOIA 14-5509,2015-08-03
1044027,F,31.487671232876714,BLACK,FOIA 14-5509,2015-08-03
1044028,F,65.72876712328767,WHITE,FOIA 14-5509,2015-08-03
1044029,M,56.44109589041096,BLACK,FOIA 14-5509,2015-08-03
1044030,F,40.638356164383566,BLACK,FOIA 14-5509,2015-08-03
1044030,M,44.276712328767125,BLACK,FOIA 14-5509,2015-08-03
1044031,F,37.73424657534247,BLACK,FOIA 14-5509,2015-08-03
1044032,F,54.112328767123294,BLACK,FOIA 14-5509,2015-08-03
1044034,F,57.72054794520548,WHITE,FOIA 14-5509,2015-08-03
1044037,M,58.276712328767125,WHITE,FOIA 14-5509,2015-08-03
1044039,F,41.83013698630137,BLACK,FOIA 14-5509,2015-08-03
1044040,F,43.794520547945204,BLACK,FOIA 14-5509,2015-08-03
1044041,M,36.57260273972603,WHITE,FOIA 14-5509,2015-08-03
1044045,F,,BLACK,FOIA 14-5509,2015-08-03
1044047,M,,BLACK,FOIA 14-5509,2015-08-03
1044049,F,58.865753424657534,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044050,F,,WHITE,FOIA 14-5509,2015-08-03
1044052,M,27.986301369863014,ASIAN/PACIFIC ISLANDER,FOIA 14-5509,2015-08-03
1044055,F,44.9041095890411,BLACK,FOIA 14-5509,2015-08-03
1044060,F,37.76712328767123,BLACK,FOIA 14-5509,2015-08-03
1044063,M,48.76438356164384,HISPANIC,FOIA 14-5509,2015-08-03
1044064,M,49.33698630136986,BLACK,FOIA 14-5509,2015-08-03
1044067,M,38.704109589041096,BLACK,FOIA 14-5509,2015-08-03
1044068,M,36.24657534246575,BLACK,FOIA 14-5509,2015-08-03
1044071,M,23.605479452054798,BLACK,FOIA 14-5509,2015-08-03
1044072,F,41.78082191780822,BLACK,FOIA 14-5509,2015-08-03
1044074,M,40.47671232876712,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044077,M,46.05479452054795,WHITE,FOIA 14-5509,2015-08-03
1044078,F,56.85479452054795,WHITE,FOIA 14-5509,2015-08-03
1044079,F,56.85479452054795,WHITE,FOIA 14-5509,2015-08-03
1044080,M,34.367123287671234,BLACK,FOIA 14-5509,2015-08-03
1044086,M,57.1013698630137,WHITE,FOIA 14-5509,2015-08-03
1044087,M,52.31232876712329,BLACK,FOIA 14-5509,2015-08-03
1044088,M,39.09315068493151,BLACK,FOIA 14-5509,2015-08-03
1044089,M,,WHITE,FOIA 14-5509,2015-08-03
1044090,F,45.728767123287675,BLACK,FOIA 14-5509,2015-08-03
1044092,M,31.769863013698632,BLACK,FOIA 14-5509,2015-08-03
1044093,M,47.04931506849315,WHITE,FOIA 14-5509,2015-08-03
1044094,F,27.03287671232877,BLACK,FOIA 14-5509,2015-08-03
1044096,F,38.25753424657534,WHITE,FOIA 14-5509,2015-08-03
1044099,F,55.02465753424657,BLACK,FOIA 14-5509,2015-08-03
1044100,M,52.4054794520548,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044102,M,38.53150684931507,BLACK,FOIA 14-5509,2015-08-03
1044103,F,,BLACK,FOIA 14-5509,2015-08-03
1044105,F,54.81917808219178,UNKNOWN,FOIA 14-5509,2015-08-03
1044106,M,45.90958904109589,WHITE,FOIA 14-5509,2015-08-03
1044108,M,44.93698630136986,WHITE,FOIA 14-5509,2015-08-03
1044109,F,41.726027397260275,BLACK,FOIA 14-5509,2015-08-03
1044112,F,,BLACK,FOIA 14-5509,2015-08-03
1044119,M,25.83013698630137,BLACK,FOIA 14-5509,2015-08-03
1044120,M,25.13972602739726,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044123,F,41.090410958904116,WHITE,FOIA 14-5509,2015-08-03
1044125,F,46.47671232876713,BLACK,FOIA 14-5509,2015-08-03
1044126,M,38.22191780821918,BLACK,FOIA 14-5509,2015-08-03
1044135,M,50.55068493150685,WHITE,FOIA 14-5509,2015-08-03
1044136,M,,WHITE,FOIA 14-5509,2015-08-03
1044137,F,40.630136986301366,BLACK,FOIA 14-5509,2015-08-03
1044138,F,59.16438356164384,BLACK,FOIA 14-5509,2015-08-03
1044140,F,42.95342465753424,BLACK,FOIA 14-5509,2015-08-03
1044141,M,54.61643835616438,WHITE,FOIA 14-5509,2015-08-03
1044142,M,23.556164383561647,WHITE,FOIA 14-5509,2015-08-03
1044143,F,55.035616438356165,BLACK,FOIA 14-5509,2015-08-03
1044147,M,23.561643835616437,BLACK,FOIA 14-5509,2015-08-03
1044148,M,29.21369863013699,BLACK,FOIA 14-5509,2015-08-03
1044150,M,50.74794520547945,HISPANIC,FOIA 14-5509,2015-08-03
1044150,M,49.161643835616445,BLACK,FOIA 14-5509,2015-08-03
