Investigator_Last_Name,Investigator_First_Name,Current_Report,Current_Rank,FOIA_Request_Number,Report_Produced_Date
DAUN,SHERRY,113,SUPERVISING INV IPRA,FOIA 14-5509,
JONES,VINCENT,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
CHICO,ALICE,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
DOWNS,RICHARD,121,SERGEANT OF POLICE,FOIA 14-5509,
TSOUKALAS,CHRIST,121,SERGEANT OF POLICE,FOIA 14-5509,
MUSZYNSKY,MICHAEL,17,SERGEANT OF POLICE,FOIA 14-5509,
CARTER,SHYKELA,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
BRECKENRIDGE,CHARLES,121,POLICE AGENT,FOIA 14-5509,
KLIMAS,ROBERT,121,COMMANDER,FOIA 14-5509,
WALSH,WILLIAM,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
BARZ,MICHAEL,121,SERGEANT OF POLICE,FOIA 14-5509,
SANDERS,ERICA,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
HOLT,ELGIN,620,LIEUTENANT OF POLICE,FOIA 14-5509,
BARRY,KEVIN,620,SERGEANT OF POLICE,FOIA 14-5509,
SOTO,ROBERTO,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
ASSAF,MAJED,121,SERGEANT OF POLICE,FOIA 14-5509,
WILLIAMS,ONETTA,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
KLIMAS,ROBERT,121,COMMANDER,FOIA 14-5509,
HERMANN,JANINE,121,SERGEANT OF POLICE,FOIA 14-5509,
NEAL JR,WILBERT,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
PLANEY,JEFFERY,213,SERGEANT OF POLICE,FOIA 14-5509,
JASKE,PAUL,14,SERGEANT OF POLICE,FOIA 14-5509,
ALEJO,LUIS,121,POLICE OFFICER,FOIA 14-5509,
BATEY,TERRY,121,POLICE OFFICER,FOIA 14-5509,
MARTIN,MARIA,121,POLICE AGENT,FOIA 14-5509,
WHEELER,ROBERT,606,SERGEANT OF POLICE,FOIA 14-5509,
DEL VALLE,NOEL,121,POLICE AGENT,FOIA 14-5509,
DICKMAN,JOSEPH,121,SERGEANT OF POLICE,FOIA 14-5509,
NUFIO,OSCAR,113,INVESTIGATOR I IPRA,FOIA 14-5509,
SKIPPER,NEIL,24,LIEUTENANT OF POLICE,FOIA 14-5509,
HENDRICKS,RAMONA,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
ALEJO,LUIS,121,POLICE OFFICER,FOIA 14-5509,
HARB,ARTHUR,24,SERGEANT OF POLICE,FOIA 14-5509,
REYNOLDS,KEITH,22,LIEUTENANT OF POLICE,FOIA 14-5509,
