CRID,Victim_Gender,Victim_Age,Victim_Race,FOIA_Request_Number,Report_Produced_Date
1039179,F,25.832876712328765,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1039179,M,38.0,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053502,F,,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053505,F,18.378082191780823,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053509,F,42.74794520547945,WHITE HISPANIC,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053518,M,22.821917808219176,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053521,M,,WHITE HISPANIC,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053524,M,22.076712328767123,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053527,M,31.83013698630137,WHITE,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053552,M,24.695890410958906,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053573,M,59.93150684931506,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053580,M,51.413698630136984,HISPANIC,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053582,M,25.230136986301368,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053585,F,25.454794520547942,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053585,M,25.430136986301367,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053595,F,95.66027397260274,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053597,M,24.268493150684932,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053602,M,21.693150684931506,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053607,M,34.07671232876712,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053608,M,17.994520547945207,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053611,F,,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053615,M,30.016438356164386,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053627,F,57.47397260273972,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053632,M,21.98082191780822,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053637,M,29.035616438356165,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053637,M,24.232876712328768,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053638,M,11.216438356164383,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053638,M,17.575342465753423,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053639,M,18.975342465753425,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053646,F,56.369863013698634,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053649,M,20.74794520547945,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053653,M,30.0,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053654,M,53.63287671232877,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053656,M,,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053658,M,33.06301369863014,WHITE HISPANIC,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053661,M,35.29041095890411,WHITE,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053661,F,32.846575342465755,WHITE,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053671,M,33.986301369863014,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053672,F,27.027397260273975,BLACK,"FOIA # P046957
Report 4
Victim  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
