CRID,Witness_Gender,Witness_Age,Witness_Race,FOIA_Request_Number,Report_Produced_Date
1038595,F,63.8054794520548,WHITE,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1039179,M,50.44931506849315,BLACK,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1039179,M,51.39178082191781,BLACK,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1039179,F,34.64109589041096,BLACK,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053492,F,51.364383561643834,BLACK,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053493,M,52.150684931506845,WHITE HISPANIC,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053495,F,,UNKNOWN,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053497,M,30.66575342465753,BLACK,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053501,M,29.15068493150685,BLACK,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053502,M,41.28767123287671,BLACK,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053505,F,39.47945205479452,BLACK,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053506,F,56.11232876712329,WHITE,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053508,M,52.539726027397265,WHITE,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053509,M,37.446575342465756,WHITE HISPANIC,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053510,M,57.25205479452055,BLACK,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053517,M,23.687671232876713,WHITE HISPANIC,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053518,F,35.6027397260274,BLACK,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053519,F,47.33972602739726,WHITE HISPANIC,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053521,F,,WHITE,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053524,M,23.457534246575342,BLACK,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053527,F,33.57260273972602,WHITE HISPANIC,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
1053529,M,30.16986301369863,WHITE HISPANIC,"FOIA # P046957
Report 5
Complainant  Data
Incident Date From 22 Apr 2012 to 22 Apr 2016
Source Data: CRMS",2016-06-16
