Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
foia 14-5509 - report 2a - identified accused xi.xls,CRID,3241,1772,int64
foia 14-5509 - report 2a - identified accused xi.xls,Accused,3241,2430,object
foia 14-5509 - report 2a - identified accused xi.xls,Accused_Gender,3241,2,object
foia 14-5509 - report 2a - identified accused xi.xls,Accused_Race_Code,3241,6,object
foia 14-5509 - report 2a - identified accused xi.xls,Date_of_Appt,3241,195,object
foia 14-5509 - report 2a - identified accused xi.xls,Current_Unit,3240,99,float64
foia 14-5509 - report 2a - identified accused xi.xls,Current_Rank,3218,10,object
foia 14-5509 - report 2a - identified accused xi.xls,Star,2956,2210,float64
foia 14-5509 - report 2a - identified accused xi.xls,Complaint_Category,3114,82,object
foia 14-5509 - report 2a - identified accused xi.xls,Orig_Finding,3241,6,object
foia 14-5509 - report 2a - identified accused xi.xls,Orig_Recommended_Discipline,3012,17,float64
foia 14-5509 - report 2a - identified accused xi.xls,Final_Finding,3241,6,object
foia 14-5509 - report 2a - identified accused xi.xls,Final_Recommended_Discipline,3007,22,float64
foia 14-5509 - report 2a - identified accused xi.xls,FOIA_Request_Number,3241,1,object
foia 14-5509 - report 2a - identified accused xi.xls,Report_Produced_Date,3241,1,object
foia 14-5509 - report 2b - identified accused xi.xls,CRID,2721,1515,int64
foia 14-5509 - report 2b - identified accused xi.xls,Accused,2721,2057,object
foia 14-5509 - report 2b - identified accused xi.xls,Accused_Gender,2721,2,object
foia 14-5509 - report 2b - identified accused xi.xls,Accused_Race_Code,2721,6,object
foia 14-5509 - report 2b - identified accused xi.xls,Date_of_Appt,2721,192,object
foia 14-5509 - report 2b - identified accused xi.xls,Current_Unit,2721,91,float64
foia 14-5509 - report 2b - identified accused xi.xls,Current_Rank,2699,10,object
foia 14-5509 - report 2b - identified accused xi.xls,Star,2542,1919,float64
foia 14-5509 - report 2b - identified accused xi.xls,Complaint_Category,2604,75,object
foia 14-5509 - report 2b - identified accused xi.xls,Orig_Finding,2721,6,object
foia 14-5509 - report 2b - identified accused xi.xls,Orig_Recommended_Discipline,2444,16,float64
foia 14-5509 - report 2b - identified accused xi.xls,Final_Finding,2721,6,object
foia 14-5509 - report 2b - identified accused xi.xls,Final_Recommended_Discipline,2444,18,float64
foia 14-5509 - report 2b - identified accused xi.xls,FOIA_Request_Number,2721,1,object
foia 14-5509 - report 2b - identified accused xi.xls,Report_Produced_Date,2721,1,object
foia 14-5509 - report 2c - identified accused xi.xls,CRID,2969,1606,int64
foia 14-5509 - report 2c - identified accused xi.xls,Accused,2969,2211,object
foia 14-5509 - report 2c - identified accused xi.xls,Accused_Gender,2969,2,object
foia 14-5509 - report 2c - identified accused xi.xls,Accused_Race_Code,2969,6,object
foia 14-5509 - report 2c - identified accused xi.xls,Date_of_Appt,2969,189,object
foia 14-5509 - report 2c - identified accused xi.xls,Current_Unit,2969,83,float64
foia 14-5509 - report 2c - identified accused xi.xls,Current_Rank,2949,10,object
foia 14-5509 - report 2c - identified accused xi.xls,Star,2793,2078,float64
foia 14-5509 - report 2c - identified accused xi.xls,Complaint_Category,2782,75,object
foia 14-5509 - report 2c - identified accused xi.xls,Orig_Finding,2969,6,object
foia 14-5509 - report 2c - identified accused xi.xls,Orig_Recommended_Discipline,2504,20,float64
foia 14-5509 - report 2c - identified accused xi.xls,Final_Finding,2969,6,object
foia 14-5509 - report 2c - identified accused xi.xls,Final_Recommended_Discipline,2508,18,float64
foia 14-5509 - report 2c - identified accused xi.xls,FOIA_Request_Number,2969,1,object
foia 14-5509 - report 2c - identified accused xi.xls,Report_Produced_Date,2969,1,object
foia 14-5509 - report 2d - identified accused xi.xls,CRID,2270,1238,int64
foia 14-5509 - report 2d - identified accused xi.xls,Accused,2270,1821,object
foia 14-5509 - report 2d - identified accused xi.xls,Accused_Gender,2270,2,object
foia 14-5509 - report 2d - identified accused xi.xls,Accused_Race_Code,2270,6,object
foia 14-5509 - report 2d - identified accused xi.xls,Date_of_Appt,2270,191,object
foia 14-5509 - report 2d - identified accused xi.xls,Current_Unit,2270,83,float64
foia 14-5509 - report 2d - identified accused xi.xls,Current_Rank,2257,9,object
foia 14-5509 - report 2d - identified accused xi.xls,Star,2182,1747,float64
foia 14-5509 - report 2d - identified accused xi.xls,Complaint_Category,2126,75,object
foia 14-5509 - report 2d - identified accused xi.xls,Orig_Finding,2270,6,object
foia 14-5509 - report 2d - identified accused xi.xls,Orig_Recommended_Discipline,1980,17,float64
foia 14-5509 - report 2d - identified accused xi.xls,Final_Finding,2270,6,object
foia 14-5509 - report 2d - identified accused xi.xls,Final_Recommended_Discipline,1974,18,float64
foia 14-5509 - report 2d - identified accused xi.xls,FOIA_Request_Number,2270,1,object
foia 14-5509 - report 2d - identified accused xi.xls,Report_Produced_Date,2270,1,object
foia 14-5509 - report 2e - identified accused xi.xls,CRID,2701,1546,int64
foia 14-5509 - report 2e - identified accused xi.xls,Accused,2701,2088,object
foia 14-5509 - report 2e - identified accused xi.xls,Accused_Gender,2701,2,object
foia 14-5509 - report 2e - identified accused xi.xls,Accused_Race_Code,2701,6,object
foia 14-5509 - report 2e - identified accused xi.xls,Date_of_Appt,2701,201,object
foia 14-5509 - report 2e - identified accused xi.xls,Current_Unit,2701,81,float64
foia 14-5509 - report 2e - identified accused xi.xls,Current_Rank,2686,8,object
foia 14-5509 - report 2e - identified accused xi.xls,Star,2592,2005,float64
foia 14-5509 - report 2e - identified accused xi.xls,Complaint_Category,2448,71,object
foia 14-5509 - report 2e - identified accused xi.xls,Orig_Finding,2701,6,object
foia 14-5509 - report 2e - identified accused xi.xls,Orig_Recommended_Discipline,2214,16,float64
foia 14-5509 - report 2e - identified accused xi.xls,Final_Finding,2701,6,object
foia 14-5509 - report 2e - identified accused xi.xls,Final_Recommended_Discipline,2210,20,float64
foia 14-5509 - report 2e - identified accused xi.xls,FOIA_Request_Number,2701,1,object
foia 14-5509 - report 2e - identified accused xi.xls,Report_Produced_Date,2701,1,object
foia 14-5509 - report 2f - identified accused xi.xls,CRID,2038,1102,int64
foia 14-5509 - report 2f - identified accused xi.xls,Accused,2038,1669,object
foia 14-5509 - report 2f - identified accused xi.xls,Accused_Gender,2038,2,object
foia 14-5509 - report 2f - identified accused xi.xls,Accused_Race_Code,2038,6,object
foia 14-5509 - report 2f - identified accused xi.xls,Date_of_Appt,2038,196,object
foia 14-5509 - report 2f - identified accused xi.xls,Current_Unit,2038,75,float64
foia 14-5509 - report 2f - identified accused xi.xls,Current_Rank,2030,8,object
foia 14-5509 - report 2f - identified accused xi.xls,Star,1995,1635,float64
foia 14-5509 - report 2f - identified accused xi.xls,Complaint_Category,1772,61,object
foia 14-5509 - report 2f - identified accused xi.xls,Orig_Finding,2038,6,object
foia 14-5509 - report 2f - identified accused xi.xls,Orig_Recommended_Discipline,1668,13,float64
foia 14-5509 - report 2f - identified accused xi.xls,Final_Finding,2038,6,object
foia 14-5509 - report 2f - identified accused xi.xls,Final_Recommended_Discipline,1663,10,float64
