CRID,Witness_Gender,Witness_Race
1043909,F,BLACK
1043921,F,WHITE HISPANIC
1043926,F,BLACK
1043927,F,WHITE
1043930,F,BLACK
1043932,F,BLACK
1043933,M,WHITE
1043935,M,BLACK
1043936,M,WHITE
1043943,M,BLACK
1043945,F,BLACK
1043946,M,BLACK
1043947,M,WHITE
1043949,F,BLACK
1043950,M,BLACK
1043952,F,BLACK
1043958,M,BLACK
1043959,F,BLACK
1043963,M,UNKNOWN
1043964,F,BLACK
1043965,M,WHITE
1043968,M,BLACK
1043975,M,BLACK
1043977,F,WHITE HISPANIC
1043981,F,BLACK
1043985,M,BLACK
1043986,F,WHITE
1043987,M,BLACK
1043988,M,WHITE HISPANIC
1043989,F,BLACK
1043990,M,BLACK
1043994,F,WHITE HISPANIC
1043995,F,WHITE
1043996,M,WHITE
1043997,F,BLACK
1044003,M,BLACK
1044004,M,WHITE HISPANIC
1044005,F,WHITE
1044006,M,WHITE
1044008,M,BLACK
1044011,F,WHITE HISPANIC
1044013,M,BLACK
1044016,F,BLACK
1044017,F,BLACK
1044018,F,BLACK
1044020,M,BLACK
1044022,F,BLACK
1044024,M,BLACK
1044026,M,BLACK
1044027,F,BLACK
1044028,F,WHITE
1044029,M,BLACK
1044030,F,BLACK
1044030,M,BLACK
1044031,F,BLACK
1044032,F,BLACK
1044034,F,WHITE
1044037,M,WHITE
1044039,F,BLACK
1044040,F,BLACK
1044041,M,WHITE
1044045,F,BLACK
1044047,M,BLACK
1044049,F,WHITE HISPANIC
1044050,F,WHITE
1044052,M,ASIAN/PACIFIC ISLANDER
1044055,F,BLACK
1044060,F,BLACK
1044063,M,SPANISH (DO NOT USE)
1044064,M,BLACK
1044067,M,BLACK
1044068,M,BLACK
1044071,M,BLACK
1044072,F,BLACK
1044074,M,WHITE HISPANIC
1044077,M,WHITE
1044078,F,WHITE
1044079,F,WHITE
1044080,M,BLACK
1044086,M,WHITE
1044087,M,BLACK
1044088,M,BLACK
1044089,M,WHITE
1044090,F,BLACK
1044092,M,BLACK
1044093,M,WHITE
1044094,F,BLACK
1044096,F,WHITE
1044099,F,BLACK
1044100,M,WHITE HISPANIC
1044102,M,BLACK
1044103,F,BLACK
1044105,F,UNKNOWN
1044106,M,WHITE
1044108,M,WHITE
1044109,F,BLACK
1044112,F,BLACK
1044119,M,BLACK
1044120,M,WHITE HISPANIC
1044123,F,WHITE
1044125,F,BLACK
1044126,M,BLACK
1044136,M,WHITE
1044137,F,BLACK
1044138,F,BLACK
1044140,F,BLACK
1044141,M,WHITE
1044142,M,WHITE
1044143,F,BLACK
1044147,M,BLACK
1044148,M,BLACK
1044150,M,SPANISH (DO NOT USE)
1044150,M,BLACK
1044155,M,BLACK
1044158,F,WHITE HISPANIC
1044161,M,WHITE
1044164,F,BLACK
1044165,F,BLACK
1044171,M,BLACK
1044172,M,BLACK
1044173,M,BLACK
1044175,M,BLACK
1044176,F,BLACK
1044178,M,WHITE
1044181,F,BLACK
1044182,M,WHITE
1044183,M,BLACK
1044192,F,ASIAN/PACIFIC ISLANDER
1044195,F,BLACK
1044196,M,BLACK
1044198,M,BLACK
1044200,M,WHITE HISPANIC
1044204,F,BLACK
1044205,M,BLACK
1044208,F,BLACK
1044209,M,WHITE HISPANIC
1044211,F,BLACK
1044214,M,BLACK
1044215,F,BLACK
1044216,M,BLACK
1044217,M,BLACK
1044220,F,BLACK
1044221,F,WHITE
1044224,F,BLACK
1044225,F,BLACK
1044227,M,BLACK
1044228,F,BLACK
1044229,F,WHITE
1044230,M,BLACK
1044234,M,WHITE
1044236,F,BLACK
