CRID,Assignment,Initial_Category,Assigned_Team,Team_Assigned_Date,Investigator_Assigned,Investigator_Assigned_Date,Supervisor_Assigned,IPRA_Closed_Date,FOIA_Request_Number,Report_Produced_Date
1077428,IPRA,18A,GENERAL FIELD 9,2015-10-05 12:08:00,"ABBRUZZESE, WILLIAM",2015-10-07 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1077328,IPRA,18A,GENERAL FIELD 9,2015-10-05 12:02:00,"WHITE, LAKENYA",2015-10-07 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1077146,IPRA,18A,GENERAL FIELD 9,2015-09-15 13:23:00,"ABBRUZZESE, WILLIAM",2015-09-17 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1076922,IPRA,18A,GENERAL FIELD 9,2015-08-31 16:41:00,"KILLEN, BRIAN",2015-09-03 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1076815,IPRA,18A,GENERAL FIELD 9,2015-08-24 14:25:00,"LUKAS, JAMES",2015-08-27 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1076797,IPRA,18A,GENERAL FIELD 9,2015-08-24 11:44:00,"NEUBECK, DANIEL",2015-08-24 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1076425,IPRA,18A,GENERAL FIELD 9,2015-07-30 11:36:00,"WHITE, LAKENYA",2015-08-03 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1076367,IPRA,18A,GENERAL FIELD 9,2015-07-28 12:11:00,"KILLEN, BRIAN",2015-07-28 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1076261,IPRA,18A,GENERAL FIELD 9,2015-07-22 14:42:00,"KILLEN, BRIAN",2015-07-27 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1076216,IPRA,18A,GENERAL FIELD 9,2015-07-20 14:56:00,"ABBRUZZESE, WILLIAM",2015-07-22 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1076204,IPRA,18A,GENERAL FIELD 9,2015-07-20 14:42:00,"MORLEY, CHANTALL",2015-07-22 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1076081,IPRA,18A,GENERAL FIELD 9,2015-07-13 10:34:00,"LUKAS, JAMES",2015-07-15 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1076072,IPRA,18A,GENERAL FIELD 9,2015-07-10 11:55:00,"MORLEY, CHANTALL",2015-07-15 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1075770,IPRA,18A,GENERAL FIELD 9,2015-06-22 14:52:00,"NEUBECK, DANIEL",2015-06-22 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1074736,IPRA,18A,GENERAL FIELD 9,2015-04-20 12:04:00,"KILLEN, BRIAN",2015-04-20 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1074534,IPRA,18A,GENERAL FIELD 8,2015-05-01 11:16:00,"WHITE, LAKENYA",2015-04-09 00:00:00,"QUERFURTH, PATRICK",,FOIA 15-6588,2016-01-12
1073787,IPRA,18A,GENERAL FIELD 8,2015-05-01 12:48:00,"NEUBECK, DANIEL",2015-06-03 00:00:00,"QUERFURTH, PATRICK",,FOIA 15-6588,2016-01-12
1073693,IPRA,18A,GENERAL FIELD 9,2015-07-06 17:30:00,"ABBRUZZESE, WILLIAM",2015-07-08 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1073105,IPRA,18A,GENERAL FIELD 9,2014-12-30 18:26:00,"MORLEY, CHANTALL",2014-12-31 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1072855,IPRA,18A,GENERAL FIELD 3,2014-12-08 16:09:00,"PRIETO, DENNIS",2014-12-09 00:00:00,"OLVERA, MARIA",,FOIA 15-6588,2016-01-12
1072342,IPRA,18A,GENERAL FIELD 3,2014-11-05 11:45:00,"KALANTZIS, TOM",2014-11-06 00:00:00,"OLVERA, MARIA",,FOIA 15-6588,2016-01-12
1072297,IPRA,18A,GENERAL FIELD 5,2014-11-06 11:05:00,"SANCHEZ, JESSICA",2015-09-02 00:00:00,"HITT, MARK",,FOIA 15-6588,2016-01-12
1072209,IPRA,18A,-,,-,,-,2014-10-24 10:23:00,FOIA 15-6588,2016-01-12
1071896,IPRA,18A,RAPID RESPONSE,2014-10-09 19:08:00,"LUKAS, JAMES",2015-03-23 00:00:00,"DEAN, BRUCE",2015-08-27 18:56:00,FOIA 15-6588,2016-01-12
1071608,IPRA,18A,GENERAL FIELD 3,2014-09-19 13:48:00,"WILLIAMS, TIFFANY",2015-02-25 00:00:00,"OLVERA, MARIA",,FOIA 15-6588,2016-01-12
1071524,IPRA,18A,GENERAL FIELD 9,2015-07-10 08:03:00,"MORLEY, CHANTALL",2015-10-22 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
1071168,IPRA,18A,GENERAL FIELD 4,2014-08-25 15:08:00,"VAZQUEZ, AURORA",2014-09-02 00:00:00,"SERIO, ALEXIS",,FOIA 15-6588,2016-01-12
1070445,IPRA,18A,GENERAL FIELD 4,2015-06-08 11:58:00,"OLIVERI, CATERINA",2014-07-24 00:00:00,"SERIO, ALEXIS",,FOIA 15-6588,2016-01-12
1070168,IPRA,18A,GENERAL FIELD 4,2014-07-08 12:32:00,"MESSENGER, VERONICA",2014-07-10 00:00:00,"SERIO, ALEXIS",,FOIA 15-6588,2016-01-12
1069981,IPRA,18A,GENERAL FIELD 9,2014-06-25 18:00:00,"MORLEY, CHANTALL",2014-06-30 00:00:00,"HUNT, JOSHUA",,FOIA 15-6588,2016-01-12
