Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
18A - 1 - Incident(1).xls,CRID,80,80,int64
18A - 1 - Incident(1).xls,Assignment,80,1,object
18A - 1 - Incident(1).xls,Initial_Category,80,1,object
18A - 1 - Incident(1).xls,Assigned_Team,80,15,object
18A - 1 - Incident(1).xls,Team_Assigned_Date,79,74,datetime64[ns]
18A - 1 - Incident(1).xls,Investigator_Assigned,80,30,object
18A - 1 - Incident(1).xls,Investigator_Assigned_Date,79,76,datetime64[ns]
18A - 1 - Incident(1).xls,Supervisor_Assigned,80,15,object
18A - 1 - Incident(1).xls,IPRA_Closed_Date,31,27,object
18A - 1 - Incident(1).xls,FOIA_Request_Number,80,1,object
18A - 1 - Incident(1).xls,Report_Produced_Date,80,1,object
18b - 1 - Incidents(1).xls,CRID,15,15,int64
18b - 1 - Incidents(1).xls,Assignment,15,1,object
18b - 1 - Incidents(1).xls,Initial_Category,15,1,object
18b - 1 - Incidents(1).xls,Assigned_Team,15,9,object
18b - 1 - Incidents(1).xls,Team_Assigned_Date,14,15,datetime64[ns]
18b - 1 - Incidents(1).xls,Investigator_Assigned,15,13,object
18b - 1 - Incidents(1).xls,Investigator_Assigned_Date,14,15,datetime64[ns]
18b - 1 - Incidents(1).xls,Supervisor_Assigned,15,10,object
18b - 1 - Incidents(1).xls,IPRA_Closed_Date,13,14,object
18b - 1 - Incidents(1).xls,FOIA_Request_Number,15,1,object
18b - 1 - Incidents(1).xls,Report_Produced_Date,15,1,object
20A - 1 - Incident(1).xls,CRID,310,310,int64
20A - 1 - Incident(1).xls,Assignment,310,1,object
20A - 1 - Incident(1).xls,Initial_Category,310,1,object
20A - 1 - Incident(1).xls,Assigned_Team,310,10,object
20A - 1 - Incident(1).xls,Team_Assigned_Date,11,12,datetime64[ns]
20A - 1 - Incident(1).xls,Investigator_Assigned,310,7,object
20A - 1 - Incident(1).xls,Investigator_Assigned_Date,10,11,object
20A - 1 - Incident(1).xls,Supervisor_Assigned,310,9,object
20A - 1 - Incident(1).xls,IPRA_Closed_Date,306,292,object
20A - 1 - Incident(1).xls,FOIA_Request_Number,310,1,object
20A - 1 - Incident(1).xls,Report_Produced_Date,310,1,object
