CRID,Officer_Witness,FOIA_Request_Number,Report_Produced_Date
1077428,"ANTICO, JOSEPH",FOIA 15-6588,2016-01-12
1077428,"GOZDAL III, MATTHEW",FOIA 15-6588,2016-01-12
1077428,"TIRADO, GLORIA",FOIA 15-6588,2016-01-12
1077328,"CHOATE, HEATH",FOIA 15-6588,2016-01-12
1077328,"CRONIN, ERIC",FOIA 15-6588,2016-01-12
1077146,"GOMEZ FARRINGTO, OMAR",FOIA 15-6588,2016-01-12
1076815,"BLACKMAN, DANIEL",FOIA 15-6588,2016-01-12
1076815,"CASCONE, JAMES",FOIA 15-6588,2016-01-12
1076815,"DRISH, JAMES",FOIA 15-6588,2016-01-12
1076815,"HUML, ERIC",FOIA 15-6588,2016-01-12
1076815,"MALDONADO, ELEAZAR",FOIA 15-6588,2016-01-12
1076815,"PAOLETTI, JOSEPH",FOIA 15-6588,2016-01-12
1076797,"CALDWELL, LEE",FOIA 15-6588,2016-01-12
1076797,"MEDINA, YESENIA",FOIA 15-6588,2016-01-12
1076425,"TORRES, ARTURO",FOIA 15-6588,2016-01-12
1076367,"WILLIAMS, PERRY",FOIA 15-6588,2016-01-12
1076204,"KOCH, MATTHEW",FOIA 15-6588,2016-01-12
1076081,"BROWNFIELD, CRAIG",FOIA 15-6588,2016-01-12
1076081,"FAHEY JR, PATRICK",FOIA 15-6588,2016-01-12
1076081,"HEIN, MARK",FOIA 15-6588,2016-01-12
1076081,"KELYANA, JOHN",FOIA 15-6588,2016-01-12
1076081,"MARTIN, WALTER",FOIA 15-6588,2016-01-12
1076081,"PACINO, ANTHONY",FOIA 15-6588,2016-01-12
1076081,"ROBERTS, JOHN",FOIA 15-6588,2016-01-12
1076081,"SCHAFFER, JOHN",FOIA 15-6588,2016-01-12
1076072,"FUENTES, JOSEPH",FOIA 15-6588,2016-01-12
1076072,"THOMPSON JR, ALVIN",FOIA 15-6588,2016-01-12
1076072,"WEATHERLY, BOBBY",FOIA 15-6588,2016-01-12
1075770,"HOMER, JUSTIN",FOIA 15-6588,2016-01-12
1075770,"KINNANE, BRIAN",FOIA 15-6588,2016-01-12
1075770,"MONTOYA, OSBIEL",FOIA 15-6588,2016-01-12
1075770,"VIDLJINOVIC, STEVAN",FOIA 15-6588,2016-01-12
1074934,"LEE, RAPHIAL",FOIA 15-6588,2016-01-12
1074934,"WILLIAMS II, ROBERT",FOIA 15-6588,2016-01-12
1074736,"STREEPER, JASON",FOIA 15-6588,2016-01-12
1074534,"STEGMILLER, ROBERT",FOIA 15-6588,2016-01-12
1073787,"ANTONSEN, RICHARD",FOIA 15-6588,2016-01-12
1073787,"ASTORGA, DAVEY",FOIA 15-6588,2016-01-12
1073787,"GARCIA, RICKY",FOIA 15-6588,2016-01-12
1073693,"DERCOLA, MATT",FOIA 15-6588,2016-01-12
1073693,"WHIGHAM, JAMES",FOIA 15-6588,2016-01-12
1073693,"DERCOLA, MATT",FOIA 15-6588,2016-01-12
1073693,"WHIGHAM, JAMES",FOIA 15-6588,2016-01-12
1073105,"TUDRON, MICHAEL",FOIA 15-6588,2016-01-12
1072855,"EVANS, MARK",FOIA 15-6588,2016-01-12
1072855,"FLEISCHHACKER, AARON",FOIA 15-6588,2016-01-12
1072855,"O LEARY, JOHN",FOIA 15-6588,2016-01-12
1072855,"PERRICONE, MICHAEL",FOIA 15-6588,2016-01-12
