CRID,Incident_Date,Incident_Address,Incident_Apt,Incident_City,Incident_State,Incident_Zip,District,Incident_Start_Date,Incident_End_Date,FOIA_Request_Number,Report_Produced_Date
1077428,04-OCT-2015 08:27 - 04-OCT-2015 08:27,35XX W. GRENSHAW ST,, CHICAGO,IL,60624,11.0,2015-10-04 08:27:00,2015-10-04 08:27:00,FOIA 15-6588,2016-01-12
1077328,25-SEP-2015 20:53 - 25-SEP-2015 20:53,9XX N. CENTRAL PARK AVE,, CHICAGO,IL,60651,11.0,2015-09-25 20:53:00,2015-09-25 20:53:00,FOIA 15-6588,2016-01-12
1077146,14-SEP-2015 21:38 - 14-SEP-2015 21:38,10XX N. LARAMIE AVE,, CHICAGO,IL,60651,15.0,2015-09-14 21:38:00,2015-09-14 21:38:00,FOIA 15-6588,2016-01-12
1076922,29-AUG-2015 01:30 - 29-AUG-2015 01:30,16XX W. 19TH ST,, CHICAGO,IL,60608,12.0,2015-08-29 01:30:00,2015-08-29 01:30:00,FOIA 15-6588,2016-01-12
1076815,21-AUG-2015 19:28 - 21-AUG-2015 19:28,16XX W. 71ST ST,, CHICAGO,IL,60636,7.0,2015-08-21 19:28:00,2015-08-21 19:28:00,FOIA 15-6588,2016-01-12
1076797,20-AUG-2015 22:25 - 20-AUG-2015 22:25,28XX E. 89TH ST,, CHICAGO,IL,60617,4.0,2015-08-20 22:25:00,2015-08-20 22:25:00,FOIA 15-6588,2016-01-12
1076425,30-JUL-2015 03:15 - 30-JUL-2015 03:15,48XX S. CALUMET AVE,, CHICAGO,IL,60615,2.0,2015-07-30 03:15:00,2015-07-30 03:15:00,FOIA 15-6588,2016-01-12
1076367,27-JUL-2015 17:00 - 27-JUL-2015 17:00,15XX DONOVAN DR,, CHICAGO HEIGHTS,IL,60411,0.0,2015-07-27 17:00:00,2015-07-27 17:00:00,FOIA 15-6588,2016-01-12
1076261,22-JUL-2015 01:41 - 22-JUL-2015 01:41,56XX S. MORGAN ST,, CHICAGO,IL,60621,7.0,2015-07-22 01:41:00,2015-07-22 01:41:00,FOIA 15-6588,2016-01-12
1076216,20-JUL-2015 04:01 - 20-JUL-2015 04:01,15XX N. CLYBOURN AVE,, CHICAGO,IL,60610,18.0,2015-07-20 04:01:00,2015-07-20 04:01:00,FOIA 15-6588,2016-01-12
1076204,19-JUL-2015 03:56 - 19-JUL-2015 03:56,23XX W. 21ST ST,, CHICAGO,IL,60608,12.0,2015-07-19 03:56:00,2015-07-19 03:56:00,FOIA 15-6588,2016-01-12
1076081,10-JUL-2015 16:03 - 10-JUL-2015 16:03,106XX S. COTTAGE GROVE AVE,, CHICAGO,IL,60628,5.0,2015-07-10 16:03:00,2015-07-10 16:03:00,FOIA 15-6588,2016-01-12
1076072,09-JUL-2015 23:34 - 09-JUL-2015 23:34,75XX S. LANGLEY AVE,, CHICAGO,IL,60619,6.0,2015-07-09 23:34:00,2015-07-09 23:34:00,FOIA 15-6588,2016-01-12
1075770,20-JUN-2015 00:10 - 20-JUN-2015 00:10,70XX S. MERRILL AVE,, CHICAGO,IL,60649,3.0,2015-06-20 00:10:00,2015-06-20 00:10:00,FOIA 15-6588,2016-01-12
1074736,17-APR-2015 22:53 - 17-APR-2015 22:53,21XX E. 74TH ST,, CHICAGO,IL,60649,3.0,2015-04-17 22:53:00,2015-04-17 22:53:00,FOIA 15-6588,2016-01-12
1074534,04-APR-2015 16:19 - 04-APR-2015 16:19,61XX S. ROCKWELL ST,, CHICAGO,IL,60629,8.0,2015-04-04 16:19:00,2015-04-04 16:19:00,FOIA 15-6588,2016-01-12
1073787,14-FEB-2015 00:29 - 14-FEB-2015 00:29,13XX W. 73RD ST,, CHICAGO,IL,60636,7.0,2015-02-14 00:29:00,2015-02-14 00:29:00,FOIA 15-6588,2016-01-12
1073693,07-FEB-2015 14:36 - 07-FEB-2015 14:36,3XX W. 115TH ST,, CHICAGO,IL,60628,5.0,2015-02-07 14:36:00,2015-02-07 14:36:00,FOIA 15-6588,2016-01-12
1073105,25-DEC-2014 18:41 - 25-DEC-2014 18:41,4XX E. MARQUETTE RD,, CHICAGO,IL,60637,3.0,2014-12-25 18:41:00,2014-12-25 18:41:00,FOIA 15-6588,2016-01-12
1072855,06-DEC-2014 22:49 - 06-DEC-2014 22:49,47XX S. ADA ST,, CHICAGO,IL,60609,9.0,2014-12-06 22:49:00,2014-12-06 22:49:00,FOIA 15-6588,2016-01-12
1072342,01-NOV-2014 20:22 - 01-NOV-2014 20:22,58XX S. MORGAN ST,, CHICAGO,IL,60621,7.0,2014-11-01 20:22:00,2014-11-01 20:22:00,FOIA 15-6588,2016-01-12
1072297,29-OCT-2014 23:03 - 29-OCT-2014 23:03,51XX S. WOOD ST,, CHICAGO,IL,60609,9.0,2014-10-29 23:03:00,2014-10-29 23:03:00,FOIA 15-6588,2016-01-12
1072209,23-OCT-2014 23:54 - 23-OCT-2014 23:54,79XX S. JUSTINE ST,, CHICAGO,IL,60620,6.0,2014-10-23 23:54:00,2014-10-23 23:54:00,FOIA 15-6588,2016-01-12
1071896,07-OCT-2014 17:55 - 08-OCT-2014 00:30,72XX S. LOWE AVE, Apt No. 1ST FLR, CHICAGO,IL,60621,7.0,2014-10-07 17:55:00,2014-10-08 00:30:00,FOIA 15-6588,2016-01-12
1071608,18-SEP-2014 21:20 - 18-SEP-2014 21:20,9XX N. CAMBRIDGE AVE,, CHICAGO,IL,60610,18.0,2014-09-18 21:20:00,2014-09-18 21:20:00,FOIA 15-6588,2016-01-12
1071524,13-SEP-2014 22:12 - 13-SEP-2014 22:12,23XX W. LAKE ST,, CHICAGO,IL,60612,12.0,2014-09-13 22:12:00,2014-09-13 22:12:00,FOIA 15-6588,2016-01-12
1071168,24-AUG-2014 20:58 - 24-AUG-2014 20:58,948 E. 80TH ST,, CHICAGO,IL,60619,6.0,2014-08-24 20:58:00,2014-08-24 20:58:00,FOIA 15-6588,2016-01-12
1070445,19-JUL-2014 06:10 - 19-JUL-2014 06:10,26XX S. AVERS AVE,, CHICAGO,IL,60623,10.0,2014-07-19 06:10:00,2014-07-19 06:10:00,FOIA 15-6588,2016-01-12
1070168,05-JUL-2014 18:40 - 05-JUL-2014 18:40,87XX S. SANGAMON ST,, CHICAGO,IL,60620,22.0,2014-07-05 18:40:00,2014-07-05 18:40:00,FOIA 15-6588,2016-01-12
1069981,24-JUN-2014 18:23 - 24-JUN-2014 18:23,84XX S. MANISTEE AVE,, CHICAGO,IL,60617,4.0,2014-06-24 18:23:00,2014-06-24 18:23:00,FOIA 15-6588,2016-01-12
1069721,10-JUN-2014 23:46 - 10-JUN-2014 23:46,15XX N. HOYNE AVE,, CHICAGO,IL,60622,14.0,2014-06-10 23:46:00,2014-06-10 23:46:00,FOIA 15-6588,2016-01-12
1069651,06-JUN-2014 23:28 - 06-JUN-2014 23:28,93XX S. WALLACE ST,, CHICAGO,IL,60620,22.0,2014-06-06 23:28:00,2014-06-06 23:28:00,FOIA 15-6588,2016-01-12
1068271,29-MAR-2014 08:49 - 29-MAR-2014 08:49,62XX S. RHODES AVE,, CHICAGO,IL,60637,3.0,2014-03-29 08:49:00,2014-03-29 08:49:00,FOIA 15-6588,2016-01-12
1068101,20-MAR-2014 18:42 - 20-MAR-2014 18:42,44XX S. PRINCETON AVE,, CHICAGO,IL,60609,9.0,2014-03-20 18:42:00,2014-03-20 18:42:00,FOIA 15-6588,2016-01-12
1068046,17-MAR-2014 21:51 - 17-MAR-2014 21:51,60XX S. SANGAMON ST,, CHICAGO,IL,60621,7.0,2014-03-17 21:51:00,2014-03-17 21:51:00,FOIA 15-6588,2016-01-12
1067572,18-FEB-2014 11:18 - 18-FEB-2014 11:18,5XX N. HAMLIN AVE,, CHICAGO,IL,60624,11.0,2014-02-18 11:18:00,2014-02-18 11:18:00,FOIA 15-6588,2016-01-12
1067572,18-FEB-2014 12:00 - 18-FEB-2014 12:00,35XX S. DAN RYAN XPRS OB,, CHICAGO,IL,60609,9.0,2014-02-18 12:00:00,2014-02-18 12:00:00,FOIA 15-6588,2016-01-12
1066725,22-DEC-2013 17:06 - 22-DEC-2013 17:06,94XX S. LA SALLE ST,, CHICAGO,IL,60620,6.0,2013-12-22 17:06:00,2013-12-22 17:06:00,FOIA 15-6588,2016-01-12
1065714,24-OCT-2013 18:40 - 24-OCT-2013 18:40,109XX S. EBERHART AVE, Apt No. HOUSE, CHICAGO,IL,60628,5.0,2013-10-24 18:40:00,2013-10-24 18:40:00,FOIA 15-6588,2016-01-12
1065582,18-OCT-2013 01:10 - 18-OCT-2013 01:10,32XX S. HALSTED ST, Apt No. 2R, CHICAGO,IL,60608,9.0,2013-10-18 01:10:00,2013-10-18 01:10:00,FOIA 15-6588,2016-01-12
1063442,11-JUL-2013 13:05 - 11-JUL-2013 13:05,39XX W. 103RD ST,, CHICAGO,IL,60655,22.0,2013-07-11 13:05:00,2013-07-11 13:05:00,FOIA 15-6588,2016-01-12
1063127,26-JUN-2013 00:09 - 26-JUN-2013 00:09,92XX S. JUSTINE ST,, CHICAGO,IL,60620,22.0,2013-06-26 00:09:00,2013-06-26 00:09:00,FOIA 15-6588,2016-01-12
