CRID,Involved_Officer,FOIA_Request_Number,Report_Produced_Date
1077428,"LEJA, JACEK",FOIA 15-6588,2016-01-12
1077428,"RAETHER, JUSTIN",FOIA 15-6588,2016-01-12
1077328,"RAMEY, CHRISTOPHER",FOIA 15-6588,2016-01-12
1077328,"SEHNER, ERIC",FOIA 15-6588,2016-01-12
1077146,"LESCH, NICHOLAUS",FOIA 15-6588,2016-01-12
1076922,"REYES, MONICA",FOIA 15-6588,2016-01-12
1076922,"VALADEZ, FRANCIS",FOIA 15-6588,2016-01-12
1076815,"SALVADOR, RICHARD",FOIA 15-6588,2016-01-12
1076797,"RAZO, VICTOR",FOIA 15-6588,2016-01-12
1076425,"KAPANKE, STEVEN",FOIA 15-6588,2016-01-12
1076425,"LINKER, NICHOLAS",FOIA 15-6588,2016-01-12
1076425,"SANCHEZ JR, ORLANDO",FOIA 15-6588,2016-01-12
1076367,"RENO, MARK",FOIA 15-6588,2016-01-12
1076261,"FARIAS, ROGER",FOIA 15-6588,2016-01-12
1076261,"RANGEL, ELI",FOIA 15-6588,2016-01-12
1076216,"HEERDT, EDWARD",FOIA 15-6588,2016-01-12
1076204,"MIKHAIL, ZAYA",FOIA 15-6588,2016-01-12
1076081,"BUSH, GARY",FOIA 15-6588,2016-01-12
1076072,"ABDALLAH, ZAID",FOIA 15-6588,2016-01-12
1075770,"BABICZ, ANTHONY",FOIA 15-6588,2016-01-12
1074736,"BRUNO, BRENDAN",FOIA 15-6588,2016-01-12
1074534,"BRANDON, SEAN",FOIA 15-6588,2016-01-12
1074534,"OKEEFE, JOHN",FOIA 15-6588,2016-01-12
1073787,"PIPER, LIONEL",FOIA 15-6588,2016-01-12
1073787,"ZAVALA, WENSESLAO",FOIA 15-6588,2016-01-12
1073105,"KASPER, CASEY",FOIA 15-6588,2016-01-12
1072855,"COTTON, ALEXIS",FOIA 15-6588,2016-01-12
1072342,"CUTRONE, ANTHONY",FOIA 15-6588,2016-01-12
1072297,"BARD, CHRIS",FOIA 15-6588,2016-01-12
1072297,"DAVIDSON, ZACHARY",FOIA 15-6588,2016-01-12
1072209,"WHITE, JOSEPH",FOIA 15-6588,2016-01-12
1071896,"GORMAN, THOMAS",FOIA 15-6588,2016-01-12
1071896,"MURPHY, BRANDON",FOIA 15-6588,2016-01-12
1071896,"ROSS, CHRISTOPH",FOIA 15-6588,2016-01-12
1071524,"MATEO, ERIC",FOIA 15-6588,2016-01-12
1071524,"PASKO, MATHEW",FOIA 15-6588,2016-01-12
1071524,"WESSELHOFF, MARK",FOIA 15-6588,2016-01-12
1071168,"HUNT, JAMES",FOIA 15-6588,2016-01-12
1070445,"DAVIS, CORNELIUS",FOIA 15-6588,2016-01-12
1070445,"DROZDEL, DOMINIK",FOIA 15-6588,2016-01-12
1070168,"GARZA JR, ARMANDO",FOIA 15-6588,2016-01-12
1070168,"MENDOZA, FRANCISCO",FOIA 15-6588,2016-01-12
1070168,"WAGNER, MICHAEL",FOIA 15-6588,2016-01-12
1069981,"WALKER, ROBERT",FOIA 15-6588,2016-01-12
1069721,"NAVARRO JR, JESUS",FOIA 15-6588,2016-01-12
1069721,"WISELOGEL, SETH",FOIA 15-6588,2016-01-12
1069651,"ALONSO, JAVIER",FOIA 15-6588,2016-01-12
1069651,"BENTLEY, JOEL",FOIA 15-6588,2016-01-12
1069651,"KERR, LAWRENCE",FOIA 15-6588,2016-01-12
1069651,"SIMMONS, LADONNA",FOIA 15-6588,2016-01-12
1069651,"WROBEL, MICHAEL",FOIA 15-6588,2016-01-12
1068271,"SANCHEZ, RUBEN",FOIA 15-6588,2016-01-12
1068101,"WILLIAMS, BENNY",FOIA 15-6588,2016-01-12
1068101,"WILLIAMS, TRACEY",FOIA 15-6588,2016-01-12
1068046,"SABELLA, ANTHONY",FOIA 15-6588,2016-01-12
1067572,"ALANIZ, MICHAEL",FOIA 15-6588,2016-01-12
1067572,"CAULFIELD, ROBERT",FOIA 15-6588,2016-01-12
1067572,"MENDOZA, MARIO",FOIA 15-6588,2016-01-12
