Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
crms - 05j complaint and investigator(1).xls,CRID,9,9,int64
crms - 05j complaint and investigator(1).xls,Beat,9,8,float64
crms - 05j complaint and investigator(1).xls,Incident_Address,9,9,object
crms - 05j complaint and investigator(1).xls,City,9,1,object
crms - 05j complaint and investigator(1).xls,State,9,1,object
crms - 05j complaint and investigator(1).xls,Location_Code,9,2,object
crms - 05j complaint and investigator(1).xls,Location_Value,9,2,object
crms - 05j complaint and investigator(1).xls,Incident_Date,9,9,object
crms - 05j complaint and investigator(1).xls,Complaint_Date,9,8,object
crms - 05j complaint and investigator(1).xls,Investigator,8,7,object
crms - 05j complaint and investigator(1).xls,Assigned_Date,8,9,object
crms - 05j complaint and investigator(1).xls,Investigator_End_Date,4,5,object
crms - 05j complaint and investigator(1).xls,FOIA_Request_Number,9,1,object
crms - 05j complaint and investigator(1).xls,Report_Produced_Date,9,1,object
