Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
"crms - 05j cpd witness, reporting party, victim(1).xls",CRID,30,7,int64
"crms - 05j cpd witness, reporting party, victim(1).xls",Values,30,26,object
"crms - 05j cpd witness, reporting party, victim(1).xls",Role,23,3,object
"crms - 05j cpd witness, reporting party, victim(1).xls",CPD_or_Not,18,2,object
"crms - 05j cpd witness, reporting party, victim(1).xls",Gender,23,3,object
"crms - 05j cpd witness, reporting party, victim(1).xls",Ethnicity,23,4,object
"crms - 05j cpd witness, reporting party, victim(1).xls",Year of Birth,22,16,float64
"crms - 05j cpd witness, reporting party, victim(1).xls",Star,18,19,float64
"crms - 05j cpd witness, reporting party, victim(1).xls",Position,18,4,object
"crms - 05j cpd witness, reporting party, victim(1).xls",FOIA_Request_Number,30,1,object
"crms - 05j cpd witness, reporting party, victim(1).xls",Report_Produced_Date,30,1,object
