Officer_Last_Name,Officer_First_Name,Star,Officer_Description,FOIA_Request_Number,Report_Produced_Date
DIAZ,JOSHUA,17922,PO/EXP DET CAN HAND,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
WESSELHOFF,MARK,19931,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
GREGOIRE,JOHN,8600,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
O NEILL,EDWARD,9264,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
SANCHEZ JR,ORLANDO,19244,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
RENO,MARK,19605,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
MC INERNEY,JOSEPH,18282,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
NUNEZ,FELIPE,9962,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
BRANDON,SEAN,18866,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
PETTIS,MICHAEL,15422,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
PALENIK,DANIEL,19081,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
MARTINEZ,JUAN,19230,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
PIPER,LIONEL,14650,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
BENTLEY,JOEL,13297,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
PETRENKO,THOMAS,13458,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
SABELLA,ANTHONY,11974,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
CAMARILLO JR,RODOLFO,7168,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
KAPANKE,STEVEN,17386,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
JONES,CALVIN,10669,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
GORMAN,THOMAS,3156,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
CAVANAUGH,RONALD,3274,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
OSHAUGHNESSY,THOMAS,19271,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
SMOLEK,MARLENE,5499,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
JEFFERSON,KAREN,6856,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
CADMAN,MATHEW,17276,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
JAMES,DORIAN,7615,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
