CRID,Detainee_Age,Detainee_Gender,Detainee_Race,FOIA_Request_Number,Report_Produced_Date
1000341,,,,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1000341,37.0,MALE,BLACK,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1000343,,,,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1000343,22.0,MALE,BLACK,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1000905,,,,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1000905,19.0,MALE,BLACK,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1000905,21.0,MALE,BLACK,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1000905,23.0,MALE,BLACK,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1001651,,,,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1001651,35.0,MALE,BLACK,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1001699,,,,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1001699,28.0,MALE,WHITE HISPANIC,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1001874,,,,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1001874,59.0,MALE,BLACK,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1002897,,,,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1002897,,MALE,BLACK,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1003119,,,,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
1003119,,MALE,BLACK,"FOIA 15-6588
Complaint Date from 26 Sep 2006 to 30 Nov 2015
Category 18A, 18B and 20A
List of Victims/Detainees",
