Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
IPRA Shootings Data.xls,CR_Required,129,1,object
IPRA Shootings Data.xls,Initial_Category_Code,34,3,object
IPRA Shootings Data.xls,Initial_Category,34,3,object
IPRA Shootings Data.xls,Current_Category_Code,129,2,object
IPRA Shootings Data.xls,Current_Category,129,2,object
IPRA Shootings Data.xls,Current_Status,129,1,object
IPRA Shootings Data.xls,Complaint_Number,129,5,int64
IPRA Shootings Data.xls,Beat,129,4,int64
IPRA Shootings Data.xls,Incident_Address,129,5,object
IPRA Shootings Data.xls,Location_Value,129,4,object
IPRA Shootings Data.xls,Incident_Time_Start,129,5,datetime64[ns]
IPRA Shootings Data.xls,Incident_Time_End,129,5,datetime64[ns]
IPRA Shootings Data.xls,Complaint_Date,129,5,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Closed_Date,0,1,float64
IPRA Shootings Data.xls,IPRA_Investigator_Last_Name,129,8,object
IPRA Shootings Data.xls,IPRA_Investigator_First_Name,129,8,object
IPRA Shootings Data.xls,IPRA_Assign_Date,129,9,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigate_Begin_Date,0,1,float64
IPRA Shootings Data.xls,IPRA_Investigate_End_Date,57,4,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigator_Type,129,2,object
IPRA Shootings Data.xls,Report_Status,129,1,object
IPRA Shootings Data.xls,Finding_Code,0,1,float64
IPRA Shootings Data.xls,Finding_Id,0,1,float64
IPRA Shootings Data.xls,Penalty_Code,0,1,float64
IPRA Shootings Data.xls,No_Days,0,1,float64
IPRA Shootings Data.xls,Penalty_Status,0,1,float64
IPRA Shootings Data.xls,Accused_First_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Last_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Star,0,1,float64
IPRA Shootings Data.xls,Accused_Assignment,0,1,float64
IPRA Shootings Data.xls,Accused_Detail,0,1,float64
IPRA Shootings Data.xls,Accused_Appointment_Date,0,1,float64
IPRA Shootings Data.xls,Accused_Position,0,1,float64
IPRA Shootings Data.xls,IAD_Ops,129,1,object
IPRA Shootings Data.xls,Converted_Rec_I,129,1,object
IPRA Shootings Data.xls,Involved_Party_Description,6,4,object
IPRA Shootings Data.xls,Involved_Party_Type,129,4,object
IPRA Shootings Data.xls,Involved_Party_Last_Name,125,32,object
IPRA Shootings Data.xls,Involved_Party_First_Name,125,29,object
