Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
IPRA Shootings Data.xls,CR_Required,165,3,object
IPRA Shootings Data.xls,Initial_Category_Code,53,5,object
IPRA Shootings Data.xls,Initial_Category,53,4,object
IPRA Shootings Data.xls,Current_Category_Code,165,6,object
IPRA Shootings Data.xls,Current_Category,165,5,object
IPRA Shootings Data.xls,Current_Status,165,6,object
IPRA Shootings Data.xls,Complaint_Number,165,48,float64
IPRA Shootings Data.xls,Beat,165,39,float64
IPRA Shootings Data.xls,Incident_Address,170,50,object
IPRA Shootings Data.xls,Location_Value,165,11,object
IPRA Shootings Data.xls,Incident_Time_Start,165,50,datetime64[ns]
IPRA Shootings Data.xls,Incident_Time_End,165,49,datetime64[ns]
IPRA Shootings Data.xls,Complaint_Date,165,48,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Closed_Date,45,40,datetime64[ns]
IPRA Shootings Data.xls,Report_Status,165,3,object
IPRA Shootings Data.xls,Finding_Code,115,3,object
IPRA Shootings Data.xls,Finding_Id,115,116,float64
IPRA Shootings Data.xls,Penalty_Code,115,2,object
IPRA Shootings Data.xls,No_Days,115,3,float64
IPRA Shootings Data.xls,Penalty_Status,115,2,object
IPRA Shootings Data.xls,Accused_First_Name,116,8,object
IPRA Shootings Data.xls,Accused_Last_Name,116,10,object
IPRA Shootings Data.xls,Accused_Star,116,10,float64
IPRA Shootings Data.xls,Accused_Assignment,116,3,float64
IPRA Shootings Data.xls,Accused_Detail,0,1,float64
IPRA Shootings Data.xls,Accused_Appointment_Date,116,9,object
IPRA Shootings Data.xls,Accused_Position,116,2,object
IPRA Shootings Data.xls,IAD_Ops,165,2,object
IPRA Shootings Data.xls,Converted_Rec_I,165,2,object
IPRA Shootings Data.xls,Police_Shooting_No,165,48,object
IPRA Shootings Data.xls,Police_Shooting,165,2,object
IPRA Shootings Data.xls,Sheet,170,1,object
IPRA Shootings Data.xls,FOIA_Request_Number,170,1,object
IPRA Shootings Data.xls,Report_Produced_Date,170,1,object
IPRA Shootings Data.xls,CR_Required,54,1,object
IPRA Shootings Data.xls,Initial_Category_Code,53,5,object
IPRA Shootings Data.xls,Initial_Category,53,4,object
IPRA Shootings Data.xls,Current_Category_Code,53,5,object
IPRA Shootings Data.xls,Current_Category,53,4,object
IPRA Shootings Data.xls,Current_Status,54,4,object
IPRA Shootings Data.xls,Complaint_Number,54,50,int64
IPRA Shootings Data.xls,Beat,54,45,int64
IPRA Shootings Data.xls,Incident_Address,54,52,object
IPRA Shootings Data.xls,Location_Value,52,15,object
IPRA Shootings Data.xls,Incident_Time_Start,53,52,datetime64[ns]
IPRA Shootings Data.xls,Incident_Time_End,53,52,datetime64[ns]
IPRA Shootings Data.xls,Complaint_Date,54,50,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Closed_Date,52,49,datetime64[ns]
IPRA Shootings Data.xls,Report_Status,54,2,object
IPRA Shootings Data.xls,Finding_Code,0,1,float64
IPRA Shootings Data.xls,Finding_Id,0,1,float64
IPRA Shootings Data.xls,Penalty_Code,0,1,float64
IPRA Shootings Data.xls,No_Days,0,1,float64
IPRA Shootings Data.xls,Penalty_Status,0,1,float64
IPRA Shootings Data.xls,Accused_First_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Last_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Star,0,1,float64
IPRA Shootings Data.xls,Accused_Assignment,0,1,float64
IPRA Shootings Data.xls,Accused_Detail,0,1,float64
IPRA Shootings Data.xls,Accused_Appointment_Date,0,1,float64
IPRA Shootings Data.xls,Accused_Position,0,1,float64
IPRA Shootings Data.xls,IAD_Ops,54,1,object
IPRA Shootings Data.xls,Converted_Rec_I,54,1,object
IPRA Shootings Data.xls,Police_Shooting_No,54,50,object
IPRA Shootings Data.xls,Police_Shooting,54,2,object
IPRA Shootings Data.xls,Sheet,54,1,object
IPRA Shootings Data.xls,FOIA_Request_Number,54,1,object
IPRA Shootings Data.xls,Report_Produced_Date,54,1,object
IPRA Shootings Data.xls,CR_Required,40,1,object
IPRA Shootings Data.xls,Initial_Category_Code,39,6,object
IPRA Shootings Data.xls,Initial_Category,39,5,object
IPRA Shootings Data.xls,Current_Category_Code,40,6,object
IPRA Shootings Data.xls,Current_Category,40,5,object
IPRA Shootings Data.xls,Current_Status,40,2,object
IPRA Shootings Data.xls,Complaint_Number,40,38,int64
IPRA Shootings Data.xls,Beat,40,35,int64
IPRA Shootings Data.xls,Incident_Address,40,39,object
IPRA Shootings Data.xls,Location_Value,37,11,object
IPRA Shootings Data.xls,Incident_Time_Start,40,40,datetime64[ns]
IPRA Shootings Data.xls,Incident_Time_End,40,40,datetime64[ns]
IPRA Shootings Data.xls,Complaint_Date,40,38,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Closed_Date,40,38,datetime64[ns]
IPRA Shootings Data.xls,Report_Status,40,1,object
IPRA Shootings Data.xls,Finding_Code,0,1,float64
IPRA Shootings Data.xls,Finding_Id,0,1,float64
IPRA Shootings Data.xls,Penalty_Code,0,1,float64
IPRA Shootings Data.xls,No_Days,0,1,float64
IPRA Shootings Data.xls,Penalty_Status,0,1,float64
IPRA Shootings Data.xls,Accused_First_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Last_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Star,0,1,float64
IPRA Shootings Data.xls,Accused_Assignment,0,1,float64
IPRA Shootings Data.xls,Accused_Detail,0,1,float64
IPRA Shootings Data.xls,Accused_Appointment_Date,0,1,float64
IPRA Shootings Data.xls,Accused_Position,0,1,float64
IPRA Shootings Data.xls,IAD_Ops,40,1,object
IPRA Shootings Data.xls,Converted_Rec_I,40,1,object
IPRA Shootings Data.xls,Police_Shooting_No,40,38,object
IPRA Shootings Data.xls,Police_Shooting,40,2,object
IPRA Shootings Data.xls,Sheet,40,1,object
IPRA Shootings Data.xls,FOIA_Request_Number,40,1,object
IPRA Shootings Data.xls,Report_Produced_Date,40,1,object
IPRA Shootings Data.xls,CR_Required,47,1,object
IPRA Shootings Data.xls,Initial_Category_Code,47,7,object
IPRA Shootings Data.xls,Initial_Category,47,6,object
IPRA Shootings Data.xls,Current_Category_Code,47,5,object
IPRA Shootings Data.xls,Current_Category,47,4,object
IPRA Shootings Data.xls,Current_Status,47,2,object
IPRA Shootings Data.xls,Complaint_Number,47,44,int64
IPRA Shootings Data.xls,Beat,47,43,int64
IPRA Shootings Data.xls,Incident_Address,47,46,object
IPRA Shootings Data.xls,Location_Value,44,10,object
IPRA Shootings Data.xls,Incident_Time_Start,47,46,datetime64[ns]
IPRA Shootings Data.xls,Incident_Time_End,47,46,datetime64[ns]
IPRA Shootings Data.xls,Complaint_Date,47,44,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Closed_Date,47,44,datetime64[ns]
IPRA Shootings Data.xls,Report_Status,47,1,object
IPRA Shootings Data.xls,Finding_Code,0,1,float64
IPRA Shootings Data.xls,Finding_Id,0,1,float64
IPRA Shootings Data.xls,Penalty_Code,0,1,float64
IPRA Shootings Data.xls,No_Days,0,1,float64
IPRA Shootings Data.xls,Penalty_Status,0,1,float64
IPRA Shootings Data.xls,Accused_First_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Last_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Star,0,1,float64
IPRA Shootings Data.xls,Accused_Assignment,0,1,float64
IPRA Shootings Data.xls,Accused_Detail,0,1,float64
IPRA Shootings Data.xls,Accused_Appointment_Date,0,1,float64
IPRA Shootings Data.xls,Accused_Position,0,1,float64
IPRA Shootings Data.xls,IAD_Ops,47,1,object
IPRA Shootings Data.xls,Converted_Rec_I,47,1,object
IPRA Shootings Data.xls,Police_Shooting_No,47,44,object
IPRA Shootings Data.xls,Police_Shooting,47,2,object
IPRA Shootings Data.xls,Sheet,47,1,object
IPRA Shootings Data.xls,FOIA_Request_Number,47,1,object
IPRA Shootings Data.xls,Report_Produced_Date,47,1,object
IPRA Shootings Data.xls,CR_Required,60,1,object
IPRA Shootings Data.xls,Initial_Category_Code,58,7,object
IPRA Shootings Data.xls,Initial_Category,58,6,object
IPRA Shootings Data.xls,Current_Category_Code,60,6,object
IPRA Shootings Data.xls,Current_Category,60,5,object
IPRA Shootings Data.xls,Current_Status,60,2,object
IPRA Shootings Data.xls,Complaint_Number,60,57,int64
IPRA Shootings Data.xls,Beat,60,50,int64
IPRA Shootings Data.xls,Incident_Address,60,58,object
IPRA Shootings Data.xls,Location_Value,54,10,object
IPRA Shootings Data.xls,Incident_Time_Start,60,57,datetime64[ns]
IPRA Shootings Data.xls,Incident_Time_End,60,58,datetime64[ns]
IPRA Shootings Data.xls,Complaint_Date,60,57,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Closed_Date,60,57,datetime64[ns]
IPRA Shootings Data.xls,Report_Status,60,1,object
IPRA Shootings Data.xls,Finding_Code,0,1,float64
IPRA Shootings Data.xls,Finding_Id,0,1,float64
IPRA Shootings Data.xls,Penalty_Code,0,1,float64
IPRA Shootings Data.xls,No_Days,0,1,float64
IPRA Shootings Data.xls,Penalty_Status,0,1,float64
