Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
IPRA Shootings Data.xls,CR_Required,5170,2,object
IPRA Shootings Data.xls,Initial_Category_Code,1930,6,object
IPRA Shootings Data.xls,Initial_Category,1930,5,object
IPRA Shootings Data.xls,Current_Category_Code,5170,6,object
IPRA Shootings Data.xls,Current_Category,5170,5,object
IPRA Shootings Data.xls,Current_Status,5170,6,object
IPRA Shootings Data.xls,Complaint_Number,5170,48,int64
IPRA Shootings Data.xls,Complaint_Date,5170,48,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigator_Last_Name,5170,47,object
IPRA Shootings Data.xls,IPRA_Investigator_First_Name,5170,49,object
IPRA Shootings Data.xls,IPRA_Assign_Date,5170,130,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigate_Begin_Date,0,1,float64
IPRA Shootings Data.xls,IPRA_Investigate_End_Date,5031,160,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigator_Type,5170,3,object
IPRA Shootings Data.xls,Accused_First_Name,3307,9,object
IPRA Shootings Data.xls,Accused_Last_Name,3307,11,object
IPRA Shootings Data.xls,Accused_Star,3307,11,float64
IPRA Shootings Data.xls,Accused_Assignment,3307,4,float64
IPRA Shootings Data.xls,Accused_Detail,0,1,float64
IPRA Shootings Data.xls,Accused_Appointment_Date,3307,9,object
IPRA Shootings Data.xls,Accused_Position,3307,2,object
IPRA Shootings Data.xls,IAD_Ops,5170,1,object
IPRA Shootings Data.xls,Converted_Rec_I,5170,1,object
IPRA Shootings Data.xls,Involved_Party_Description,1441,50,object
IPRA Shootings Data.xls,Involved_Party_Type,5170,4,object
IPRA Shootings Data.xls,Involved_Party_Last_Name,5162,234,object
IPRA Shootings Data.xls,Involved_Party_First_Name,5162,189,object
IPRA Shootings Data.xls,Involved_Party_Assignment,3562,30,float64
IPRA Shootings Data.xls,Involved_Party_Detail,247,11,float64
IPRA Shootings Data.xls,Involved_Party_Position,5019,11,object
IPRA Shootings Data.xls,Involved_Party_Age,1483,38,float64
IPRA Shootings Data.xls,Involved_Party_Sex,5167,3,object
IPRA Shootings Data.xls,Involved_Party_Race,5150,7,object
IPRA Shootings Data.xls,Police_Shooting_No,5170,48,object
IPRA Shootings Data.xls,Police_Shooting,5170,1,object
IPRA Shootings Data.xls,Sheet,5170,1,object
IPRA Shootings Data.xls,FOIA_Request_Number,5170,1,object
IPRA Shootings Data.xls,Report_Produced_Date,5170,1,object
IPRA Shootings Data.xls,CR_Required,1952,1,object
IPRA Shootings Data.xls,Initial_Category_Code,1951,5,object
IPRA Shootings Data.xls,Initial_Category,1951,4,object
IPRA Shootings Data.xls,Current_Category_Code,1951,5,object
IPRA Shootings Data.xls,Current_Category,1951,4,object
IPRA Shootings Data.xls,Current_Status,1952,4,object
IPRA Shootings Data.xls,Complaint_Number,1952,50,int64
IPRA Shootings Data.xls,Complaint_Date,1952,50,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigator_Last_Name,1951,52,object
IPRA Shootings Data.xls,IPRA_Investigator_First_Name,1951,51,object
IPRA Shootings Data.xls,IPRA_Assign_Date,1951,129,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigate_Begin_Date,0,1,float64
IPRA Shootings Data.xls,IPRA_Investigate_End_Date,1826,166,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigator_Type,1951,5,object
IPRA Shootings Data.xls,Accused_First_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Last_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Star,0,1,float64
IPRA Shootings Data.xls,Accused_Assignment,0,1,float64
IPRA Shootings Data.xls,Accused_Detail,0,1,float64
IPRA Shootings Data.xls,Accused_Appointment_Date,0,1,float64
IPRA Shootings Data.xls,Accused_Position,0,1,float64
IPRA Shootings Data.xls,IAD_Ops,1952,1,object
IPRA Shootings Data.xls,Converted_Rec_I,1952,1,object
IPRA Shootings Data.xls,Involved_Party_Description,153,25,object
IPRA Shootings Data.xls,Involved_Party_Type,1951,5,object
IPRA Shootings Data.xls,Involved_Party_Last_Name,1949,247,object
IPRA Shootings Data.xls,Involved_Party_First_Name,1949,180,object
IPRA Shootings Data.xls,Involved_Party_Assignment,1031,40,float64
IPRA Shootings Data.xls,Involved_Party_Detail,243,20,float64
IPRA Shootings Data.xls,Involved_Party_Position,1607,9,object
IPRA Shootings Data.xls,Involved_Party_Age,864,46,float64
IPRA Shootings Data.xls,Involved_Party_Sex,1949,3,object
IPRA Shootings Data.xls,Involved_Party_Race,1934,8,object
IPRA Shootings Data.xls,Police_Shooting_No,1952,50,object
IPRA Shootings Data.xls,Police_Shooting,1952,2,object
IPRA Shootings Data.xls,Sheet,1952,1,object
IPRA Shootings Data.xls,FOIA_Request_Number,1952,1,object
IPRA Shootings Data.xls,Report_Produced_Date,1952,1,object
IPRA Shootings Data.xls,CR_Required,1805,1,object
IPRA Shootings Data.xls,Initial_Category_Code,1765,6,object
IPRA Shootings Data.xls,Initial_Category,1765,5,object
IPRA Shootings Data.xls,Current_Category_Code,1805,6,object
IPRA Shootings Data.xls,Current_Category,1805,5,object
IPRA Shootings Data.xls,Current_Status,1805,2,object
IPRA Shootings Data.xls,Complaint_Number,1805,38,int64
IPRA Shootings Data.xls,Complaint_Date,1805,38,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigator_Last_Name,1803,47,object
IPRA Shootings Data.xls,IPRA_Investigator_First_Name,1803,46,object
IPRA Shootings Data.xls,IPRA_Assign_Date,1803,103,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigate_Begin_Date,0,1,float64
IPRA Shootings Data.xls,IPRA_Investigate_End_Date,1574,137,object
IPRA Shootings Data.xls,IPRA_Investigator_Type,1803,5,object
IPRA Shootings Data.xls,Accused_First_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Last_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Star,0,1,float64
IPRA Shootings Data.xls,Accused_Assignment,0,1,float64
IPRA Shootings Data.xls,Accused_Detail,0,1,float64
IPRA Shootings Data.xls,Accused_Appointment_Date,0,1,float64
IPRA Shootings Data.xls,Accused_Position,0,1,float64
IPRA Shootings Data.xls,IAD_Ops,1805,1,object
IPRA Shootings Data.xls,Converted_Rec_I,1805,1,object
IPRA Shootings Data.xls,Involved_Party_Description,153,18,object
IPRA Shootings Data.xls,Involved_Party_Type,1803,5,object
IPRA Shootings Data.xls,Involved_Party_Last_Name,1778,194,object
IPRA Shootings Data.xls,Involved_Party_First_Name,1778,157,object
IPRA Shootings Data.xls,Involved_Party_Assignment,911,35,float64
IPRA Shootings Data.xls,Involved_Party_Detail,145,13,float64
IPRA Shootings Data.xls,Involved_Party_Position,1416,12,object
IPRA Shootings Data.xls,Involved_Party_Age,807,42,float64
IPRA Shootings Data.xls,Involved_Party_Sex,1768,3,object
IPRA Shootings Data.xls,Involved_Party_Race,1768,7,object
IPRA Shootings Data.xls,Police_Shooting_No,1805,38,object
IPRA Shootings Data.xls,Police_Shooting,1805,2,object
IPRA Shootings Data.xls,Sheet,1805,1,object
IPRA Shootings Data.xls,FOIA_Request_Number,1805,1,object
IPRA Shootings Data.xls,Report_Produced_Date,1805,1,object
IPRA Shootings Data.xls,CR_Required,3012,1,object
IPRA Shootings Data.xls,Initial_Category_Code,3012,7,object
IPRA Shootings Data.xls,Initial_Category,3012,6,object
IPRA Shootings Data.xls,Current_Category_Code,3012,5,object
IPRA Shootings Data.xls,Current_Category,3012,4,object
IPRA Shootings Data.xls,Current_Status,3012,2,object
IPRA Shootings Data.xls,Complaint_Number,3012,44,int64
IPRA Shootings Data.xls,Complaint_Date,3012,44,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigator_Last_Name,3010,54,object
IPRA Shootings Data.xls,IPRA_Investigator_First_Name,3010,51,object
IPRA Shootings Data.xls,IPRA_Assign_Date,3010,161,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigate_Begin_Date,0,1,float64
IPRA Shootings Data.xls,IPRA_Investigate_End_Date,2551,209,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigator_Type,3010,5,object
IPRA Shootings Data.xls,Accused_First_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Last_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Star,0,1,float64
IPRA Shootings Data.xls,Accused_Assignment,0,1,float64
IPRA Shootings Data.xls,Accused_Detail,0,1,float64
IPRA Shootings Data.xls,Accused_Appointment_Date,0,1,float64
IPRA Shootings Data.xls,Accused_Position,0,1,float64
IPRA Shootings Data.xls,IAD_Ops,3012,1,object
IPRA Shootings Data.xls,Converted_Rec_I,3012,1,object
IPRA Shootings Data.xls,Involved_Party_Description,266,21,object
IPRA Shootings Data.xls,Involved_Party_Type,3010,5,object
IPRA Shootings Data.xls,Involved_Party_Last_Name,3003,220,object
IPRA Shootings Data.xls,Involved_Party_First_Name,3003,173,object
IPRA Shootings Data.xls,Involved_Party_Assignment,1762,38,float64
IPRA Shootings Data.xls,Involved_Party_Detail,239,16,float64
IPRA Shootings Data.xls,Involved_Party_Position,2513,11,object
IPRA Shootings Data.xls,Involved_Party_Age,1122,41,float64
IPRA Shootings Data.xls,Involved_Party_Sex,2997,3,object
IPRA Shootings Data.xls,Involved_Party_Race,2985,6,object
IPRA Shootings Data.xls,Police_Shooting_No,3012,44,object
IPRA Shootings Data.xls,Police_Shooting,3012,2,object
IPRA Shootings Data.xls,Sheet,3012,1,object
IPRA Shootings Data.xls,FOIA_Request_Number,3012,1,object
IPRA Shootings Data.xls,Report_Produced_Date,3012,1,object
IPRA Shootings Data.xls,CR_Required,3440,1,object
IPRA Shootings Data.xls,Initial_Category_Code,3004,7,object
IPRA Shootings Data.xls,Initial_Category,3004,6,object
IPRA Shootings Data.xls,Current_Category_Code,3440,6,object
IPRA Shootings Data.xls,Current_Category,3440,5,object
IPRA Shootings Data.xls,Current_Status,3440,2,object
IPRA Shootings Data.xls,Complaint_Number,3440,57,int64
IPRA Shootings Data.xls,Complaint_Date,3440,57,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigator_Last_Name,3439,43,object
IPRA Shootings Data.xls,IPRA_Investigator_First_Name,3439,43,object
IPRA Shootings Data.xls,IPRA_Assign_Date,3439,173,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigate_Begin_Date,0,1,float64
IPRA Shootings Data.xls,IPRA_Investigate_End_Date,3206,213,datetime64[ns]
IPRA Shootings Data.xls,IPRA_Investigator_Type,3439,5,object
IPRA Shootings Data.xls,Accused_First_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Last_Name,0,1,float64
IPRA Shootings Data.xls,Accused_Star,0,1,float64
IPRA Shootings Data.xls,Accused_Assignment,0,1,float64
IPRA Shootings Data.xls,Accused_Detail,0,1,float64
IPRA Shootings Data.xls,Accused_Appointment_Date,0,1,float64
IPRA Shootings Data.xls,Accused_Position,0,1,float64
IPRA Shootings Data.xls,IAD_Ops,3440,1,object
IPRA Shootings Data.xls,Converted_Rec_I,3440,1,object
IPRA Shootings Data.xls,Involved_Party_Description,356,38,object
IPRA Shootings Data.xls,Involved_Party_Type,3439,5,object
IPRA Shootings Data.xls,Involved_Party_Last_Name,3392,261,object
IPRA Shootings Data.xls,Involved_Party_First_Name,3392,227,object
IPRA Shootings Data.xls,Involved_Party_Assignment,1758,36,float64
IPRA Shootings Data.xls,Involved_Party_Detail,198,18,float64
IPRA Shootings Data.xls,Involved_Party_Position,2720,11,object
IPRA Shootings Data.xls,Involved_Party_Age,1463,52,float64
IPRA Shootings Data.xls,Involved_Party_Sex,3374,3,object
IPRA Shootings Data.xls,Involved_Party_Race,3351,7,object
IPRA Shootings Data.xls,Police_Shooting_No,3440,57,object
IPRA Shootings Data.xls,Police_Shooting,3440,2,object
IPRA Shootings Data.xls,Sheet,3440,1,object
IPRA Shootings Data.xls,FOIA_Request_Number,3440,1,object
IPRA Shootings Data.xls,Report_Produced_Date,3440,1,object
