Original_Dataset,Output_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Last.Name,114630,14204,object
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,First.Name,114630,3634,object
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Gender,114630,2,object
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Race,114630,6,object
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Current.Age,114628,80,float64
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Appointed.Date,114624,789,datetime64[ns]
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Unit,113789,217,float64
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Effective.Date,112528,4488,datetime64[ns]
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,End.Date,83039,3893,datetime64[ns]
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Star1,103990,16711,float64
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Star2,47084,7282,float64
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Star3,19665,2661,float64
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Star4,6865,840,float64
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Star5,1833,217,float64
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Star6,490,55,float64
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Star7,105,12,float64
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Star8,37,4,float64
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Star9,8,2,float64
../input/Kalven 16-1105 All Sworn Employees.xlsx,unit-history.csv,Star10,8,2,float64
