Original_Dataset,Output_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
../input/FOIA Updated CPD Data -2013-2017.xls-2013,salary.csv,Last.Name,12584,6807,object
../input/FOIA Updated CPD Data -2013-2017.xls-2013,salary.csv,First.Name,12584,2432,object
../input/FOIA Updated CPD Data -2013-2017.xls-2013,salary.csv,Middle.Initial,9478,27,object
../input/FOIA Updated CPD Data -2013-2017.xls-2013,salary.csv,Gender,12584,2,object
../input/FOIA Updated CPD Data -2013-2017.xls-2013,salary.csv,Age.at.Hire,12450,36,float64
../input/FOIA Updated CPD Data -2013-2017.xls-2013,salary.csv,Title,12584,29,object
../input/FOIA Updated CPD Data -2013-2017.xls-2013,salary.csv,Start.Date,12450,267,datetime64[ns]
../input/FOIA Updated CPD Data -2013-2017.xls-2013,salary.csv,SPP.Date,10071,263,datetime64[ns]
../input/FOIA Updated CPD Data -2013-2017.xls-2013,salary.csv,Org.Hire.Date,12584,638,datetime64[ns]
../input/FOIA Updated CPD Data -2013-2017.xls-2013,salary.csv,Salary,12584,43,int64
../input/FOIA Updated CPD Data -2013-2017.xls-2013,salary.csv,Pay.Grade,12584,13,object
../input/FOIA Updated CPD Data -2013-2017.xls-2013,salary.csv,Employee.Status,12584,5,object
../input/FOIA Updated CPD Data -2013-2017.xls-2014,salary.csv,Last.Name,12548,6777,object
../input/FOIA Updated CPD Data -2013-2017.xls-2014,salary.csv,First.Name,12548,2425,object
../input/FOIA Updated CPD Data -2013-2017.xls-2014,salary.csv,Middle.Initial,9247,27,object
../input/FOIA Updated CPD Data -2013-2017.xls-2014,salary.csv,Gender,12548,2,object
../input/FOIA Updated CPD Data -2013-2017.xls-2014,salary.csv,Age.at.Hire,12411,34,float64
../input/FOIA Updated CPD Data -2013-2017.xls-2014,salary.csv,Title,12548,27,object
../input/FOIA Updated CPD Data -2013-2017.xls-2014,salary.csv,Start.Date,12411,268,datetime64[ns]
../input/FOIA Updated CPD Data -2013-2017.xls-2014,salary.csv,SPP.Date,10086,264,datetime64[ns]
../input/FOIA Updated CPD Data -2013-2017.xls-2014,salary.csv,Org.Hire.Date,12548,624,datetime64[ns]
../input/FOIA Updated CPD Data -2013-2017.xls-2014,salary.csv,Salary,12548,61,int64
../input/FOIA Updated CPD Data -2013-2017.xls-2014,salary.csv,Pay.Grade,12548,13,object
../input/FOIA Updated CPD Data -2013-2017.xls-2014,salary.csv,Employee.Status,12548,5,object
../input/FOIA Updated CPD Data -2013-2017.xls-2015,salary.csv,Last.Name,12563,6790,object
../input/FOIA Updated CPD Data -2013-2017.xls-2015,salary.csv,First.Name,12563,2449,object
../input/FOIA Updated CPD Data -2013-2017.xls-2015,salary.csv,Middle.Initial,8987,27,object
../input/FOIA Updated CPD Data -2013-2017.xls-2015,salary.csv,Gender,12563,2,object
../input/FOIA Updated CPD Data -2013-2017.xls-2015,salary.csv,Age.at.Hire,12386,32,float64
../input/FOIA Updated CPD Data -2013-2017.xls-2015,salary.csv,Title,12563,28,object
../input/FOIA Updated CPD Data -2013-2017.xls-2015,salary.csv,Start.Date,12386,262,datetime64[ns]
