Original_Dataset,Output_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,CRID,33173,18933,int64
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,Full.Name,33173,9375,object
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,Birth.Year,33173,61,float64
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,Gender,33173,2,object
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,Race,33173,7,object
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,Appointed.Date,33173,352,datetime64[ns]
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,Current.Unit,33169,152,object
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,Current.Rank,32402,12,object
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,Star,21106,5339,float64
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,Complaint.Category,33054,113,object
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,Recommended.Finding,32359,5,object
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,Recommended.Discipline,32405,28,float64
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,Final.Finding,32178,5,object
../input/p046957 - report 2.1 - identified accused.xls,accused.csv,Final.Discipline,32245,37,float64
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,CRID,18202,9862,int64
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,Full.Name,18202,7044,object
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,Birth.Year,18202,47,float64
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,Gender,18202,2,object
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,Race,18202,6,object
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,Appointed.Date,18202,281,datetime64[ns]
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,Current.Unit,18202,136,float64
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,Current.Rank,17918,12,object
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,Star,12934,4713,float64
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,Complaint.Category,18136,106,object
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,Recommended.Finding,17527,6,object
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,Recommended.Discipline,17642,29,float64
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,Final.Finding,17490,5,object
../input/p046957 - report 2.2 - identified accused.xls,accused.csv,Final.Discipline,17607,32,float64
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,CRID,23153,11930,int64
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,Full.Name,23153,8260,object
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,Birth.Year,23153,58,float64
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,Gender,23153,2,object
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,Race,23153,7,object
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,Appointed.Date,23153,291,datetime64[ns]
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,Current.Unit,23152,136,float64
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,Current.Rank,22780,11,object
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,Star,17788,6047,float64
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,Complaint.Category,23000,113,object
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,Recommended.Finding,15937,6,object
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,Recommended.Discipline,22375,32,float64
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,Final.Finding,15888,7,object
../input/p046957 - report 2.3 - identified accused.xls,accused.csv,Final.Discipline,22324,35,float64
../input/p046957 - report 2.4 - identified accused.xls,accused.csv,CRID,30209,15316,int64
../input/p046957 - report 2.4 - identified accused.xls,accused.csv,Full.Name,30209,8723,object
../input/p046957 - report 2.4 - identified accused.xls,accused.csv,Birth.Year,30209,56,float64
