CRID,Gender,Age,Race
1000000,F,48.76712328767123,WHITE
1000001,M,31.641095890410963,BLACK
1000002,M,42.62191780821918,WHITE HISPANIC
1000004,M,60.25479452054795,HISPANIC
1000004,M,52.75068493150685,WHITE
1000005,F,34.73424657534247,BLACK
1000006,M,52.9013698630137,BLACK
1000007,F,55.55068493150685,WHITE
1000009,M,38.66027397260274,WHITE HISPANIC
1000010,M,42.57534246575343,BLACK
1000014,F,54.59726027397261,BLACK
1000016,M,66.9945205479452,BLACK
1000017,F,34.16164383561644,WHITE HISPANIC
1000020,M,33.364383561643834,BLACK
1000021,F,54.610958904109594,BLACK
1000022,F,68.26301369863013,BLACK
1000023,M,51.78082191780822,BLACK
1000024,F,32.038356164383565,WHITE HISPANIC
1000025,F,51.772602739726025,WHITE HISPANIC
1000026,F,28.09041095890411,BLACK
1000028,M,35.00821917808219,WHITE HISPANIC
1000030,M,36.50684931506849,BLACK
1000031,F,43.8027397260274,BLACK
1000033,M,59.93150684931506,BLACK
1000034,F,56.62739726027397,BLACK
1000035,F,58.345205479452055,WHITE
1000036,M,38.16438356164384,BLACK
1000037,F,56.83287671232877,BLACK
1000040,F,61.47671232876713,BLACK
1000041,M,36.30684931506849,BLACK
1000042,M,36.632876712328766,BLACK
1000043,F,50.86301369863014,BLACK
1000043,F,67.52328767123288,BLACK
1000046,M,61.64657534246576,WHITE
1000047,M,54.24383561643835,WHITE
1000048,F,54.03287671232877,WHITE HISPANIC
1000049,M,39.55068493150685,BLACK
1000050,M,51.63835616438356,BLACK
1000052,F,65.4904109589041,WHITE
1000053,M,59.92054794520548,BLACK
1000054,F,46.16438356164384,BLACK
1000055,M,31.575342465753423,BLACK
1000056,F,66.13424657534247,BLACK
1000058,M,52.52054794520548,WHITE HISPANIC
1000060,F,35.26301369863014,BLACK
1000062,F,46.24109589041096,BLACK
1000062,F,46.24109589041096,BLACK
1000065,M,38.73698630136986,BLACK
1000066,M,45.96712328767123,HISPANIC
1000067,F,40.6986301369863,BLACK
1000068,M,52.893150684931506,BLACK
1000069,M,58.438356164383556,WHITE
1000072,F,60.0986301369863,WHITE
1000073,F,45.893150684931506,BLACK
1000075,M,31.906849315068495,BLACK
1000076,F,62.35342465753424,BLACK
1000080,F,58.26849315068493,WHITE
1000082,M,39.827397260273976,BLACK
1000083,F,39.76438356164383,BLACK
1000084,M,30.85205479452055,WHITE
1000085,M,36.846575342465755,WHITE HISPANIC
1000087,F,41.717808219178075,BLACK
1000093,F,42.06301369863014,BLACK
1000094,M,47.775342465753425,BLACK
1000096,M,43.52602739726028,BLACK
1000097,M,68.21369863013699,WHITE
1000098,F,46.92054794520548,BLACK
1000099,M,41.35616438356165,WHITE HISPANIC
1000100,F,42.85753424657534,BLACK
1000101,F,52.48767123287671,BLACK
1000102,F,57.6958904109589,WHITE HISPANIC
1000103,M,73.9890410958904,BLACK
1000104,F,41.24383561643835,BLACK
1000105,F,48.2,BLACK
1000106,M,74.1013698630137,BLACK
1000107,M,44.06849315068494,ASIAN/PACIFIC ISLANDER
1000108,F,32.66027397260274,BLACK
1000109,M,49.66027397260274,BLACK
1000111,M,36.26849315068493,BLACK
1000112,F,49.4054794520548,BLACK
1000112,M,47.345205479452055,BLACK
1000113,M,44.06849315068494,WHITE
1000114,F,31.471232876712328,BLACK
1000116,M,68.2986301369863,BLACK
1000118,M,52.347945205479455,BLACK
1000119,M,31.27945205479452,BLACK
1000120,M,36.54520547945206,BLACK
1000121,F,40.90958904109589,BLACK
1000122,F,52.827397260273976,BLACK
1000123,F,59.942465753424656,WHITE
1000124,F,36.534246575342465,BLACK
1000127,M,58.57260273972602,BLACK
1000130,F,29.906849315068495,BLACK
1000131,F,46.827397260273976,BLACK
1000132,M,43.443835616438356,HISPANIC
1000132,M,64.0027397260274,BLACK
1000132,M,38.775342465753425,BLACK
1000134,M,38.775342465753425,BLACK
1000136,M,37.657534246575345,BLACK
1000137,M,40.56164383561644,BLACK
1000137,F,38.23561643835617,BLACK
1000138,M,39.605479452054794,BLACK
1000139,F,66.64109589041097,BLACK
1000140,F,32.25753424657534,BLACK
1000140,F,56.33150684931506,BLACK
1000141,M,77.31780821917808,BLACK
1000143,M,46.849315068493155,BLACK
1000145,M,39.084931506849315,WHITE HISPANIC
1000146,F,52.657534246575345,BLACK
1000146,M,76.37808219178082,WHITE
1000147,M,56.02739726027397,WHITE HISPANIC
1000148,M,34.49041095890411,BLACK
1000149,M,46.12876712328767,WHITE HISPANIC
1000150,M,40.95342465753425,WHITE
1000151,F,38.1972602739726,BLACK
1000152,F,64.08493150684932,BLACK
1000154,M,49.772602739726025,WHITE HISPANIC
1000155,M,46.942465753424656,WHITE
1000156,F,47.0054794520548,BLACK
1000158,F,41.789041095890404,BLACK
1000159,M,49.23013698630137,WHITE
1000161,M,57.09315068493151,BLACK
1000162,M,50.37534246575343,WHITE
1000163,M,36.25753424657534,BLACK
1000165,M,34.92054794520548,BLACK
1000166,M,53.35616438356165,BLACK
1000168,M,68.21369863013699,WHITE
1000170,F,41.73972602739727,BLACK
1000172,M,54.843835616438355,WHITE HISPANIC
1000173,M,29.47945205479452,BLACK
1000175,F,33.515068493150686,BLACK
1000176,M,59.635616438356166,WHITE
