Original_Dataset,Output_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
../input/p046957 - report 1.1 - all complaints in time frame.xls,complaints.csv,CRID,27783,27783,int64
../input/p046957 - report 1.1 - all complaints in time frame.xls,complaints.csv,Beat,27248,599,object
../input/p046957 - report 1.1 - all complaints in time frame.xls,complaints.csv,Location.Code,27780,24,object
../input/p046957 - report 1.1 - all complaints in time frame.xls,complaints.csv,Address.Number,26170,4720,object
../input/p046957 - report 1.1 - all complaints in time frame.xls,complaints.csv,Street,26489,3018,object
../input/p046957 - report 1.1 - all complaints in time frame.xls,complaints.csv,Apartment.Number,5386,92,object
../input/p046957 - report 1.1 - all complaints in time frame.xls,complaints.csv,City.State,27732,196,object
../input/p046957 - report 1.1 - all complaints in time frame.xls,complaints.csv,Incident.Datetime,27783,23798,datetime64[ns]
../input/p046957 - report 1.1 - all complaints in time frame.xls,complaints.csv,Complaint.Date,27783,1368,datetime64[ns]
../input/p046957 - report 1.1 - all complaints in time frame.xls,complaints.csv,Closed.Date,27771,1299,datetime64[ns]
../input/p046957 - report 1.2 - all complaints in time frame.xls,complaints.csv,CRID,23791,23791,int64
../input/p046957 - report 1.2 - all complaints in time frame.xls,complaints.csv,Beat,23786,290,object
../input/p046957 - report 1.2 - all complaints in time frame.xls,complaints.csv,Location.Code,23790,24,object
../input/p046957 - report 1.2 - all complaints in time frame.xls,complaints.csv,Address.Number,22946,4475,object
../input/p046957 - report 1.2 - all complaints in time frame.xls,complaints.csv,Street,23258,1588,object
../input/p046957 - report 1.2 - all complaints in time frame.xls,complaints.csv,Apartment.Number,4683,85,object
../input/p046957 - report 1.2 - all complaints in time frame.xls,complaints.csv,City.State,23498,196,object
../input/p046957 - report 1.2 - all complaints in time frame.xls,complaints.csv,Incident.Datetime,23791,18434,datetime64[ns]
../input/p046957 - report 1.2 - all complaints in time frame.xls,complaints.csv,Complaint.Date,23791,1408,datetime64[ns]
../input/p046957 - report 1.2 - all complaints in time frame.xls,complaints.csv,Closed.Date,23732,1219,datetime64[ns]
../input/p046957 - report 1.3 - all complaints in time frame.xls,complaints.csv,CRID,21803,21803,int64
../input/p046957 - report 1.3 - all complaints in time frame.xls,complaints.csv,Beat,21754,296,object
../input/p046957 - report 1.3 - all complaints in time frame.xls,complaints.csv,Location.Code,21802,24,object
../input/p046957 - report 1.3 - all complaints in time frame.xls,complaints.csv,Address.Number,21019,4380,object
../input/p046957 - report 1.3 - all complaints in time frame.xls,complaints.csv,Street,21258,1396,object
../input/p046957 - report 1.3 - all complaints in time frame.xls,complaints.csv,Apartment.Number,4361,104,object
../input/p046957 - report 1.3 - all complaints in time frame.xls,complaints.csv,City.State,21658,234,object
../input/p046957 - report 1.3 - all complaints in time frame.xls,complaints.csv,Incident.Datetime,21803,15061,datetime64[ns]
../input/p046957 - report 1.3 - all complaints in time frame.xls,complaints.csv,Complaint.Date,21803,1382,datetime64[ns]
../input/p046957 - report 1.3 - all complaints in time frame.xls,complaints.csv,Closed.Date,21672,1353,datetime64[ns]
../input/p046957 - report 1.4 - all complaints in time frame.xls,complaints.csv,CRID,21803,21803,int64
../input/p046957 - report 1.4 - all complaints in time frame.xls,complaints.csv,Beat,21754,296,object
../input/p046957 - report 1.4 - all complaints in time frame.xls,complaints.csv,Location.Code,21802,24,object
../input/p046957 - report 1.4 - all complaints in time frame.xls,complaints.csv,Address.Number,21019,4380,object
../input/p046957 - report 1.4 - all complaints in time frame.xls,complaints.csv,Street,21258,1396,object
../input/p046957 - report 1.4 - all complaints in time frame.xls,complaints.csv,Apartment.Number,4361,104,object
../input/p046957 - report 1.4 - all complaints in time frame.xls,complaints.csv,City.State,21658,234,object
../input/p046957 - report 1.4 - all complaints in time frame.xls,complaints.csv,Incident.Datetime,21803,15061,datetime64[ns]
../input/p046957 - report 1.4 - all complaints in time frame.xls,complaints.csv,Complaint.Date,21803,1382,datetime64[ns]
../input/p046957 - report 1.4 - all complaints in time frame.xls,complaints.csv,Closed.Date,21672,1353,datetime64[ns]
../input/p046957 - report 1.5 - all complaints in time frame.xls,complaints.csv,CRID,17353,17353,int64
../input/p046957 - report 1.5 - all complaints in time frame.xls,complaints.csv,Beat,17282,306,object
../input/p046957 - report 1.5 - all complaints in time frame.xls,complaints.csv,Location.Code,17351,24,object
../input/p046957 - report 1.5 - all complaints in time frame.xls,complaints.csv,Address.Number,16743,3866,object
../input/p046957 - report 1.5 - all complaints in time frame.xls,complaints.csv,Street,16947,1243,object
../input/p046957 - report 1.5 - all complaints in time frame.xls,complaints.csv,Apartment.Number,3936,103,object
../input/p046957 - report 1.5 - all complaints in time frame.xls,complaints.csv,City.State,17210,218,object
../input/p046957 - report 1.5 - all complaints in time frame.xls,complaints.csv,Incident.Datetime,17353,12116,datetime64[ns]
../input/p046957 - report 1.5 - all complaints in time frame.xls,complaints.csv,Complaint.Date,17353,1332,datetime64[ns]
../input/p046957 - report 1.5 - all complaints in time frame.xls,complaints.csv,Closed.Date,17213,1166,datetime64[ns]
../input/p046957 - report 1.6 - all complaints in time frame.xls,complaints.csv,CRID,18609,18609,int64
../input/p046957 - report 1.6 - all complaints in time frame.xls,complaints.csv,Beat,18415,290,object
../input/p046957 - report 1.6 - all complaints in time frame.xls,complaints.csv,Location.Code,18607,23,object
../input/p046957 - report 1.6 - all complaints in time frame.xls,complaints.csv,Address.Number,17760,3988,object
../input/p046957 - report 1.6 - all complaints in time frame.xls,complaints.csv,Street,18047,1259,object
../input/p046957 - report 1.6 - all complaints in time frame.xls,complaints.csv,Apartment.Number,3913,131,object
../input/p046957 - report 1.6 - all complaints in time frame.xls,complaints.csv,City.State,18294,254,object
../input/p046957 - report 1.6 - all complaints in time frame.xls,complaints.csv,Incident.Datetime,18609,15510,datetime64[ns]
../input/p046957 - report 1.6 - all complaints in time frame.xls,complaints.csv,Complaint.Date,18609,1694,datetime64[ns]
../input/p046957 - report 1.6 - all complaints in time frame.xls,complaints.csv,Closed.Date,17002,1093,datetime64[ns]
