Original_Dataset,Output_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
../input/p046957 - report 1.1 - all complaints in time frame.xls,investigators.csv,CRID,29920,27734,int64
../input/p046957 - report 1.1 - all complaints in time frame.xls,investigators.csv,Full.Name,27740,1878,object
../input/p046957 - report 1.1 - all complaints in time frame.xls,investigators.csv,Assignment,27740,140,object
../input/p046957 - report 1.1 - all complaints in time frame.xls,investigators.csv,Rank,27740,71,object
../input/p046957 - report 1.1 - all complaints in time frame.xls,investigators.csv,Star,8204,450,object
../input/p046957 - report 1.1 - all complaints in time frame.xls,investigators.csv,Appointed.Date,29914,329,object
../input/p046957 - report 1.2 - all complaints in time frame.xls,investigators.csv,CRID,25136,23704,int64
../input/p046957 - report 1.2 - all complaints in time frame.xls,investigators.csv,Full.Name,23714,1749,object
../input/p046957 - report 1.2 - all complaints in time frame.xls,investigators.csv,Assignment,23714,123,object
../input/p046957 - report 1.2 - all complaints in time frame.xls,investigators.csv,Rank,23714,51,object
../input/p046957 - report 1.2 - all complaints in time frame.xls,investigators.csv,Star,8962,655,object
../input/p046957 - report 1.2 - all complaints in time frame.xls,investigators.csv,Appointed.Date,25133,279,object
../input/p046957 - report 1.3 - all complaints in time frame.xls,investigators.csv,CRID,22836,21743,int64
../input/p046957 - report 1.3 - all complaints in time frame.xls,investigators.csv,Full.Name,21759,1617,object
../input/p046957 - report 1.3 - all complaints in time frame.xls,investigators.csv,Assignment,21755,117,object
../input/p046957 - report 1.3 - all complaints in time frame.xls,investigators.csv,Rank,21759,32,object
../input/p046957 - report 1.3 - all complaints in time frame.xls,investigators.csv,Star,9757,797,object
../input/p046957 - report 1.3 - all complaints in time frame.xls,investigators.csv,Appointed.Date,22652,242,object
../input/p046957 - report 1.4 - all complaints in time frame.xls,investigators.csv,CRID,22836,21743,int64
../input/p046957 - report 1.4 - all complaints in time frame.xls,investigators.csv,Full.Name,21759,1617,object
../input/p046957 - report 1.4 - all complaints in time frame.xls,investigators.csv,Assignment,21755,117,object
../input/p046957 - report 1.4 - all complaints in time frame.xls,investigators.csv,Rank,21759,32,object
../input/p046957 - report 1.4 - all complaints in time frame.xls,investigators.csv,Star,9757,797,object
../input/p046957 - report 1.4 - all complaints in time frame.xls,investigators.csv,Appointed.Date,22652,242,object
../input/p046957 - report 1.5 - all complaints in time frame.xls,investigators.csv,CRID,18136,17338,int64
../input/p046957 - report 1.5 - all complaints in time frame.xls,investigators.csv,Full.Name,17263,1378,object
../input/p046957 - report 1.5 - all complaints in time frame.xls,investigators.csv,Assignment,17235,106,object
../input/p046957 - report 1.5 - all complaints in time frame.xls,investigators.csv,Rank,17263,28,object
../input/p046957 - report 1.5 - all complaints in time frame.xls,investigators.csv,Star,8380,774,object
../input/p046957 - report 1.5 - all complaints in time frame.xls,investigators.csv,Appointed.Date,16760,220,object
../input/p046957 - report 1.6 - all complaints in time frame.xls,investigators.csv,CRID,19121,18515,int64
../input/p046957 - report 1.6 - all complaints in time frame.xls,investigators.csv,Full.Name,18266,1536,object
../input/p046957 - report 1.6 - all complaints in time frame.xls,investigators.csv,Assignment,18266,100,object
../input/p046957 - report 1.6 - all complaints in time frame.xls,investigators.csv,Rank,18266,27,object
../input/p046957 - report 1.6 - all complaints in time frame.xls,investigators.csv,Star,12665,1205,object
../input/p046957 - report 1.6 - all complaints in time frame.xls,investigators.csv,Appointed.Date,18225,236,object
