,CRID,Gender,Age,Race
0,1000009,FEMALE,37.106849315068494,HISPANIC
1,1000015,FEMALE,35.41095890410959,BLACK
2,1000015,FEMALE,24.416438356164388,BLACK
3,1000020,MALE,27.693150684931503,BLACK
4,1000021,MALE,26.454794520547942,BLACK
5,1000034,MALE,26.895890410958906,BLACK
6,1000034,MALE,27.523287671232875,BLACK
7,1000043,MALE,29.290410958904108,BLACK
8,1000043,MALE,35.553424657534244,BLACK
9,1000054,FEMALE,25.383561643835613,BLACK
10,1000055,MALE,25.427397260273967,BLACK
11,1000055,MALE,25.882191780821923,BLACK
12,1000058,MALE,25.76438356164384,HISPANIC
13,1000083,MALE,37.56986301369864,BLACK
14,1000085,MALE,82.36986301369862,HISPANIC
15,1000087,FEMALE,25.895890410958906,BLACK
16,1000093,MALE,25.52054794520548,BLACK
17,1000098,FEMALE,24.920547945205477,BLACK
18,1000101,MALE,26.78356164383561,BLACK
19,1000102,MALE,28.05205479452055,HISPANIC
20,1000104,FEMALE,25.93150684931507,BLACK
21,1000105,MALE,26.893150684931502,BLACK
22,1000121,FEMALE,73.05479452054793,BLACK
23,1000128,FEMALE,52.37260273972603,BLACK
24,1000130,MALE,37.5972602739726,BLACK
25,1000131,FEMALE,25.235616438356168,BLACK
26,1000134,MALE,64.0027397260274,BLACK
27,1000172,FEMALE,24.65479452054794,HISPANIC
28,1000172,FEMALE,27.463013698630142,HISPANIC
29,1000181,MALE,39.76986301369863,BLACK
30,1000182,MALE,26.49041095890411,BLACK
31,1000183,FEMALE,29.712328767123285,BLACK
32,1000202,FEMALE,21.78082191780823,BLACK
33,1000207,MALE,27.00821917808219,HISPANIC
34,1000217,FEMALE,37.350684931506855,BLACK
35,1000224,MALE,45.92876712328767,BLACK
36,1000235,MALE,24.87397260273973,BLACK
37,1000242,FEMALE,27.75616438356165,BLACK
38,1000248,MALE,33.0027397260274,BLACK
39,1000254,FEMALE,62.76164383561644,BLACK
40,1000263,FEMALE,30.83561643835617,BLACK
41,1000268,MALE,31.126027397260273,BLACK
42,1000270,MALE,51.86849315068493,BLACK
43,1000278,MALE,28.61917808219178,HISPANIC
44,1000281,FEMALE,37.6,BLACK
45,1000298,MALE,28.063013698630144,BLACK
46,1000301,MALE,43.0,BLACK
47,1000302,MALE,25.64931506849315,WHITE
48,1000303,MALE,24.591780821917812,BLACK
49,1000322,MALE,24.057534246575347,BLACK
50,1000326,MALE,40.684931506849324,HISPANIC
51,1000329,MALE,28.895890410958906,BLACK
52,1000356,MALE,23.69041095890411,BLACK
53,1000365,MALE,30.172602739726035,BLACK
54,1000370,FEMALE,26.09041095890411,BLACK
55,1000370,MALE,26.742465753424653,BLACK
56,1000377,MALE,35.85479452054794,WHITE
57,1000380,MALE,23.712328767123285,BLACK
58,1000381,MALE,26.742465753424653,BLACK
59,1000382,FEMALE,23.920547945205477,BLACK
60,1000387,MALE,27.123287671232877,BLACK
61,1000394,MALE,25.85753424657534,BLACK
62,1000402,FEMALE,24.16986301369863,BLACK
63,1000440,FEMALE,25.567123287671233,BLACK
64,1000458,FEMALE,27.83835616438356,BLACK
65,1000468,FEMALE,29.945205479452056,BLACK
66,1000468,MALE,29.898630136986302,BLACK
67,1000468,FEMALE,26.07397260273973,BLACK
68,1000468,FEMALE,29.882191780821923,BLACK
69,1000472,MALE,27.106849315068487,BLACK
70,1000477,MALE,38.78082191780822,BLACK
71,1000485,MALE,29.326027397260276,HISPANIC
72,1000487,MALE,24.383561643835613,BLACK
73,1000489,FEMALE,25.78082191780823,HISPANIC
74,1000491,MALE,24.632876712328766,HISPANIC
75,1000518,MALE,24.64657534246575,BLACK
76,1000521,MALE,26.2054794520548,BLACK
77,1000524,MALE,27.01095890410959,HISPANIC
78,1000525,MALE,61.42465753424657,BLACK
79,1000528,MALE,34.367123287671234,WHITE
80,1000542,MALE,26.435616438356167,BLACK
81,1000548,MALE,29.93150684931507,BLACK
82,1000551,MALE,24.164383561643834,BLACK
83,1000552,FEMALE,24.13150684931507,BLACK
84,1000555,MALE,39.78082191780822,BLACK
85,1000562,MALE,56.32328767123288,BLACK
86,1000563,MALE,26.457534246575346,WHITE
87,1000576,FEMALE,54.35890410958904,HISPANIC
88,1000577,MALE,27.189041095890413,BLACK
89,1000593,MALE,31.150684931506852,BLACK
90,1000598,MALE,24.306849315068487,BLACK
91,1000601,MALE,32.70958904109589,BLACK
92,1000603,FEMALE,26.0931506849315,BLACK
93,1000607,MALE,30.339726027397262,BLACK
94,1000609,MALE,24.849315068493148,BLACK
95,1000613,MALE,26.421917808219174,API
96,1000617,FEMALE,25.75890410958904,BLACK
97,1000620,MALE,44.33150684931506,BLACK
98,1000621,FEMALE,53.07945205479452,BLACK
99,1000629,MALE,29.3945205479452,BLACK
100,1000635,FEMALE,25.821917808219176,BLACK
101,1000641,MALE,26.24109589041096,OTHER
102,1000646,MALE,25.65479452054794,BLACK
103,1000682,MALE,38.38356164383561,BLACK
104,1000691,MALE,40.73150684931507,HISPANIC
105,1000704,MALE,39.56986301369864,BLACK
106,1000708,FEMALE,30.50958904109589,BLACK
107,1000708,FEMALE,32.9013698630137,BLACK
108,1000710,MALE,30.106849315068487,BLACK
109,1000711,MALE,21.26575342465753,BLACK
110,1000717,MALE,26.421917808219174,BLACK
111,1000718,MALE,47.56712328767122,BLACK
112,1000730,MALE,24.923287671232877,BLACK
113,1000730,MALE,23.64383561643836,BLACK
114,1000733,FEMALE,25.39178082191781,BLACK
115,1000754,FEMALE,60.42191780821918,WHITE
116,1000755,FEMALE,58.115068493150694,BLACK
117,1000773,MALE,22.38082191780822,BLACK
118,1000783,FEMALE,25.34520547945205,BLACK
119,1000800,FEMALE,23.676712328767124,BLACK
120,1000802,MALE,24.32054794520548,BLACK
121,1000808,FEMALE,45.25753424657535,BLACK
122,1000820,MALE,44.94520547945205,BLACK
123,1000821,MALE,32.95342465753425,BLACK
124,1000821,FEMALE,32.95342465753425,BLACK
125,1000821,FEMALE,30.32054794520548,BLACK
126,1000826,MALE,67.29863013698629,HISPANIC
127,1000832,MALE,24.21917808219177,BLACK
128,1000841,MALE,43.063013698630144,WHITE
129,1000845,MALE,67.33972602739726,BLACK
130,1000847,MALE,37.97534246575342,WHITE
131,1000850,MALE,42.98082191780821,HISPANIC
132,1000856,MALE,64.10684931506849,BLACK
133,1000857,MALE,27.56164383561644,BLACK
134,1000860,MALE,34.9041095890411,WHITE
135,1000861,FEMALE,51.48493150684931,BLACK
136,1000872,MALE,25.175342465753427,BLACK
137,1000873,MALE,54.630136986301366,HISPANIC
138,1000886,MALE,45.15616438356165,BLACK
139,1000890,FEMALE,25.895890410958906,BLACK
140,1000891,MALE,38.512328767123286,BLACK
141,1000896,MALE,30.180821917808217,HISPANIC
142,1000898,MALE,32.24383561643835,BLACK
143,1000899,MALE,26.328767123287676,HISPANIC
144,1000900,MALE,34.9041095890411,WHITE
145,1000924,MALE,33.24383561643835,BLACK
146,1000927,FEMALE,28.64383561643836,BLACK
147,1000933,MALE,14.857534246575346,BLACK
148,1000933,FEMALE,16.983561643835618,BLACK
149,1000933,FEMALE,16.643835616438356,BLACK
150,1000933,FEMALE,18.942465753424656,BLACK
151,1000933,FEMALE,43.427397260273985,BLACK
152,1000933,FEMALE,22.80821917808219,BLACK
153,1000949,MALE,31.83835616438356,BLACK
154,1000951,MALE,27.745205479452057,HISPANIC
155,1000956,MALE,37.893150684931506,BLACK
156,1000960,MALE,27.071232876712326,BLACK
157,1000961,MALE,32.972602739726035,BLACK
158,1000962,MALE,29.106849315068487,BLACK
159,1000968,MALE,25.07397260273973,BLACK
160,1000976,FEMALE,62.893150684931506,BLACK
161,1000984,FEMALE,24.972602739726025,BLACK
162,1000986,MALE,37.01095890410959,BLACK
163,1000995,MALE,50.11780821917807,HISPANIC
164,1001002,FEMALE,45.221917808219175,HISPANIC
165,1001024,MALE,27.750684931506854,BLACK
166,1001025,MALE,29.232876712328768,HISPANIC
167,1001031,MALE,24.67945205479452,BLACK
168,1001031,MALE,23.295890410958904,BLACK
169,1001035,MALE,23.441095890410963,BLACK
170,1001035,MALE,30.28493150684932,BLACK
171,1001044,MALE,29.128767123287673,BLACK
172,1001047,MALE,34.484931506849314,BLACK
173,1001050,MALE,31.432876712328767,WHITE
174,1001054,MALE,27.295890410958904,HISPANIC
175,1001082,MALE,46.55068493150685,BLACK
176,1001095,MALE,36.13698630136986,UNKNOWN
177,1001099,MALE,44.961643835616435,BLACK
178,1001117,FEMALE,54.34794520547946,API
179,1001123,MALE,26.04109589041096,BLACK
180,1001147,MALE,39.55890410958904,BLACK
181,1001166,MALE,26.18630136986301,BLACK
182,1001166,MALE,36.15890410958904,BLACK
183,1001177,FEMALE,24.975342465753428,BLACK
184,1001205,MALE,39.99452054794521,BLACK
185,1001207,MALE,26.660273972602738,HISPANIC
186,1001208,MALE,36.454794520547935,WHITE
187,1001220,MALE,30.80821917808219,BLACK
188,1001222,MALE,59.9041095890411,BLACK
189,1001223,MALE,33.3041095890411,BLACK
190,1001224,MALE,30.80821917808219,BLACK
191,1001229,MALE,37.273972602739725,BLACK
192,1001232,MALE,26.054794520547944,BLACK
193,1001235,MALE,28.189041095890413,BLACK
194,1001235,MALE,23.8,BLACK
195,1001235,MALE,25.20821917808219,BLACK
196,1001235,MALE,26.2,BLACK
197,1001248,MALE,33.684931506849324,BLACK
198,1001278,FEMALE,38.25753424657535,WHITE
199,1001280,MALE,38.336986301369855,BLACK
200,1001282,MALE,47.4,HISPANIC
201,1001283,MALE,27.23013698630137,BLACK
202,1001285,MALE,59.00547945205479,BLACK
203,1001285,MALE,50.14794520547945,BLACK
204,1001288,MALE,41.00547945205479,HISPANIC
205,1001297,FEMALE,33.4,BLACK
206,1001297,MALE,37.73972602739725,BLACK
207,1001301,MALE,38.13972602739726,BLACK
208,1001301,FEMALE,15.389041095890413,BLACK
209,1001304,FEMALE,25.504109589041096,BLACK
210,1001312,FEMALE,26.35342465753425,BLACK
211,1001314,MALE,27.150684931506852,BLACK
212,1001332,MALE,24.627397260273966,BLACK
213,1001338,MALE,28.339726027397262,HISPANIC
214,1001343,MALE,32.84109589041096,BLACK
215,1001348,MALE,24.687671232876717,BLACK
216,1001367,MALE,24.19178082191781,BLACK
217,1001375,MALE,26.0,BLACK
218,1001382,FEMALE,39.14246575342465,BLACK
219,1001382,MALE,39.64657534246575,BLACK
220,1001385,MALE,26.076712328767123,BLACK
221,1001395,FEMALE,39.00547945205479,BLACK
222,1001395,FEMALE,49.26849315068493,BLACK
223,1001395,FEMALE,69.4876712328767,BLACK
224,1001395,MALE,26.358904109589037,BLACK
225,1001402,MALE,25.717808219178075,HISPANIC
226,1001404,MALE,43.72054794520548,BLACK
227,1001412,MALE,30.27397260273973,HISPANIC
228,1001419,MALE,37.47123287671233,WHITE
229,1001421,MALE,37.0958904109589,HISPANIC
230,1001454,MALE,67.76164383561644,WHITE
231,1001457,FEMALE,59.72054794520548,BLACK
232,1001458,FEMALE,32.827397260273976,BLACK
233,1001458,MALE,37.83287671232877,BLACK
234,1001466,FEMALE,24.224657534246568,BLACK
235,1001467,FEMALE,24.86849315068493,HISPANIC
236,1001467,MALE,31.405479452054795,HISPANIC
237,1001469,MALE,27.517808219178075,BLACK
238,1001471,MALE,27.482191780821925,BLACK
239,1001476,MALE,27.10410958904109,BLACK
240,1001492,MALE,30.076712328767123,API
241,1001494,MALE,51.75890410958904,BLACK
242,1001499,FEMALE,36.41369863013698,WHITE
243,1001499,MALE,37.0958904109589,HISPANIC
244,1001515,MALE,33.93424657534247,BLACK
245,1001517,FEMALE,61.397260273972606,BLACK
246,1001525,FEMALE,27.427397260273967,WHITE
247,1001527,MALE,24.953424657534253,BLACK
248,1001539,FEMALE,52.057534246575344,BLACK
249,1001544,MALE,25.78082191780823,HISPANIC
250,1001547,MALE,24.134246575342466,BLACK
251,1001550,MALE,28.08767123287672,BLACK
252,1001554,MALE,24.4,BLACK
253,1001555,MALE,25.26849315068493,BLACK
254,1001556,MALE,40.13972602739726,WHITE
255,1001558,MALE,28.854794520547944,BLACK
256,1001574,MALE,35.682191780821924,BLACK
257,1001576,MALE,31.93150684931507,BLACK
258,1001578,MALE,35.24383561643835,BLACK
259,1001578,MALE,27.180821917808217,BLACK
260,1001588,MALE,40.361643835616434,BLACK
261,1001596,MALE,23.79178082191781,API
