COMPLAINT_NUMBER,POST_DATETIME,INCIDENT_TYPE,INCIDENT_DATETIME,IPRA_NOTIF_DATE,SUBJECTS_COUNT,VIDEO_COUNT,AUDIO_COUNT,DOCUMENT_COUNT,NOTES
1042469,2016-06-03T01:47:12+00:00,Firearm Discharge,01-04-2011 9:35 pm,01-04-2011,1,0,0,0,"['Pursuant to the Illinois Juvenile Court Act, 705 ILCS 405/1-1, et seq., the City is prohibited from releasing law enforcement records that relate to a minor who has been investigated, arrested, or taken into custody before his or her 18th birthday, without a court order.\xa0 As a result, the City is restricted from releasing records related to this incident.']"
1042532,2016-06-03T01:48:24+00:00,Firearm Discharge,01-07-2011 1:33 am,01-07-2011,1,1,5,5,
1044336,2016-06-03T00:00:50+00:00,Firearm Discharge,03-29-2011 7:48 am,03-29-2011,1,0,1,4,['One 911 call has been withheld pursuant to the Health Insurance Portability and Accountability Act of 1996 (“HIPAA”).']
1045673,2016-07-15T17:09:08+00:00,Firearm Discharge,05-25-2011 10:30 pm,05-25-2011,1,11,7,11,
1045950,2016-06-03T01:56:50+00:00,Firearm Discharge,06-07-2011 1:48 am,06-07-2011,1,1,2,7,['One 911 call has been withheld pursuant to the Health Insurance Portability and Accountability Act of 1996 (“HIPAA”).']
1049286,2016-06-03T01:22:59+00:00,Incident in Police Custody,10-13-2011 12:17 am,10-13-2011,1,1,1,7,
1050919,2016-06-03T01:51:13+00:00,Firearm Discharge,12-28-2011 1:42 am,12-28-2011,1,0,6,8,
1052578,2016-06-03T01:57:45+00:00,Firearm Discharge,03-14-2012 8:32 pm,03-14-2012,4,3,16,14,['Two 911 calls have been withheld pursuant to the Health Insurance Portability and Accountability Act of 1996 (“HIPAA”).']
1052816,2016-06-03T01:59:18+00:00,Firearm Discharge,03-23-2012 11:05 pm,03-24-2012,1,0,11,7,
1053667,2016-06-03T01:00:13+00:00,Firearm Discharge,04-30-2012 2:51 am,04-30-2012,3,62,11,30,
1056252,2016-06-03T01:01:27+00:00,Firearm Discharge,08-11-2012 9:51 pm,08-11-2012,1,2,0,4,
1056803,2016-06-03T01:02:32+00:00,Firearm Discharge,09-04-2012 3:39 am,09-04-2012,1,4,7,12,
1057079,2016-06-03T01:03:54+00:00,Firearm Discharge,09-14-2012 9:33 pm,09-14-2012,1,0,12,8,['Two 911 calls have been withheld pursuant to the Health Insurance Portability and Accountability Act of 1996 (“HIPAA”).']
1058279,2016-06-03T01:05:06+00:00,Firearm Discharge,11-08-2012 3:43 pm,11-08-2012,1,0,0,0,"['Pursuant to the Illinois Juvenile Court Act, 705 ILCS 405/1-1, et seq., the City is prohibited from releasing law enforcement records that relate to a minor who has been investigated, arrested, or taken into custody before his or her 18th birthday, without a court order.\xa0 As a result, the City is restricted from releasing records related to this incident.']"
1058573,2016-06-03T01:06:15+00:00,Firearm Discharge,11-22-2012 3:55 pm,11-22-2012,1,17,13,7,
1060762,2016-06-03T01:08:13+00:00,Firearm Discharge,03-16-2013 2:55 am,03-16-2013,1,1,5,5,
1060844,2016-06-03T01:15:16+00:00,Firearm Discharge,03-19-2013 9:50 pm,03-19-2013,1,0,34,7,
1061883,2016-06-03T01:16:48+00:00,Firearm Discharge,04-30-2013 9:30 pm,04-30-2013,1,0,13,14,
1062377,2016-07-19T18:27:34+00:00,Incident in Police Custody,05-13-2013 11:00 pm,05-21-2013,1,9,4,4,
1063127,2016-06-03T01:18:14+00:00,Firearm Discharge,06-26-2013 12:09 am,06-26-2013,1,0,16,7,
1063442,2016-06-03T01:20:40+00:00,Firearm Discharge,07-11-2013 1:05 pm,07-11-2013,1,2,5,14,['One 911 call has been withheld pursuant to the Health Insurance Portability and Accountability Act of 1996 (“HIPAA”).']
1065582,2016-06-03T01:21:39+00:00,Firearm Discharge,10-18-2013 1:10 am,10-18-2013,1,0,4,8,
1065714,2016-06-03T01:23:36+00:00,Firearm Discharge,10-24-2013 6:40 pm,10-24-2013,1,0,2,6,
1066296,2016-06-03T01:27:41+00:00,Incident in Police Custody,11-25-2013 7:55 pm,11-26-2013,1,0,0,4,
1066371,2016-07-19T18:09:09+00:00,Incident in Police Custody,07-25-2013 10:04 pm,12-02-2013,1,1,0,5,
1066725,2016-06-03T01:24:47+00:00,Firearm Discharge,12-22-2013 5:06 pm,12-22-2013,1,0,0,0,"['Pursuant to the Illinois Juvenile Court Act, 705 ILCS 405/1-1, et seq., the City is prohibited from releasing law enforcement records that relate to a minor who has been investigated, arrested, or taken into custody before his or her 18th birthday, without a court order.\xa0 As a result, the City is restricted from releasing records related to this incident.']"
1067572,2016-06-03T01:25:52+00:00,Firearm Discharge,02-18-2014 12:00 am,02-18-2014,3,0,16,12,"['Pursuant to the Illinois Juvenile Court Act, 705 ILCS 405/1-1, et seq., the City is prohibited from releasing law enforcement records that relate to a minor who has been investigated, arrested, or taken into custody before his or her 18th birthday, without a court order. As a result, the City is restricted from releasing certain records related to this incident.']"
1068046,2016-06-03T01:26:56+00:00,Firearm Discharge,03-17-2014 9:51 pm,03-17-2014,1,2,4,8,
1068101,2016-06-03T01:27:41+00:00,Firearm Discharge,03-20-2014 6:42 pm,03-20-2014,1,0,0,0,"['Pursuant to the Illinois Juvenile Court Act, 705 ILCS 405/1-1, et seq., the City is prohibited from releasing law enforcement records that relate to a minor who has been investigated, arrested, or taken into custody before his or her 18th birthday, without a court order. As a result, the City is restricted from releasing records related to this incident.']"
1068271,2016-06-03T01:28:31+00:00,Firearm Discharge,03-29-2014 8:49 pm,03-29-2014,1,1,1,4,
1069058,2016-06-03T01:34:35+00:00,Incident in Police Custody,05-07-2014 12:17 am,05-09-2014,1,1,0,3,
1069633,2016-06-03T01:20:44+00:00,Other Use Of Force,06-03-2014 11:16 pm,06-06-2014,1,2,0,0,
1069651,2016-06-03T01:30:12+00:00,Firearm Discharge,06-06-2014 11:28 pm,06-07-2014,1,14,6,12,
1069721,2016-06-03T01:37:05+00:00,Firearm Discharge,06-10-2014 11:46 pm,06-11-2014,1,12,29,13,
1069981,2016-06-03T01:38:27+00:00,Firearm Discharge,06-24-2014 6:23 pm,06-24-2014,1,0,2,8,
1070148,2016-06-03T01:40:39+00:00,Firearm Discharge,07-04-2014 9:53 pm,07-04-2014,1,0,0,0,"['Pursuant to the Illinois Juvenile Court Act, 705 ILCS 405/1-1, et seq., the City is prohibited from releasing law enforcement records that relate to a minor who has been investigated, arrested, or taken into custody before his or her 18th birthday, without a court order. As a result, the City is restricted from releasing records related to this incident.']"
1070168,2016-06-03T01:41:30+00:00,Firearm Discharge,07-05-2014 6:40 pm,07-05-2014,1,0,0,0,"['Pursuant to the Illinois Juvenile Court Act, 705 ILCS 405/1-1, et seq., the City is prohibited from releasing law enforcement records that relate to a minor who has been investigated, arrested, or taken into custody before his or her 18th birthday. As a result, the City is restricted from releasing records related to this incident.']"
1070445,2016-06-03T01:46:08+00:00,Firearm Discharge,07-19-2014 6:10 am,07-19-2014,1,2,20,6,
1070681,2016-06-03T01:08:50+00:00,Incident in Police Custody,07-30-2014 3:00 am,07-31-2014,1,2,0,1,
1071168,2016-06-03T01:08:49+00:00,Firearm Discharge,08-24-2014 8:58 pm,08-24-2014,1,0,0,0,"['Pursuant to the Illinois Juvenile Court Act, 705 ILCS 405/1-1, et seq., the City is prohibited from releasing law enforcement records that relate to a minor who has been investigated, arrested, or taken into custody before his or her 18th birthday, without a court order. As a result, the City is restricted from releasing records related to this incident.']"
1071320,2016-06-03T01:10:52+00:00,Incident in Police Custody,07-12-2014 10:30 pm,09-02-2014,1,3,0,11,
1071524,2016-06-03T01:48:03+00:00,Firearm Discharge,09-13-2014 10:12 pm,09-13-2014,1,1,10,9,
1071635,2016-06-03T01:12:35+00:00,Incident in Police Custody,09-20-2014 6:18 pm,09-20-2014,1,0,0,1,
1071970,2016-06-03T01:11:21+00:00,Firearm Discharge,10-12-2014 12:35 am,10-12-2014,1,16,11,9,
1072297,2016-06-03T01:23:33+00:00,Firearm Discharge,10-29-2014 11:03 pm,10-30-2014,1,0,0,0,"['Pursuant to the Illinois Juvenile Court Act, 705 ILCS 405/1-1, et seq., the City is prohibited from releasing law enforcement records that relate to a minor who has been investigated, arrested, or taken into custody before his or her 18th birthday, without a court order. As a result, the City is restricted from releasing records related to this incident.']"
1072342,2016-06-03T01:46:12+00:00,Firearm Discharge,11-01-2014 8:22 pm,11-01-2014,1,0,8,6,
1072855,2016-06-03T01:23:42+00:00,Firearm Discharge,12-06-2014 10:49 pm,12-07-2014,1,0,4,5,
1072859,2016-06-03T01:25:02+00:00,Firearm Discharge,12-07-2014 6:27 pm,12-07-2014,1,6,0,3,
1073105,2016-06-03T01:33:08+00:00,Firearm Discharge,12-25-2014 6:41 pm,12-25-2014,1,9,5,4,['One 911 call has been withheld pursuant to the Health Insurance Portability and Accountability Act of 1996 (“HIPAA”).']
1073410,2016-06-03T01:14:52+00:00,Incident in Police Custody,01-18-2015 4:55 am,01-18-2015,2,4,4,1,
1073693,2016-06-03T01:34:19+00:00,Firearm Discharge,02-07-2015 2:46 pm,02-07-2015,1,6,1,11,
1073710,2016-06-03T01:35:24+00:00,Firearm Discharge,02-09-2015 3:30 am,02-09-2015,1,0,0,2,
1073787,2016-06-03T01:37:02+00:00,Firearm Discharge,02-14-2015 12:29 am,02-14-2015,1,0,3,6,
1073789,2016-06-03T01:17:01+00:00,Incident in Police Custody,02-14-2015 3:22 am,02-14-2015,1,2,1,1,['One 911 call has been withheld pursuant to the Health Insurance Portability and Accountability Act of 1996 (“HIPAA”).']
1074111,2016-06-03T01:20:20+00:00,Incident in Police Custody,03-09-2015 9:45 pm,03-09-2015,1,0,0,6,
1074270,2016-06-24T13:18:42+00:00,Incident in Police Custody,03-04-2015 4:45 pm,03-18-2015,1,1,0,3,
1074294,2016-06-24T13:29:06+00:00,Incident in Police Custody,03-17-2015 10:38 pm,03-19-2015,1,1,0,2,
1074534,2016-06-03T01:39:39+00:00,Firearm Discharge,04-04-2015 4:19 pm,04-04-2015,1,0,9,8,
1074736,2016-06-03T01:41:06+00:00,Firearm Discharge,04-17-2015 10:53 pm,04-17-2015,1,0,28,7,['Four 911 calls have been withheld pursuant to the Health Insurance Portability and Accountability Act of 1996 (“HIPAA”).']
