COMPLAINT_NUMBER,MEDIA_FILE_TYPE,IPRA_PORTAL_LABEL,IPRA_URL
1042532,VIDEO,Video Clip,https://player.vimeo.com/video/170660179
1042532,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/264636963&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1042532,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/264636980&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1042532,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/264636987&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1042532,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/264636990&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1042532,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/264636996&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1042532,DOCUMENT,Original Case Incident Report,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1042532-CHI-R-00000076.pdf
1042532,DOCUMENT,Officer's Battery Report (Masqueda),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1042532-CHI-R-00000074.pdf
1042532,DOCUMENT,Officer's Battery Report (Sierra),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1042532-CHI-R-00000075.pdf
1042532,DOCUMENT,Tactical Response Report (Masqueda),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1042532-CHI-R-00000077.pdf
1042532,DOCUMENT,Tactical Response Report (Sierra),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1042532-CHI-R-00000078.pdf
1044336,AUDIO,OEMC Dispatch,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463957&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1044336,DOCUMENT,Original Case Incident Report 1 of 2,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1044336-CHI-R-00000103.pdf
1044336,DOCUMENT,Original Case Incident Report 2 of 2,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1044336-CHI-R-00000104.pdf
1044336,DOCUMENT,Officer's Battery Report (Murphy),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1044336-CHI-R-00000100.pdf
1044336,DOCUMENT,Tactical Response Report (Murphy),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/CHI-R-00000105.pdf
1045673,VIDEO,Incident occurs at approximately 6 minutes and 32 seconds into this video.,https://player.vimeo.com/video/174867595
1045673,VIDEO,Video Clip,https://player.vimeo.com/video/174867596
1045673,VIDEO,Video Clip,https://player.vimeo.com/video/174867486
1045673,VIDEO,Video Clip,https://player.vimeo.com/video/174879016
1045673,VIDEO,Video Clip,https://player.vimeo.com/video/174879828
1045673,VIDEO,Video Clip,https://player.vimeo.com/video/174879825
1045673,VIDEO,Video Clip,https://player.vimeo.com/video/174879827
1045673,VIDEO,Video Clip,https://player.vimeo.com/video/174879824
1045673,VIDEO,Video Clip,https://player.vimeo.com/video/174879829
1045673,VIDEO,Video Clip,https://player.vimeo.com/video/174879831
1045673,VIDEO,Video Clip,https://player.vimeo.com/video/174879835
1045673,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/273860661&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1045673,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/273860669&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
